name x y flux0 flux1 flux2 width rv
F08243  21.998   1.133 7.26e-16 4.87e-16 3.68e-16 65.27 -152.46
F08230  22.187   1.393 1.40e-15 8.18e-16 5.16e-16 75.44 -152.24
F08228  22.921   2.977 9.09e-16 5.91e-16 3.16e-16 84.42 -152.50
F08242  22.996   2.113 7.10e-16 4.90e-16 3.44e-16 77.45 -152.23
F08237  23.127   2.983 7.33e-16 4.76e-16 2.73e-16 69.15 -152.65
F08238  23.195   2.128 6.82e-16 4.97e-16 3.89e-16 39.75 -152.37
F08246  23.382   1.653 7.07e-16 4.81e-16 3.85e-16 80.19 -152.53
F08236  23.468   2.745 6.81e-16 3.35e-16 3.33e-16 71.85 -152.23
F08225  23.508   2.832 9.38e-16 7.18e-16 4.07e-16 93.58 -152.55
F08239  23.539   3.391 6.34e-16 4.93e-16 3.66e-16 79.78 -152.27
F08234  23.550   2.297 7.40e-16 5.73e-16 3.71e-16 105.04 -152.36
F08245  23.622   2.373 7.21e-16 6.60e-16 4.06e-16 69.44 -152.38
F08231  23.675   2.046 9.69e-16 6.44e-16 5.44e-16 67.91 -152.25
F08227  23.684   2.462 5.64e-16 3.55e-16 2.52e-16 76.29 -152.33
F08232  23.696   2.426 8.60e-16 4.19e-16 2.96e-16 37.80 -152.28
F08233  23.697   1.750 5.42e-16 3.79e-16 3.17e-16 99.06 -152.40
F08244  23.803   2.586 8.09e-16 4.19e-16 2.78e-16 64.70 -152.49
F08229  23.854   2.454 8.29e-16 6.06e-16 4.16e-16 81.08 -152.57
F08240  23.990   2.376 6.91e-16 3.41e-16 2.57e-16 82.68 -152.47
F08235  24.077   2.358 9.54e-16 6.59e-16 3.71e-16 62.00 -152.30
F08241  24.273   3.936 1.12e-15 6.99e-16 5.61e-16 49.90 -152.24
F08226  24.395   1.613 7.19e-16 6.84e-16 4.04e-16 75.80 -152.31
F10294  26.295   0.806 1.95e-17 1.32e-17 7.48e-18  9.41 -991.21
F10292  26.446   0.776 2.43e-17 2.04e-17 1.34e-17  9.15 -991.12
F10289  26.559   1.008 3.12e-17 1.74e-17 1.27e-17  5.05 -991.26
F10287  26.568   0.886 1.68e-17 1.00e-17 7.78e-18  8.77 -991.17
F10291  26.586   0.989 1.56e-17 1.40e-17 7.41e-18  6.31 -991.07
F10295  26.616   1.020 2.27e-17 1.54e-17 1.25e-17 11.81 -991.12
F10286  26.652   0.995 1.45e-17 1.50e-17 7.48e-18 14.20 -991.21
F10296  26.675   0.834 2.22e-17 1.50e-17 9.71e-18 15.95 -991.18
F10288  26.838   1.198 1.60e-17 1.31e-17 8.44e-18 13.78 -991.00
F05059  28.437   9.303 1.48e-17 1.11e-17 5.88e-18 12.59 -1083.28
F05049  28.452   9.136 1.83e-17 1.39e-17 1.15e-17 11.33 -1083.46
F05074  28.612   9.092 1.95e-17 1.10e-17 7.64e-18  8.40 -1083.47
F05055  28.614   9.048 1.55e-17 1.31e-17 7.39e-18 11.05 -1083.28
F05067  28.614   9.034 1.91e-17 1.23e-17 9.12e-18 15.15 -1083.47
F05079  28.637   9.054 1.23e-17 1.03e-17 5.02e-18 13.60 -1083.49
F05073  28.641   9.134 1.70e-17 1.31e-17 6.99e-18  4.90 -1083.52
F05065  28.644   9.088 1.97e-17 1.05e-17 8.69e-18 10.22 -1083.52
F05070  28.660   9.009 1.62e-17 1.14e-17 6.17e-18  8.41 -1083.51
F05069  28.664   8.717 1.56e-17 1.14e-17 8.01e-18 16.38 -1083.43
F05081  28.667   9.046 2.08e-17 1.53e-17 8.27e-18 10.09 -1083.32
F05052  28.668   9.051 1.76e-17 1.31e-17 5.86e-18  9.87 -1083.21
F05078  28.670   9.060 2.38e-17 1.38e-17 1.03e-17 12.88 -1083.44
F05083  28.673   9.054 1.43e-17 1.07e-17 5.99e-18 11.55 -1083.20
F05046  28.674   9.019 1.54e-17 1.28e-17 1.01e-17  8.40 -1083.36
F05048  28.675   9.049 1.93e-17 1.26e-17 9.06e-18 12.76 -1083.37
F05075  28.678   9.073 1.65e-17 1.32e-17 7.21e-18 10.51 -1083.44
F05082  28.682   9.072 1.90e-17 1.18e-17 7.15e-18 10.69 -1083.22
F05061  28.703   9.037 1.75e-17 1.21e-17 8.88e-18 14.00 -1083.30
F05080  28.709   9.157 1.45e-17 1.06e-17 7.13e-18 10.50 -1083.57
F05045  28.709   9.047 1.90e-17 1.45e-17 8.63e-18  7.79 -1083.30
F05076  28.721   9.108 1.40e-17 1.08e-17 7.13e-18 12.80 -1083.38
F05071  28.723   9.160 1.70e-17 1.27e-17 7.77e-18  7.16 -1083.34
F05053  28.736   9.101 1.89e-17 1.37e-17 7.15e-18 11.43 -1083.59
F05051  28.740   8.927 1.97e-17 1.36e-17 9.10e-18 11.90 -1083.52
F05058  28.802   9.079 1.78e-17 1.20e-17 7.26e-18  7.65 -1083.29
F05047  28.844   8.932 1.70e-17 1.07e-17 9.25e-18 10.49 -1083.30
F05064  28.870   9.144 1.35e-17 1.14e-17 8.49e-18 11.48 -1083.33
F05072  28.870   9.074 1.56e-17 1.05e-17 6.67e-18  8.86 -1083.38
F05044  28.913   8.928 1.96e-17 1.25e-17 9.19e-18 15.99 -1083.39
