name x y flux0 flux1 flux2 width rv
F00434   4.845 -33.673 1.08e-17 1.15e-17 1.05e-17 11.11 -912.00
F00418   4.957 -33.920 2.31e-17 1.75e-17 1.66e-17 14.55 -911.92
F00403   5.077 -33.985 2.70e-17 2.03e-17 1.09e-17 16.64 -912.01
F00426   5.162 -33.911 2.43e-17 1.72e-17 6.16e-18  8.80 -912.04
F00421   5.254 -33.838 2.06e-17 1.19e-17 9.12e-18 12.62 -912.00
F00430   5.258 -33.746 2.89e-17 1.81e-17 1.45e-17 10.68 -912.21
F00435   5.277 -34.019 2.68e-17 1.65e-17 1.59e-17  6.86 -912.05
F00433   5.328 -33.969 2.56e-17 1.98e-17 8.05e-18  7.92 -911.99
F00419   5.330 -33.886 2.58e-17 1.27e-17 1.00e-17 12.87 -911.98
F00410   5.337 -33.819 2.62e-17 1.95e-17 1.35e-17 11.69 -912.00
F00429   5.342 -33.860 1.92e-17 1.56e-17 1.05e-17 11.67 -911.85
F00402   5.345 -33.854 1.93e-17 1.73e-17 1.31e-17 13.09 -911.94
F00432   5.358 -33.787 2.35e-17 2.31e-17 9.18e-18 10.14 -912.07
F00406   5.359 -33.916 1.84e-17 1.32e-17 9.31e-18 12.18 -911.93
F00427   5.359 -33.903 3.04e-17 2.03e-17 1.35e-17 12.96 -911.81
F00436   5.363 -33.909 2.07e-17 1.72e-17 8.48e-18 12.30 -911.94
F00428   5.366 -33.907 2.48e-17 1.45e-17 1.06e-17  9.91 -912.03
F00437   5.369 -33.903 2.77e-17 1.35e-17 7.81e-18 10.93 -912.11
F00417   5.370 -33.926 2.12e-17 1.84e-17 1.92e-17 16.44 -911.92
F00415   5.371 -33.895 3.33e-17 1.43e-17 7.86e-18 11.48 -912.11
F00422   5.374 -33.899 2.81e-17 2.09e-17 1.02e-17 15.26 -911.83
F00424   5.393 -33.937 2.46e-17 1.88e-17 1.27e-17 13.18 -911.99
F00414   5.404 -33.789 2.30e-17 1.96e-17 8.36e-18 10.73 -912.00
F00407   5.407 -33.949 2.41e-17 1.14e-17 9.19e-18  7.64 -912.10
F00431   5.416 -33.909 2.17e-17 1.83e-17 1.00e-17 14.29 -912.13
F00425   5.447 -33.834 2.23e-17 1.20e-17 6.76e-18 10.44 -911.99
F00423   5.457 -33.921 2.70e-17 1.92e-17 1.90e-17 16.80 -912.08
F00408   5.460 -33.834 2.39e-17 1.86e-17 1.21e-17 16.40 -911.73
F00440   5.463 -34.349 2.53e-17 2.00e-17 1.16e-17  8.17 -911.99
F00439   5.465 -33.944 1.95e-17 1.45e-17 8.58e-18  8.08 -911.91
F00416   5.466 -34.140 2.12e-17 1.65e-17 9.06e-18 10.62 -912.09
F00404   5.469 -34.090 2.73e-17 1.78e-17 8.09e-18  8.63 -911.94
F00420   5.498 -33.687 1.77e-17 1.31e-17 9.40e-18  8.72 -911.86
F00405   5.565 -34.214 2.81e-17 1.67e-17 1.06e-17 12.28 -912.04
F00409   5.567 -33.964 1.62e-17 1.30e-17 8.29e-18 12.37 -911.96
F00413   5.590 -33.918 2.47e-17 1.42e-17 1.29e-17  9.12 -911.85
F00412   5.610 -33.606 2.36e-17 2.14e-17 9.40e-18 13.31 -912.09
F00438   5.647 -34.015 1.67e-17 1.59e-17 1.33e-17 14.62 -912.00
F00307   9.528 -36.952 1.87e-17 1.30e-17 6.49e-18  8.20 -1041.89
F00302   9.584 -37.095 1.36e-17 2.03e-17 6.72e-18  8.85 -1041.71
F00325   9.640 -37.071 1.27e-17 1.05e-17 6.97e-18  7.97 -1041.79
F00318   9.655 -37.107 1.63e-17 1.35e-17 8.63e-18 11.12 -1041.83
F00315   9.679 -36.958 2.01e-17 1.21e-17 7.97e-18  9.73 -1041.85
F00310   9.683 -37.071 2.31e-17 1.20e-17 7.60e-18 11.62 -1041.94
F00317   9.694 -37.057 2.69e-17 1.81e-17 8.97e-18 11.78 -1041.89
F00322   9.703 -37.077 1.64e-17 1.30e-17 7.39e-18 16.44 -1041.87
F00309   9.706 -37.070 1.76e-17 1.08e-17 6.60e-18 11.07 -1041.94
F00324   9.707 -37.074 1.98e-17 1.18e-17 8.28e-18 18.13 -1041.88
F00304   9.707 -37.069 2.43e-17 1.05e-17 8.47e-18  8.04 -1041.96
F00326   9.711 -37.081 1.96e-17 1.19e-17 8.37e-18 14.46 -1042.03
F00305   9.716 -37.056 1.81e-17 1.15e-17 9.16e-18 14.29 -1041.77
F00319   9.718 -37.123 1.87e-17 1.07e-17 9.57e-18 12.70 -1041.75
F00306   9.721 -37.078 1.28e-17 1.11e-17 5.36e-18 11.19 -1041.92
F00320   9.732 -37.010 1.65e-17 1.15e-17 7.88e-18 12.17 -1041.98
F00308   9.738 -37.119 1.48e-17 1.45e-17 1.22e-17 15.63 -1041.75
F00316   9.790 -37.104 1.67e-17 2.18e-17 1.28e-17  8.04 -1042.04
F00312   9.875 -37.264 1.37e-17 1.61e-17 7.17e-18 11.19 -1041.97
F00301  10.172 -37.009 1.42e-17 1.61e-17 8.19e-18 13.36 -1041.73
F00321  10.196 -36.513 1.38e-17 1.39e-17 6.91e-18 10.50 -1041.81
