name x y flux0 flux1 flux2 width rv
F03234  15.395  -2.942 3.11e-17 1.93e-17 1.23e-17 20.32 -738.94
F03220  15.532  -2.788 3.88e-17 2.23e-17 1.78e-17 18.94 -738.86
F03219  15.594  -2.733 3.85e-17 2.56e-17 2.06e-17 10.22 -738.87
F03216  15.599  -3.045 3.40e-17 3.49e-17 1.60e-17 10.59 -738.68
F03235  15.614  -2.719 4.00e-17 2.75e-17 1.97e-17 16.60 -738.86
F03217  15.664  -2.747 4.31e-17 2.94e-17 1.82e-17 10.99 -738.85
F03214  15.666  -2.752 3.25e-17 2.78e-17 1.48e-17 10.59 -738.85
F03215  15.667  -2.786 3.61e-17 2.01e-17 1.66e-17 14.99 -738.82
F03227  15.668  -2.821 3.03e-17 2.01e-17 1.37e-17 16.14 -739.00
F03225  15.670  -2.809 3.62e-17 2.64e-17 1.30e-17 11.64 -738.77
F03224  15.671  -2.739 3.81e-17 2.51e-17 1.66e-17 17.25 -738.89
F03226  15.672  -2.745 3.23e-17 2.81e-17 2.04e-17 13.30 -738.78
F03233  15.676  -2.754 5.58e-17 3.17e-17 2.07e-17 20.26 -738.94
F03222  15.678  -2.577 3.91e-17 2.68e-17 1.88e-17 17.89 -738.72
F03231  15.680  -2.704 3.84e-17 2.91e-17 1.76e-17 12.87 -738.91
F03213  15.683  -2.754 3.11e-17 2.16e-17 1.73e-17 14.02 -738.98
F03218  15.685  -2.748 2.61e-17 2.61e-17 1.61e-17 15.94 -738.75
F03230  15.712  -2.835 2.81e-17 2.17e-17 1.71e-17 19.63 -738.76
F03232  15.723  -2.701 4.27e-17 2.88e-17 1.83e-17 13.54 -738.88
F03223  15.755  -2.742 3.65e-17 1.67e-17 1.53e-17 15.10 -738.92
F03228  15.770  -2.686 3.44e-17 2.47e-17 1.30e-17 13.66 -738.90
F03229  15.789  -2.649 3.79e-17 1.83e-17 1.79e-17  8.97 -739.00
F03221  15.903  -2.860 2.38e-17 2.17e-17 1.56e-17 25.28 -738.86
F01998  23.181 -14.043 1.84e-17 1.37e-17 6.89e-18  6.78 -1043.86
F02004  23.227 -14.060 1.77e-17 1.20e-17 9.03e-18 14.42 -1043.78
F01102  23.281  -3.601 5.00e-16 3.83e-16 1.88e-16 58.77 -210.08
F02007  23.292 -14.015 1.57e-17 1.32e-17 7.28e-18  6.15 -1043.62
F02001  23.331 -13.989 1.67e-17 1.61e-17 7.91e-18 10.90 -1043.64
F02005  23.357 -14.032 2.45e-17 1.31e-17 1.22e-17 11.30 -1043.68
F02008  23.359 -14.209 1.29e-17 1.96e-17 7.59e-18 11.03 -1043.61
F02006  23.410 -13.939 1.53e-17 1.16e-17 7.54e-18 11.32 -1043.71
F01099  23.695  -4.201 4.48e-16 2.58e-16 1.98e-16 40.65 -210.15
F01083  23.795  -3.460 4.83e-16 3.09e-16 1.38e-16 68.97 -210.23
F01073  23.827  -2.872 3.65e-16 2.16e-16 1.52e-16 75.48 -210.33
F01086  23.955  -4.400 4.44e-16 2.68e-16 2.90e-16 49.68 -210.16
F01081  24.095  -3.216 3.15e-16 2.12e-16 1.42e-16 66.29 -210.12
F01084  24.104  -3.426 4.50e-16 2.96e-16 2.11e-16 33.86 -210.37
F01078  24.117  -2.917 4.83e-16 2.69e-16 1.93e-16 77.87 -210.23
F01098  24.200  -3.581 4.32e-16 4.17e-16 1.79e-16 24.84 -210.15
F01096  24.202  -3.334 4.12e-16 3.41e-16 2.27e-16 43.31 -210.24
F01094  24.204  -3.256 2.94e-16 3.16e-16 1.88e-16 52.84 -210.22
F01091  24.276  -3.488 3.29e-16 2.20e-16 1.81e-16 38.38 -210.50
F01077  24.290  -3.583 3.34e-16 3.04e-16 1.86e-16 40.31 -210.21
F01103  24.302  -2.359 3.85e-16 3.25e-16 2.39e-16 69.06 -210.19
F01101  24.303  -2.901 4.92e-16 2.78e-16 1.86e-16 56.40 -210.26
F01087  24.319  -3.318 2.72e-16 2.07e-16 1.42e-16 61.78 -210.15
F01075  24.336  -3.445 3.29e-16 2.40e-16 2.08e-16 47.68 -210.43
F01104  24.392  -3.019 3.92e-16 3.21e-16 1.47e-16 37.98 -210.13
F01105  24.490  -3.235 3.84e-16 3.11e-16 1.87e-16 54.44 -210.26
F01079  24.568  -3.348 4.76e-16 3.16e-16 1.42e-16 61.62 -210.38
F01074  24.582  -3.445 6.39e-16 3.74e-16 2.11e-16 53.93 -210.24
F01076  24.591  -3.154 3.59e-16 2.87e-16 1.82e-16 57.82 -210.29
F01082  24.617  -3.719 3.96e-16 3.07e-16 1.80e-16 60.46 -210.16
F01093  24.648  -3.421 3.98e-16 3.66e-16 2.50e-16 66.51 -210.30
F01097  24.668  -3.162 3.82e-16 4.07e-16 1.92e-16 70.20 -210.35
F01088  24.690  -2.672 4.29e-16 2.31e-16 2.48e-16 41.81 -210.19
F01092  24.732  -3.314 3.22e-16 2.38e-16 1.45e-16 37.20 -210.20
F01089  24.765  -2.741 3.39e-16 2.60e-16 1.32e-16 45.89 -210.42
F01085  24.928  -2.996 6.32e-16 3.54e-16 2.80e-16 61.14 -210.19
F01095  25.143  -1.851 4.43e-16 3.32e-16 2.44e-16 61.63 -210.12
F01090  26.528  -4.682 4.49e-16 2.66e-16 2.27e-16 55.51 -210.13
F01100  26.829  -2.052 3.99e-16 3.12e-16 2.40e-16 50.50 -209.96
F01080  27.951  -1.779 4.60e-16 3.42e-16 2.37e-16 37.12 -209.67
