name x y flux0 flux1 flux2 width rv
F07125  15.502  15.143 1.61e-17 1.14e-17 5.87e-18 14.34 -1010.05
F02209  23.701  17.552 3.54e-17 2.57e-17 1.67e-17 10.20 -808.46
F02215  23.747  17.824 3.16e-17 2.02e-17 1.63e-17 12.18 -808.40
F02220  23.838  17.955 3.48e-17 2.50e-17 1.75e-17 11.33 -808.44
F02222  23.846  18.079 4.04e-17 2.27e-17 1.38e-17 11.81 -808.49
F02208  23.848  17.874 3.02e-17 2.07e-17 1.55e-17 19.08 -808.57
F02223  23.852  18.017 3.21e-17 2.24e-17 1.64e-17 15.33 -808.38
F02218  23.859  17.914 3.36e-17 2.61e-17 1.77e-17 19.78 -808.30
F02227  23.877  18.036 2.39e-17 1.83e-17 9.61e-18 15.17 -808.39
F02205  23.931  18.156 3.03e-17 2.42e-17 1.58e-17  8.78 -808.40
F02211  23.949  18.006 2.72e-17 2.10e-17 1.17e-17 17.33 -808.50
F02203  23.957  18.021 2.93e-17 2.57e-17 1.49e-17 17.81 -808.29
F02199  23.987  18.003 3.11e-17 2.07e-17 1.25e-17  8.31 -808.54
F02197  23.989  17.977 3.41e-17 2.35e-17 1.67e-17 17.63 -808.59
F02198  23.992  17.991 3.62e-17 2.63e-17 1.67e-17 14.01 -808.40
F02213  23.999  18.002 3.23e-17 2.28e-17 1.40e-17 14.33 -808.64
F02206  24.000  18.012 2.60e-17 1.49e-17 9.75e-18 11.06 -808.41
F02214  24.001  17.928 2.71e-17 1.84e-17 1.16e-17 19.09 -808.43
F02216  24.006  18.056 2.92e-17 2.57e-17 1.45e-17 16.45 -808.55
F02221  24.016  17.948 4.24e-17 2.47e-17 1.46e-17 12.73 -808.62
F02224  24.016  18.055 2.26e-17 1.56e-17 1.09e-17 15.53 -808.67
F02201  24.025  17.877 2.85e-17 2.12e-17 1.37e-17 18.04 -808.60
F02210  24.035  18.020 3.83e-17 2.14e-17 1.69e-17 12.18 -808.45
F02196  24.036  18.023 2.74e-17 2.47e-17 1.49e-17 18.50 -808.59
F02226  24.042  17.998 3.15e-17 2.45e-17 1.76e-17 12.26 -808.43
F02207  24.042  17.919 2.82e-17 2.46e-17 1.29e-17 10.41 -808.55
F02217  24.082  17.993 2.26e-17 1.37e-17 1.07e-17 14.55 -808.55
F02225  24.114  18.037 3.18e-17 2.23e-17 1.45e-17  8.52 -808.52
F02204  24.160  17.995 3.02e-17 2.59e-17 1.39e-17  7.51 -808.57
F02212  24.266  18.077 3.29e-17 2.37e-17 1.46e-17 21.45 -808.49
F02219  24.271  18.035 3.43e-17 1.82e-17 1.46e-17 10.89 -808.65
F02202  24.348  18.069 3.13e-17 2.41e-17 1.29e-17 15.35 -808.28
F02200  24.793  18.189 2.74e-17 1.93e-17 1.21e-17 14.30 -808.54
