Equatorial Polar PhotonsDetected
155.39600000000002 123.18299999999999 654
157.565 102.889 345
250.02 82.701 1420
39.846 119.78399999999999 704
42.399 97.02 435
0.498768868158914 159.43738355117682 286
182.355 53.543 9352
54.459 99.334 397
120.741 98.657 512
251.421 100.511 1679
100.36977200274787 44.13019726283398 465
308.634 133.841 339
282.6896279285238 38.75198015139361 1118
304.22670482323366 37.37660258668275 440
156.457 116.05199999999999 1194
68.595 120.261 538
131.84199999999998 118.012 978
310.1774777327281 43.64447448566408 2175
241.0303901282717 31.809431629827127 663
15.83 92.428 575
1.8570568004733816 162.59722466264745 394
286.1513516300157 43.75065876491195 572
166.544 44.854 624
173.21473566950735 155.95082398664118 290
186.945 121.793 1222634590
39.599 119.786 716
320.175844243158 19.271907985109344 773
1.514 91.134 499
110.74053267069138 152.37354332294473 325
276.945 98.561 587128976
290.55917932197474 40.647707047518274 504
240.48329157363332 31.365377625326584 569
83.8834359497062 40.10869315340234 731
69.212 120.102 564
359.9804295420865 162.43399913143543 431
276.1067971400038 18.444371875952154 2381
71.206 78.818 404
285.18947565752256 26.19233244466428 1329
301.4341226989576 43.146284523962954 1020
91.79646276900463 171.25986598761796 4475
350.369 97.513 466
146.5450342455021 137.31558917780234 1677
294.91426678852406 139.5157789040576 512
11.16 50.299 291
144.08699976998733 138.98158325469737 571
233.43 68.452 677
77.50527325015592 143.3724302919546 1279
36.276 48.364 520
191.053 125.786 335
322.54 124.16499999999999 356
54.29270036313873 144.99388652821366 480
100.27538029322848 44.012379192461424 404
