name x y flux0 flux1 flux2 width rv
F06507 -13.998  17.590 4.40e-17 3.21e-17 2.14e-17 15.91 -736.20
F06511 -13.917  17.508 2.99e-17 2.73e-17 1.88e-17 15.24 -736.25
F06524 -13.888  17.843 3.90e-17 2.58e-17 1.81e-17 16.99 -735.99
F06522 -13.876  17.549 3.70e-17 2.51e-17 1.77e-17 11.30 -736.12
F06505 -13.807  17.544 4.22e-17 2.67e-17 1.87e-17 15.50 -736.07
F06516 -13.797  17.580 2.69e-17 2.17e-17 1.17e-17 17.35 -735.90
F06530 -13.780  17.784 3.46e-17 2.69e-17 1.42e-17 21.38 -736.18
F06527 -13.774  17.501 3.95e-17 2.32e-17 1.58e-17 18.01 -736.06
F06517 -13.770  17.548 3.55e-17 3.02e-17 2.04e-17 21.52 -736.09
F06529 -13.767  17.514 3.79e-17 2.54e-17 2.07e-17  7.55 -736.21
F06528 -13.744  17.581 3.08e-17 2.13e-17 1.31e-17 19.16 -736.37
F06508 -13.743  17.561 3.27e-17 2.20e-17 1.13e-17 14.19 -736.23
F06512 -13.739  17.563 3.86e-17 3.11e-17 1.72e-17 15.27 -736.04
F06519 -13.737  17.561 1.76e-17 1.29e-17 7.64e-18 16.73 -736.11
F06525 -13.730  17.551 3.37e-17 2.59e-17 1.87e-17 13.57 -736.13
F06509 -13.723  17.594 4.01e-17 2.65e-17 1.86e-17 14.16 -736.24
F06513 -13.697  17.620 3.72e-17 2.15e-17 1.53e-17 14.78 -736.36
F06523 -13.693  17.565 3.51e-17 2.55e-17 1.47e-17 18.77 -736.24
F06515 -13.692  17.749 4.54e-17 3.01e-17 1.90e-17 11.83 -736.25
F06518 -13.690  17.623 3.21e-17 2.29e-17 1.63e-17 17.80 -736.03
F06510 -13.676  17.644 3.36e-17 2.36e-17 1.65e-17 17.86 -736.11
F06514 -13.675  17.512 4.29e-17 3.42e-17 2.27e-17 15.70 -736.08
F06520 -13.671  17.700 4.70e-17 3.07e-17 2.12e-17 14.95 -736.23
F06521 -13.651  17.643 4.06e-17 2.87e-17 2.06e-17 18.87 -736.16
F06506 -13.568  17.916 4.26e-17 2.91e-17 1.98e-17 15.60 -736.16
F06526 -13.540  17.631 3.53e-17 2.94e-17 1.72e-17 17.08 -736.15
F05392 -10.602  18.473 7.28e-17 6.13e-17 3.63e-17 21.07 -476.27
F05386 -10.323  19.138 9.44e-17 6.67e-17 4.31e-17 17.07 -476.40
F05339 -10.268  18.372 1.08e-16 8.08e-17 5.02e-17 16.98 -476.16
F05348 -10.147  18.199 6.79e-17 5.26e-17 2.96e-17 14.35 -476.45
F05365 -10.099  19.277 8.05e-17 6.41e-17 4.61e-17 25.73 -476.41
F05385 -10.068  18.914 8.06e-17 6.88e-17 4.22e-17 19.21 -476.26
F05362  -9.825  19.211 1.07e-16 6.32e-17 4.66e-17 30.24 -476.23
F05358  -9.791  19.309 6.57e-17 4.02e-17 2.92e-17 23.38 -476.18
F05383  -9.720  19.611 1.25e-16 7.20e-17 5.14e-17 36.54 -476.11
F05356  -9.714  19.158 8.13e-17 6.66e-17 4.20e-17 22.36 -476.28
F05341  -9.695  18.807 6.76e-17 5.89e-17 3.72e-17 29.89 -476.24
F05375  -9.689  18.769 1.10e-16 6.46e-17 4.25e-17 26.69 -476.28
F05393  -9.671  18.839 8.08e-17 6.18e-17 3.75e-17 25.63 -476.35
F05352  -9.643  18.644 9.44e-17 5.68e-17 3.93e-17 22.82 -476.30
F05342  -9.630  18.452 6.82e-17 5.76e-17 3.98e-17 20.25 -476.26
F05337  -9.618  18.862 7.31e-17 5.32e-17 3.23e-17 19.45 -476.32
F05370  -9.609  18.847 9.24e-17 6.19e-17 4.52e-17 14.76 -476.27
F05353  -9.584  19.115 8.36e-17 7.33e-17 3.42e-17 35.59 -476.46
F05363  -9.579  18.603 1.08e-16 8.11e-17 4.25e-17 31.89 -476.51
F05350  -9.578  18.800 1.16e-16 7.29e-17 4.52e-17 32.37 -476.35
F05378  -9.567  18.116 7.32e-17 4.67e-17 3.61e-17 26.72 -476.32
F05366  -9.561  19.517 1.13e-16 8.01e-17 4.59e-17 19.91 -476.21
F05345  -9.554  19.083 9.56e-17 7.55e-17 4.47e-17 28.08 -476.26
F05376  -9.548  18.889 9.61e-17 5.82e-17 3.94e-17 20.44 -475.98
F05390  -9.533  19.012 9.22e-17 5.77e-17 3.98e-17 21.57 -476.30
F05349  -9.516  18.839 8.57e-17 5.58e-17 4.13e-17 28.20 -476.24
F05340  -9.513  18.734 1.05e-16 6.73e-17 4.60e-17 21.20 -476.22
F05388  -9.506  18.845 6.43e-17 4.76e-17 3.05e-17 19.39 -476.13
F05364  -9.503  18.838 8.37e-17 6.29e-17 3.78e-17 23.80 -476.38
F05394  -9.502  18.838 1.16e-16 7.04e-17 5.48e-17 23.43 -476.36
F05343  -9.500  18.835 1.06e-16 7.80e-17 3.85e-17 30.40 -476.18
F05391  -9.499  18.836 6.41e-17 4.55e-17 2.90e-17 25.27 -476.26
F05338  -9.494  18.832 9.95e-17 6.50e-17 4.12e-17 26.12 -476.28
F05374  -9.492  18.832 8.00e-17 5.07e-17 3.56e-17 29.79 -476.33
F05346  -9.491  19.732 6.69e-17 4.69e-17 2.66e-17 23.55 -476.11
F05384  -9.490  18.907 7.83e-17 5.12e-17 3.44e-17 26.05 -476.17
F05361  -9.488  18.835 8.52e-17 5.27e-17 3.42e-17 21.09 -476.32
F05334  -9.484  18.876 1.03e-16 7.23e-17 4.56e-17 23.50 -476.31
F05377  -9.479  18.807 1.06e-16 7.50e-17 4.02e-17 12.50 -476.27
F05387  -9.478  18.634 1.04e-16 7.11e-17 3.95e-17 17.58 -476.32
F05335  -9.473  18.834 7.68e-17 5.53e-17 3.18e-17 17.32 -476.34
F05351  -9.466  18.322 9.65e-17 6.23e-17 4.46e-17 19.78 -476.27
F05382  -9.465  18.906 9.42e-17 8.87e-17 5.37e-17 24.89 -476.43
F05380  -9.457  18.708 7.87e-17 5.97e-17 3.27e-17 20.37 -476.22
F05347  -9.455  18.817 8.91e-17 6.33e-17 4.56e-17 15.30 -476.10
