name x y flux1 flux2 flux3 par rv
P01901 -14.635  -7.225 9.28e-13 4.24e-13 2.11e-13   0.012   -1.03
P08632 -14.207  -4.030 5.09e-15 3.85e-15 2.73e-15   0.012   -1.06
P06494 -13.566 -12.276 8.33e-16 4.84e-16 2.53e-16  -0.000    0.69
P05603 -13.299 -14.388 1.74e-16 9.61e-17 6.44e-17   0.002    0.26
P09782 -11.789 -13.021 3.20e-17 2.30e-17 1.40e-17   0.000    0.64
P05123 -10.831 -13.537 2.93e-17 2.39e-17 1.43e-17   0.000    0.46
P01314 -10.692 -14.563 6.19e-14 2.60e-14 1.36e-14   0.002   -0.05
P09318 -10.310 -13.534 1.43e-13 1.07e-13 7.64e-14  -0.000    0.30
P09953 -10.334 -11.706 2.91e-16 1.79e-16 1.04e-16  -0.000    0.92
P07413 -10.131 -14.921 8.77e-17 6.55e-17 3.62e-17  -0.001   -0.51
P01878 -10.173 -13.564 2.76e-16 1.82e-16 9.56e-17   0.001    0.28
P03231  -9.948 -14.447 1.54e-15 7.63e-16 4.00e-16   0.001   -0.34
P03672 -10.013 -14.694 5.07e-16 2.96e-16 1.54e-16  -0.001   -0.52
P07581  -9.746 -13.001 5.24e-16 3.37e-16 1.72e-16   0.002    0.60
P00026  -9.827 -14.483 3.35e-17 2.61e-17 1.66e-17   0.000   -0.51
P10352  -9.673 -13.534 9.81e-17 7.19e-17 3.93e-17  -0.000    0.11
P00344  -9.562 -12.318 1.74e-16 1.26e-16 7.09e-17  -0.001    0.75
P00995  -9.696 -12.977 6.65e-16 3.48e-16 1.89e-16   0.000    0.60
P07367  -9.463 -13.747 6.97e-17 5.20e-17 3.23e-17  -0.000   -0.11
P02236  -9.543 -13.592 6.44e-15 3.75e-15 1.47e-15  -0.001   -0.09
P09678  -9.571 -13.086 1.29e-13 6.38e-14 3.72e-14   0.002    0.28
P03016  -9.457 -14.148 1.06e-16 6.35e-17 3.78e-17   0.001   -0.47
P06035  -9.427 -11.411 1.97e-15 1.08e-15 4.71e-16   0.001    0.55
P00582  -9.309 -12.136 5.10e-17 3.42e-17 2.50e-17  -0.001    0.64
P01045  -9.342 -12.611 8.86e-16 4.97e-16 2.56e-16   0.003    0.66
P05996  -9.222 -12.251 7.51e-15 3.58e-15 1.53e-15  -0.000    0.65
P01117  -9.219 -14.537 5.32e-15 2.74e-15 1.06e-15  -0.002   -0.93
P07150  -9.245 -14.308 4.00e-17 2.56e-17 1.67e-17   0.001   -0.70
P08747  -9.140 -12.117 1.93e-16 1.19e-16 7.47e-17   0.002    0.61
P05263  -9.034 -13.044 1.05e-16 7.66e-17 4.30e-17   0.001    0.38
P05363  -9.095 -12.500 4.53e-17 3.35e-17 1.87e-17   0.001    0.52
P04927  -9.076 -13.233 3.31e-17 2.32e-17 1.81e-17   0.001    0.03
P02940  -9.059 -13.219 3.23e-16 1.83e-16 9.52e-17   0.001    0.12
P03694  -9.009 -13.397 2.11e-17 1.92e-17 1.14e-17   0.001   -0.11
P01585  -9.010 -12.221 6.05e-15 2.80e-15 1.33e-15   0.001    0.42
P07398  -8.955 -13.174 5.78e-14 3.16e-14 1.39e-14   0.002    0.25
P02609  -8.955 -13.273 4.49e-16 2.41e-16 1.42e-16  -0.001   -0.27
P10068  -8.875 -13.227 3.28e-17 2.28e-17 1.46e-17   0.001   -0.10
P01403  -8.832 -13.210 4.45e-17 2.89e-17 2.16e-17  -0.001    0.03
P10310  -8.845 -13.977 2.08e-16 1.22e-16 7.11e-17   0.000   -1.06
P00581  -8.728 -13.817 4.95e-17 3.78e-17 2.42e-17   0.001   -0.86
