name x y flux0 flux1 flux2 width rv
F03318  -4.605 -44.798 2.04e-17 1.87e-17 8.22e-18 14.01 -1032.04
F03306  -4.591 -44.954 1.64e-17 1.28e-17 8.37e-18 11.09 -1031.92
F03309  -4.460 -44.743 1.92e-17 1.40e-17 1.01e-17 11.99 -1031.90
F03302  -4.453 -44.751 2.15e-17 1.13e-17 1.06e-17 16.41 -1031.80
F03316  -4.445 -44.766 2.12e-17 1.16e-17 5.78e-18 10.62 -1032.13
F03308  -4.444 -44.735 1.30e-17 1.19e-17 7.91e-18  9.94 -1031.74
F03303  -4.437 -44.737 1.63e-17 1.26e-17 9.14e-18  9.75 -1032.02
F03312  -4.434 -44.739 1.18e-17 1.39e-17 8.17e-18  9.40 -1032.16
F03320  -4.434 -44.731 1.95e-17 1.54e-17 1.20e-17  9.97 -1032.08
F03300  -4.428 -44.732 1.77e-17 1.05e-17 6.46e-18 13.82 -1032.15
F03310  -4.420 -44.747 2.02e-17 1.37e-17 7.17e-18 12.12 -1032.20
F03317  -4.416 -44.763 1.86e-17 1.18e-17 8.51e-18 14.46 -1032.13
F03305  -4.404 -44.741 1.56e-17 1.39e-17 7.78e-18  9.37 -1032.02
F03313  -4.399 -44.664 2.37e-17 1.72e-17 1.05e-17 12.75 -1032.05
F03319  -4.367 -44.490 2.35e-17 1.55e-17 8.23e-18 13.27 -1032.05
F03301  -4.292 -44.739 1.56e-17 1.35e-17 1.18e-17  8.43 -1031.88
F03307  -4.290 -44.722 1.88e-17 1.02e-17 9.03e-18 11.88 -1032.30
F03299  -4.287 -44.800 1.61e-17 1.50e-17 5.61e-18 12.60 -1031.96
F03304  -4.273 -44.821 1.75e-17 1.11e-17 9.87e-18 10.39 -1031.92
F03311  -4.099 -44.720 1.94e-17 2.02e-17 7.48e-18  9.55 -1031.81
