name x y flux0 flux1 flux2 width rv
F09466 -12.723  12.842 2.79e-17 1.66e-17 1.34e-17  9.14 -966.14
F09473 -12.668  13.171 2.03e-17 1.57e-17 9.87e-18 15.92 -966.31
F09484 -12.634  13.185 2.65e-17 1.73e-17 9.73e-18  9.24 -966.07
F09472 -12.615  12.959 2.00e-17 1.39e-17 9.63e-18 14.31 -966.28
F09470 -12.603  13.117 2.55e-17 1.33e-17 1.02e-17 13.83 -966.27
F09478 -12.571  13.003 1.65e-17 1.28e-17 7.68e-18  9.66 -966.27
F09482 -12.566  13.088 2.10e-17 1.26e-17 1.18e-17 14.08 -966.39
F09467 -12.526  12.732 2.46e-17 1.91e-17 8.39e-18 17.66 -966.15
F09441 -12.521  13.124 2.25e-17 1.38e-17 1.31e-17  8.92 -966.13
F09481 -12.512  13.014 2.06e-17 1.34e-17 1.06e-17 11.56 -966.15
F09474 -12.507  13.381 2.46e-17 1.97e-17 1.12e-17 12.74 -966.20
F09443 -12.507  13.171 1.53e-17 1.38e-17 9.07e-18 16.80 -966.09
F09465 -12.504  13.411 1.92e-17 1.61e-17 7.77e-18 10.88 -966.23
F09485 -12.503  13.071 2.02e-17 1.49e-17 1.08e-17 18.77 -966.14
F09456 -12.495  13.175 2.10e-17 1.74e-17 9.76e-18 14.63 -966.21
F09480 -12.492  13.063 1.60e-17 1.44e-17 8.24e-18 15.12 -966.17
F09445 -12.482  12.990 1.54e-17 1.35e-17 7.67e-18 11.04 -966.35
F09455 -12.481  13.480 2.00e-17 1.28e-17 9.62e-18  8.99 -966.16
F09458 -12.468  13.042 2.34e-17 1.49e-17 1.04e-17 11.96 -966.12
F09446 -12.467  13.070 2.40e-17 1.51e-17 1.02e-17  9.75 -966.25
F09444 -12.465  13.110 2.45e-17 1.73e-17 1.10e-17 12.75 -966.24
F09448 -12.465  13.067 1.80e-17 1.55e-17 1.30e-17  6.45 -966.21
F09451 -12.458  13.068 2.85e-17 1.88e-17 1.18e-17  5.94 -966.00
F09479 -12.455  13.038 2.29e-17 1.92e-17 1.14e-17  9.33 -966.12
F09453 -12.453  13.048 1.66e-17 1.12e-17 1.04e-17 10.71 -966.27
F09487 -12.449  13.072 2.75e-17 1.59e-17 9.72e-18 12.54 -966.32
F09450 -12.448  13.133 2.85e-17 1.09e-17 1.03e-17  9.46 -966.25
F09454 -12.444  12.989 1.99e-17 1.76e-17 1.10e-17  9.47 -966.15
F09452 -12.441  12.932 1.56e-17 1.30e-17 8.59e-18  7.46 -966.21
F09447 -12.440  13.055 1.58e-17 1.07e-17 6.34e-18  8.45 -966.21
F09442 -12.439  13.089 2.14e-17 1.60e-17 1.12e-17 12.72 -966.23
F09462 -12.436  13.116 2.40e-17 1.32e-17 9.77e-18  7.79 -966.24
F09490 -12.421  13.088 3.32e-17 1.59e-17 1.17e-17  7.49 -966.16
F09483 -12.418  13.041 2.34e-17 2.20e-17 1.28e-17 10.28 -966.03
F09491 -12.417  12.980 1.82e-17 1.34e-17 6.88e-18 10.84 -966.12
F09468 -12.407  12.934 2.66e-17 1.67e-17 1.25e-17 11.95 -966.06
F09493 -12.400  13.094 1.48e-17 1.00e-17 9.78e-18 15.89 -966.23
F09471 -12.398  12.927 2.14e-17 1.41e-17 9.46e-18 10.28 -966.34
F09464 -12.398  12.997 2.45e-17 1.44e-17 8.98e-18 13.51 -966.26
F09469 -12.392  13.050 1.83e-17 1.64e-17 7.76e-18  9.62 -966.50
F09457 -12.386  13.166 3.03e-17 1.90e-17 1.01e-17 10.03 -966.37
F09459 -12.376  13.469 1.95e-17 1.71e-17 9.16e-18  8.72 -966.27
F09492 -12.367  13.096 2.00e-17 1.20e-17 9.72e-18 14.40 -966.36
F09460 -12.360  13.114 2.40e-17 1.27e-17 1.01e-17 13.63 -966.31
F09475 -12.355  13.008 2.55e-17 1.39e-17 9.29e-18 11.72 -966.30
F09477 -12.348  13.314 2.15e-17 1.65e-17 1.28e-17 15.11 -966.17
F09449 -12.343  12.949 2.76e-17 1.36e-17 9.45e-18 12.96 -966.09
F09461 -12.323  13.146 1.54e-17 1.01e-17 6.94e-18 12.28 -966.10
F09488 -12.236  12.819 2.87e-17 1.86e-17 1.21e-17 15.61 -966.18
F09489 -12.222  13.116 1.91e-17 1.34e-17 8.90e-18 12.54 -966.05
F09476 -12.208  12.650 2.15e-17 1.58e-17 1.17e-17 14.12 -966.27
F03004  -7.339   1.435 3.10e-17 1.82e-17 1.36e-17 15.25 -887.06
F03005  -7.192   0.821 2.84e-17 1.53e-17 1.15e-17  7.18 -886.97
F03010  -7.120   1.390 2.43e-17 1.47e-17 1.08e-17 11.08 -887.07
F02984  -7.011   1.033 2.23e-17 2.07e-17 1.09e-17 13.46 -886.90
F02996  -6.980   1.049 2.53e-17 1.79e-17 9.77e-18 19.81 -887.23
F02992  -6.960   0.996 2.77e-17 1.81e-17 1.56e-17 16.35 -887.04
F02985  -6.955   0.955 2.33e-17 2.03e-17 9.32e-18 10.70 -887.01
F03019  -6.953   0.747 2.13e-17 1.58e-17 1.13e-17 19.20 -887.04
F03001  -6.899   1.034 2.79e-17 2.13e-17 1.33e-17 11.06 -887.07
F03006  -6.868   1.085 2.44e-17 1.80e-17 9.02e-18 13.32 -886.97
F02998  -6.862   1.001 2.73e-17 1.99e-17 1.26e-17 10.61 -887.25
F03007  -6.862   1.094 2.99e-17 1.88e-17 1.27e-17 11.77 -887.19
F02990  -6.859   1.217 1.89e-17 1.67e-17 8.98e-18  8.96 -886.94
F03020  -6.857   1.010 1.78e-17 1.41e-17 1.07e-17 14.38 -886.96
F03015  -6.846   1.152 2.07e-17 1.33e-17 1.08e-17  9.60 -887.02
F02991  -6.831   1.107 2.81e-17 2.06e-17 1.26e-17 12.75 -887.14
F03002  -6.830   1.067 2.74e-17 1.55e-17 1.29e-17 12.55 -887.02
F03011  -6.820   1.143 2.18e-17 1.30e-17 8.66e-18  9.09 -887.29
F03013  -6.816   1.176 2.38e-17 1.34e-17 7.92e-18 14.99 -887.12
F02995  -6.816   1.305 2.26e-17 2.08e-17 1.06e-17 15.41 -887.10
F03014  -6.815   1.093 2.24e-17 1.69e-17 9.77e-18  7.03 -887.10
F03003  -6.815   1.093 2.46e-17 2.10e-17 1.03e-17 10.45 -887.01
F03021  -6.814   1.102 1.75e-17 1.47e-17 9.63e-18 16.94 -887.18
F02989  -6.813   1.078 2.60e-17 2.53e-17 1.59e-17  7.26 -887.27
F02983  -6.811   1.094 3.11e-17 1.90e-17 1.07e-17 12.47 -887.18
F03000  -6.809   1.021 2.77e-17 2.24e-17 1.10e-17 15.09 -887.15
F02994  -6.808   1.096 2.01e-17 1.49e-17 1.06e-17 12.30 -887.07
F02987  -6.797   1.159 3.46e-17 2.01e-17 1.19e-17  7.82 -887.25
F03012  -6.797   1.065 2.06e-17 1.58e-17 9.84e-18 10.40 -887.10
F03008  -6.787   1.005 2.81e-17 1.95e-17 1.39e-17 10.04 -887.07
F03017  -6.781   1.103 1.96e-17 1.37e-17 8.19e-18  7.61 -887.21
F03022  -6.775   1.058 2.63e-17 1.96e-17 1.44e-17 12.96 -887.03
F02993  -6.772   1.183 2.09e-17 1.29e-17 9.33e-18 11.92 -887.17
F02999  -6.768   1.121 2.21e-17 1.94e-17 1.14e-17 13.86 -886.97
F02997  -6.747   0.956 2.39e-17 1.74e-17 1.02e-17 11.96 -887.07
F02986  -6.724   1.269 1.63e-17 1.28e-17 8.21e-18 11.49 -887.16
F02988  -6.691   1.132 1.55e-17 1.31e-17 8.08e-18 14.87 -887.16
F03016  -6.684   1.068 2.27e-17 1.19e-17 9.16e-18 11.12 -887.12
F03009  -6.676   1.011 3.16e-17 2.31e-17 1.52e-17 12.85 -887.18
F03018  -6.384   0.815 2.10e-17 1.65e-17 9.84e-18 10.88 -887.27
F06373  -5.707  14.996 4.31e-17 2.83e-17 2.20e-17 15.60 -582.76
F06412  -5.097  14.488 6.96e-17 4.62e-17 3.13e-17 19.67 -582.74
F06414  -4.978  14.343 4.69e-17 3.83e-17 2.41e-17  7.61 -582.97
F06378  -4.950  14.031 4.48e-17 4.18e-17 2.47e-17 18.49 -582.78
F06369  -4.872  14.389 5.34e-17 4.68e-17 2.71e-17 16.05 -582.96
F06374  -4.868  14.441 5.52e-17 3.69e-17 2.01e-17  9.60 -583.00
F06404  -4.860  14.254 4.85e-17 3.07e-17 3.13e-17 16.77 -583.07
F06391  -4.833  14.414 3.68e-17 2.43e-17 1.62e-17 17.52 -582.84
F06372  -4.821  14.561 5.86e-17 3.84e-17 2.35e-17 24.94 -582.87
F06368  -4.819  14.472 7.85e-17 5.30e-17 3.02e-17 21.59 -582.95
F06361  -4.817  14.464 6.26e-17 3.91e-17 3.06e-17 14.79 -583.02
F06381  -4.815  14.338 3.89e-17 2.97e-17 2.87e-17 10.21 -582.71
F06406  -4.806  14.315 6.09e-17 3.89e-17 2.21e-17 14.78 -582.91
F06388  -4.800  14.687 5.71e-17 5.02e-17 3.47e-17 13.08 -582.88
F06390  -4.790  14.382 5.10e-17 4.26e-17 2.59e-17 27.14 -582.75
F06383  -4.787  14.343 5.22e-17 4.26e-17 2.28e-17 15.97 -582.79
F06408  -4.786  14.358 4.77e-17 3.19e-17 2.03e-17 24.78 -582.91
F06379  -4.784  14.451 4.21e-17 3.95e-17 2.47e-17 26.03 -582.80
F06362  -4.780  14.393 6.26e-17 4.98e-17 2.88e-17 25.33 -582.61
F06386  -4.767  14.412 5.43e-17 3.08e-17 2.06e-17 27.39 -582.86
F06376  -4.767  14.385 5.54e-17 3.66e-17 3.65e-17 14.87 -582.81
F06385  -4.762  14.396 9.75e-17 6.41e-17 4.23e-17 24.51 -582.68
F06364  -4.758  14.398 5.86e-17 4.36e-17 2.75e-17 19.42 -582.69
F06397  -4.756  14.385 6.24e-17 3.82e-17 2.75e-17 17.66 -582.61
F06400  -4.755  14.347 4.86e-17 2.77e-17 1.94e-17 19.04 -582.83
F06380  -4.755  14.489 6.16e-17 3.53e-17 2.53e-17 17.29 -583.07
F06363  -4.755  14.391 7.20e-17 5.32e-17 3.10e-17 20.07 -582.89
F06399  -4.754  14.616 5.66e-17 3.56e-17 2.79e-17 20.01 -582.91
F06360  -4.752  14.387 6.95e-17 4.67e-17 3.12e-17 18.35 -583.02
F06407  -4.752  14.396 4.16e-17 3.58e-17 2.07e-17 20.06 -582.98
F06395  -4.745  14.397 5.25e-17 4.38e-17 2.52e-17 21.39 -582.79
F06398  -4.743  14.229 4.85e-17 3.21e-17 1.94e-17 22.49 -582.80
F06387  -4.740  14.392 6.35e-17 4.96e-17 2.71e-17 22.87 -582.91
F06402  -4.740  14.298 4.23e-17 3.04e-17 1.92e-17 16.45 -582.75
F06405  -4.731  14.422 5.77e-17 3.92e-17 3.47e-17 26.64 -582.92
F06377  -4.726  14.500 6.55e-17 5.15e-17 2.50e-17 19.34 -582.99
F06375  -4.723  14.442 4.34e-17 2.55e-17 1.77e-17 23.18 -582.88
F06411  -4.720  14.508 7.02e-17 4.49e-17 2.30e-17 26.82 -583.03
F06415  -4.719  14.444 5.11e-17 3.50e-17 2.25e-17 14.93 -582.89
F06370  -4.716  14.400 4.91e-17 3.16e-17 2.21e-17 23.74 -582.92
F06413  -4.714  14.425 5.75e-17 5.39e-17 3.09e-17 24.13 -582.88
F06393  -4.710  14.119 4.21e-17 2.68e-17 1.98e-17 13.38 -583.04
F06396  -4.706  14.430 6.49e-17 4.88e-17 2.50e-17 25.87 -582.83
F06409  -4.694  14.228 6.57e-17 4.99e-17 3.45e-17 15.05 -582.74
F06389  -4.691  14.695 7.15e-17 5.55e-17 4.31e-17 29.16 -582.85
F06366  -4.682  14.384 6.61e-17 4.06e-17 2.98e-17 26.46 -582.82
F06365  -4.662  14.365 3.85e-17 3.83e-17 2.86e-17 22.24 -582.97
F06394  -4.654  14.259 4.79e-17 3.76e-17 2.93e-17 25.77 -582.83
F06392  -4.653  14.412 5.55e-17 3.67e-17 2.55e-17 15.65 -582.94
F06371  -4.624  14.331 6.64e-17 4.65e-17 3.46e-17 19.69 -582.77
F06382  -4.611  14.328 5.83e-17 4.05e-17 2.80e-17 32.38 -582.96
F06403  -4.572  14.339 4.33e-17 3.46e-17 2.37e-17 28.41 -582.86
F06384  -4.481  14.232 7.53e-17 6.81e-17 3.03e-17 25.30 -582.81
F06410  -4.369  13.829 8.02e-17 5.63e-17 2.93e-17 21.38 -582.67
F06401  -4.121  14.336 6.76e-17 4.88e-17 2.64e-17 16.75 -582.87
F06367  -3.963  14.656 4.61e-17 3.47e-17 2.38e-17 16.72 -582.96
