Time,Flux
0.0,1.070941577581338
1.0,0.9992070862994615
2.0,1.013089517553818
3.0,1.0417484955731182
4.0,1.0294453696437023
5.0,1.0401212212152942
6.0,1.0374148479153218
7.0,1.0167769958599544
8.0,1.0657821962151337
9.0,1.0973390159412115
10.0,1.0898481164174898
11.0,1.0409212530209848
12.0,1.0967533303565502
13.0,1.0829862761512716
14.0,1.1057097087733045
15.0,1.1372190692812938
16.0,1.1302140712729047
17.0,1.1555297629971102
18.0,1.119363629006522
19.0,1.1499657476765681
20.0,1.175957543297645
21.0,1.1903554883680498
22.0,1.1718569354198096
23.0,1.1876160498711048
24.0,1.1913963680283763
25.0,1.2269358850682843
26.0,1.215454851415996
27.0,1.2152131632124272
28.0,1.218889427277103
29.0,1.257149234128441
30.0,1.2534764323781329
31.0,1.2568284838634924
32.0,1.2654656456489621
33.0,1.2811615854888354
34.0,1.2775552222179622
35.0,1.280567757480234
36.0,1.3100053096961464
37.0,1.33044696789722
38.0,1.3215178237088736
39.0,1.3357455237263995
40.0,1.3383369668818461
41.0,1.3553964409053052
42.0,1.3461822651600737
43.0,1.345424859086003
44.0,1.3424868341800744
45.0,1.3262651847833982
46.0,1.282141012067068
47.0,1.2405225918158682
48.0,1.1855149874837647
49.0,1.0975188803353606
50.0,1.0743890207273863
51.0,1.0016381567952353
52.0,1.0264315370070456
53.0,0.9944761982128916
54.0,1.0410209080331319
55.0,1.0550161388326904
56.0,1.0431507351189724
57.0,1.0492317336094097
58.0,1.0619127078343522
59.0,1.0532925235580826
60.0,1.0506892558816965
61.0,1.1064398266930269
62.0,1.081247612127159
63.0,1.1008354691530018
64.0,1.1104487596781247
65.0,1.1321997714087657
66.0,1.1356002435857744
67.0,1.1483460472344322
68.0,1.157122069276979
69.0,1.1479209164400566
70.0,1.1472686272691106
71.0,1.188458030424752
72.0,1.1657383420424172
73.0,1.207829312888916
74.0,1.1904112691656976
75.0,1.2132504446938217
76.0,1.2376204560711643
77.0,1.2244034345944164
78.0,1.231769735050381
79.0,1.221557788761418
80.0,1.23465140940926
81.0,1.2660671534124601
82.0,1.2736434861954387
83.0,1.2706897890015956
84.0,1.2672553271883467
85.0,1.2870021710642658
86.0,1.3006867940378917
87.0,1.2882540995388319
88.0,1.3038310322877145
89.0,1.3281266167211359
90.0,1.3301614871066878
91.0,1.3139174816777
92.0,1.3645725826934512
93.0,1.3334404419361097
94.0,1.3794788930929507
95.0,1.367720625457758
96.0,1.3169598045798478
97.0,1.2206744766259026
98.0,1.178241526428882
99.0,1.105739495369132
100.0,1.0595469726071305
101.0,0.9967166006997943
102.0,1.0168502609534777
103.0,1.0370654105691504
104.0,1.0247133735689582
105.0,1.048076726316456
106.0,1.055071035733347
107.0,1.0510667858558655
108.0,1.0484463932920045
109.0,1.0748879583288546
110.0,1.0716955214488142
111.0,1.0888124084881572
112.0,1.0786733687361738
113.0,1.1078797497805726
114.0,1.1144026754131844
115.0,1.1206284027673805
116.0,1.1098068929367562
117.0,1.126398651730153
118.0,1.1627269350262641
119.0,1.166524047491264
