name x y flux1 flux2 flux3 par rv
P02973 -14.932 -25.131 1.35e-13 6.08e-14 2.68e-14   0.000   -0.04
P08127 -14.906 -23.672 3.26e-15 1.83e-15 8.72e-16   0.002   -0.14
P01167 -14.905 -23.440 1.22e-14 5.56e-15 2.79e-15   0.001   -0.16
P00516 -14.916 -23.291 1.47e-14 7.31e-15 3.31e-15   0.001   -0.23
P03697 -14.933 -22.035 1.27e-17 1.25e-17 8.58e-18   0.001   -0.70
P04109 -14.749 -22.771 1.16e-15 6.71e-16 2.91e-16   0.001   -0.44
P03310 -14.663 -23.084 2.03e-15 1.26e-15 6.88e-16   0.001   -0.27
P05111 -14.503 -20.866 6.32e-14 1.11e-13 1.56e-13   0.001   -0.98
P01621 -14.426 -22.715 6.70e-17 4.85e-17 3.45e-17   0.000   -0.36
P07455 -14.438 -23.025 1.98e-17 1.64e-17 1.29e-17   0.001   -0.25
P09351 -14.384 -21.983 1.12e-15 8.54e-16 3.50e-16   0.001   -0.87
P06207 -14.472 -23.949 1.22e-15 7.61e-16 3.22e-16  -0.001   -0.11
P07827 -14.463 -22.637 4.24e-16 2.56e-16 1.33e-16   0.002   -0.51
P04789 -14.300 -22.423 1.65e-16 1.11e-16 6.48e-17   0.001   -0.80
P05782 -14.059 -22.808 1.18e-16 9.23e-17 5.54e-17  -0.001   -0.44
P05667 -14.140 -22.408 1.26e-16 7.50e-17 6.32e-17   0.001   -0.75
P03908 -14.210 -22.408 8.61e-17 6.97e-17 4.87e-17  -0.000   -0.77
P04414 -14.214 -23.200 4.12e-15 2.31e-15 1.07e-15   0.003   -0.32
P00571 -14.140 -22.347 3.22e-16 2.15e-16 1.03e-16   0.002   -0.85
P03234 -14.159 -20.775 6.25e-16 3.38e-16 2.02e-16   0.002   -1.09
P05387 -14.060 -22.724 4.46e-17 3.89e-17 2.79e-17   0.001   -0.65
P06795 -14.008 -22.335 2.49e-17 2.45e-17 1.87e-17   0.001   -0.82
P00084 -14.060 -22.952 6.50e-17 5.91e-17 3.36e-17   0.001   -0.49
P06561 -14.025 -22.672 2.60e-13 1.53e-13 8.28e-14   0.000   -0.63
P03156 -14.129 -22.783 1.81e-17 1.75e-17 1.30e-17  -0.001   -0.69
P04063 -14.017 -22.559 1.35e-16 9.08e-17 6.25e-17   0.001   -0.85
P05412 -13.879 -21.730 1.15e-14 6.02e-15 2.69e-15   0.002   -1.09
P07886 -13.789 -21.448 3.31e-17 3.19e-17 1.91e-17   0.001   -1.02
P01703 -13.775 -23.159 1.84e-17 1.77e-17 1.19e-17   0.001   -0.39
P03856 -13.822 -24.742 1.34e-15 8.47e-16 3.98e-16   0.000   -0.10
P07866 -13.743 -22.924 5.29e-17 3.93e-17 2.98e-17   0.001   -0.64
P01078 -13.731 -22.980 4.50e-17 4.38e-17 2.85e-17  -0.001   -0.56
P07702 -13.534 -22.463 1.55e-17 1.37e-17 1.21e-17   0.000   -0.93
P08922 -13.431 -22.625 1.05e-14 4.78e-15 2.19e-15  -0.001   -0.82
P00587 -13.583 -22.600 2.90e-15 1.37e-15 7.65e-16   0.002   -0.84
P01130 -13.293 -22.070 1.38e-17 1.18e-17 1.12e-17   0.002   -1.07
P09044 -13.331 -15.416 1.09e-13 5.26e-14 2.80e-14  -0.000    0.01
P04480 -13.331 -22.235 2.44e-17 2.35e-17 1.68e-17   0.001   -0.95
P05288 -13.153 -23.009 1.63e-14 8.34e-15 3.63e-15   0.001   -0.72
P09864 -13.128 -24.876 6.33e-16 4.00e-16 1.99e-16   0.000   -0.21
P01227 -13.112 -21.842 1.38e-14 6.90e-15 2.71e-15   0.001   -1.02
P04945 -13.049 -22.550 2.25e-15 1.18e-15 5.80e-16   0.000   -0.88
P04506 -13.024 -24.683 5.03e-17 4.69e-17 2.51e-17  -0.000   -0.26
P01811 -12.916 -21.948 1.88e-15 1.32e-15 5.75e-16   0.001   -1.07
P03332 -12.277 -22.910 8.79e-15 5.14e-15 2.26e-15   0.001   -0.84
P09564 -12.339 -22.934 5.45e-16 3.78e-16 1.80e-16  -0.001   -0.80
P01432 -12.214 -23.985 1.24e-15 7.70e-16 3.69e-16   0.000   -0.50
P01867 -12.106 -22.684 6.91e-15 2.95e-15 1.48e-15   0.001   -0.79
P05536 -12.015 -23.026 3.70e-15 2.03e-15 1.00e-15   0.002   -0.72
P04462 -11.855 -22.673 3.97e-17 3.70e-17 2.37e-17   0.001   -0.82
P07912 -11.796 -22.197 2.11e-15 1.25e-15 5.81e-16   0.001   -0.99
P02059 -11.420 -22.429 2.45e-16 1.77e-16 9.62e-17   0.001   -0.92
P07474 -11.045 -16.815 5.95e-14 3.04e-14 1.21e-14   0.002   -0.70
P04481 -11.077 -22.204 2.09e-13 2.30e-13 1.74e-13   0.000   -0.95
P02980 -10.928 -20.911 7.37e-16 5.03e-16 2.55e-16   0.002   -1.12
P08755  -6.574 -15.038 2.27e-15 1.35e-15 6.35e-16   0.001   -2.23
P04356  -4.843 -15.570 2.38e-15 1.36e-15 6.43e-16   0.001   -2.24
P06967  -3.462 -21.024 1.92e-13 9.12e-14 5.10e-14   0.008   -0.46
P06091  -3.378 -20.220 1.50e-14 1.34e-14 7.50e-15  -0.001   -1.42
P07504  -2.480 -20.869 1.20e-14 1.35e-14 8.82e-15  -0.001    0.00
P03484  -2.440 -20.177 1.54e-17 1.10e-17 5.71e-18   0.001   -2.58
P06619  -2.414 -20.204 5.58e-16 3.01e-16 1.28e-16   0.001   -2.79
P05522  -2.399 -20.256 1.00e-16 4.38e-17 2.38e-17  -0.000   -2.72
P03268  -2.477 -20.529 1.60e-17 1.06e-17 5.83e-18  -0.001   -0.54
P05968  -2.420 -20.552 1.13e-17 7.63e-18 4.68e-18   0.001   -1.00
P04578  -2.358 -20.411 2.12e-17 1.53e-17 8.34e-18  -0.002   -1.27
P08681  -2.397 -20.330 3.47e-16 1.96e-16 8.09e-17   0.001   -2.84
P08349  -2.381 -20.590 4.89e-16 2.75e-16 1.27e-16  -0.000    0.20
P09395  -2.321 -20.585 6.72e-17 4.25e-17 2.00e-17  -0.001   -1.16
P10024  -2.314 -20.528 1.47e-16 1.01e-16 4.24e-17   0.000   -1.07
P09866  -2.371 -20.343 2.26e-17 1.55e-17 8.71e-18  -0.001   -2.23
P09101  -2.425 -20.442 2.41e-17 1.46e-17 9.08e-18  -0.000   -1.90
P07980  -2.261 -20.362 8.87e-17 4.97e-17 3.11e-17   0.001   -2.27
P08407  -2.386 -20.150 2.31e-17 1.62e-17 8.78e-18  -0.001   -2.71
P01031  -2.350 -20.374 1.68e-14 9.54e-15 6.90e-15   0.001   -1.83
P05268  -2.214 -21.038 5.61e-16 2.94e-16 1.52e-16  -0.000    1.55
P02306  -2.458 -20.613 1.10e-17 7.10e-18 4.06e-18   0.000    0.09
P09851  -2.279 -20.622 3.50e-16 1.92e-16 7.90e-17   0.001    0.07
P01043  -2.323 -20.658 3.40e-16 1.92e-16 7.77e-17   0.000   -1.16
P08475  -2.208 -20.706 1.84e-16 9.88e-17 4.61e-17  -0.001    0.58
