Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F04202 0.525 159.473 1.8e-17 1.23e-17 8.18e-18 7.86 -1078.55 410719.7718631179 DownD02
F04188 0.561 159.062 1.91e-17 1.07e-17 8.55e-18 10.86 -1078.38 410655.13307984796 DownD02
F04192 0.574 159.44 1.46e-17 1.37e-17 7.16e-18 9.8 -1078.21 410590.494296578 DownD02
F04209 0.603 159.483 1.53e-17 1.16e-17 7.56e-18 11.55 -1078.53 410712.16730038024 DownD02
F04218 0.288 159.491 1.69e-17 1.03e-17 6.9e-18 14.17 -1078.51 410704.5627376426 DownD02
F04216 0.296 159.499 1.96e-17 1.41e-17 9.94e-18 13.54 -1078.57 410727.3764258555 DownD02
F04198 0.312 159.634 2.16e-17 1.3e-17 9.15e-18 8.46 -1078.58 410731.1787072243 DownD02
F04207 0.352 159.485 1.75e-17 1.23e-17 8.25e-18 7.91 -1078.37 410651.3307984791 DownD02
F04224 0.38 159.486 2.13e-17 1.36e-17 1.12e-17 10.14 -1078.62 410746.3878326996 DownD02
F04220 0.397 159.501 1.77e-17 1.06e-17 6.69e-18 16.11 -1078.47 410689.35361216735 DownD02
F04199 0.397 159.489 1.49e-17 1.02e-17 7.21e-18 10.18 -1078.6 410738.78326996195 DownD02
F04205 0.412 159.535 1.69e-17 1.01e-17 7.28e-18 10.39 -1078.44 410677.94676806085 DownD02
F04219 0.458 159.477 1.32e-17 1.11e-17 7.33e-18 15.38 -1078.4 410662.7376425856 DownD02
F04195 0.468 159.428 1.8e-17 1.3e-17 8.86e-18 9.09 -1078.48 410693.15589353617 DownD02
F04221 0.487 159.548 2.03e-17 1.34e-17 9.95e-18 10.25 -1078.54 410715.96958174906 DownD02
F04190 0.502 159.455 2.33e-17 1.3e-17 7.53e-18 13.19 -1078.4 410662.7376425856 DownD02
