Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F02362 118.928 103.989 4.11e-17 3.3e-17 2.3e-17 15.17 -589.3 224693.1558935361 RightE04
F02370 119.061 104.093 6e-17 3.53e-17 2.22e-17 20.51 -589.45 224750.19011406848 RightE04
F02369 119.123 104.742 6.29e-17 3.76e-17 2.81e-17 24.27 -589.32 224700.7604562738 RightE04
F02371 119.142 103.387 5.82e-17 2.61e-17 2.23e-17 29.34 -589.43 224742.5855513308 RightE04
F02366 119.217 104.32 6e-17 3.97e-17 2.85e-17 18.96 -589.37 224719.7718631179 RightE04
F02364 119.219 104.33 4.9e-17 3.95e-17 2.17e-17 23.74 -589.6 224807.2243346008 RightE04
F02357 119.279 104.004 5.13e-17 3.81e-17 2.3e-17 10.29 -589.3 224693.1558935361 RightE04
F02352 119.308 104.252 5.37e-17 3.48e-17 2.41e-17 22.29 -589.3 224693.1558935361 RightE04
F02367 119.336 104.256 6.92e-17 4.3e-17 2.99e-17 15.58 -589.51 224773.00380228137 RightE04
F02368 119.344 104.441 5.68e-17 3.65e-17 3.07e-17 15.17 -589.51 224773.00380228137 RightE04
F02354 119.346 104.271 6.35e-17 3.95e-17 2.06e-17 19.13 -589.51 224773.00380228137 RightE04
F02356 119.355 104.257 7.43e-17 6.48e-17 3.94e-17 14.63 -589.42 224738.78326996198 RightE04
F02358 119.364 104.277 6.68e-17 3.5e-17 2.69e-17 24.57 -589.47 224757.7946768061 RightE04
F02363 119.392 104.24 4.16e-17 4.12e-17 2.18e-17 15.21 -589.53 224780.60836501903 RightE04
F02365 119.415 104.145 3.59e-17 3.9e-17 2.48e-17 19.76 -589.35 224712.16730038024 RightE04
F02361 119.429 104.749 5.18e-17 4.19e-17 2.43e-17 23.39 -589.36 224715.96958174906 RightE04
F02355 119.478 104.321 4.13e-17 3.9e-17 2.56e-17 24.66 -589.43 224742.5855513308 RightE04
F02353 119.596 103.975 5.01e-17 2.83e-17 2.26e-17 12.7 -589.53 224780.60836501903 RightE04
F02359 119.664 103.827 3.91e-17 3.06e-17 2.08e-17 23.78 -589.34 224708.36501901143 RightE04
