Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F09603 265.888 119.931 1.1e-16 8.48e-17 5.67e-17 33.83 -393.38 150198.85931558933 LeftC05
F09587 265.935 119.925 1.1e-16 8.68e-17 5.39e-17 31.35 -393.48 150236.88212927757 LeftC05
F09597 265.982 119.708 1.2e-16 1.01e-16 5.52e-17 33.89 -393.43 150217.87072243346 LeftC05
F09599 265.997 119.723 1.48e-16 8.85e-17 6.09e-17 26.05 -393.46 150229.2775665399 LeftC05
F09596 265.184 121.698 1.28e-16 9.8e-17 6.1e-17 30.63 -393.34 150183.65019011404 LeftC06
F09595 265.734 120.508 9.62e-17 8.33e-17 4.03e-17 38.16 -393.42 150214.06844106465 LeftC06
F09589 265.764 120.115 6.71e-17 7.23e-17 5.58e-17 34.33 -393.43 150217.87072243346 LeftC06
F09588 265.784 120.469 8.25e-17 8.61e-17 4.2e-17 16.97 -393.55 150263.4980988593 LeftC06
F09598 265.867 120.113 1.32e-16 8.7e-17 4.91e-17 24.13 -393.57 150271.10266159696 LeftC06
F09591 265.87 120.037 1.38e-16 7.81e-17 3.5e-17 23.91 -393.51 150248.288973384 LeftC06
F09602 265.872 120.066 1.61e-16 1.16e-16 6.88e-17 36.41 -393.37 150195.05703422052 LeftC06
F09601 265.884 120.534 1.32e-16 1.09e-16 7.68e-17 23.76 -393.37 150195.05703422052 LeftC06
F09593 265.889 120.054 1.16e-16 1.27e-16 5.48e-17 30.25 -393.5 150244.4866920152 LeftC06
F09594 265.894 120.161 1.2e-16 7.54e-17 5.42e-17 41.68 -393.43 150217.87072243346 LeftC06
F09590 265.904 120.038 6.78e-17 9.75e-17 4.75e-17 24.17 -393.66 150305.32319391635 LeftC06
F09592 265.911 120.03 1.41e-16 1.18e-16 6.52e-17 30.35 -393.26 150153.2319391635 LeftC06
F09600 265.959 120.174 9.29e-17 8.44e-17 5.66e-17 31.34 -393.32 150176.0456273764 LeftC06
