Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F10175 138.175 112.107 1.53e-17 1.17e-17 7.82e-18 5.26 -1122.73 427518.2509505704 BackA05
F10159 138.241 111.922 1.93e-17 1.08e-17 1e-17 12.82 -1122.81 427548.6692015209 BackA05
F10170 138.246 111.895 1.6e-17 1.12e-17 8.27e-18 10.75 -1122.74 427522.0532319392 BackA05
F10163 138.257 111.963 2.18e-17 1.12e-17 7.98e-18 13.73 -1122.63 427480.2281368822 BackA05
F10182 138.258 111.924 1.8e-17 1.19e-17 4.98e-18 5.64 -1122.52 427438.4030418251 BackA05
F10178 138.265 111.81 1.47e-17 1.27e-17 8.84e-18 13.46 -1122.81 427548.6692015209 BackA05
F10172 138.282 111.903 1.11e-17 1.06e-17 6.13e-18 13.36 -1122.58 427461.216730038 BackA05
F10161 138.297 111.904 1.7e-17 1.22e-17 7.01e-18 6.43 -1122.73 427518.2509505704 BackA05
F10174 138.299 111.917 1.72e-17 1.06e-17 8.86e-18 14.44 -1122.7 427506.8441064639 BackA05
F10168 138.302 111.906 1.57e-17 1.01e-17 7.11e-18 8.23 -1122.62 427476.4258555133 BackA05
F10180 138.303 111.897 1.98e-17 1.08e-17 6.98e-18 10.04 -1122.74 427522.0532319392 BackA05
F10167 138.313 111.863 1.56e-17 1.56e-17 9.21e-18 13.38 -1122.78 427537.26235741447 BackA05
F10176 138.326 112.011 1.27e-17 1.04e-17 5.92e-18 7.52 -1122.75 427525.855513308 BackA05
F10179 138.328 111.393 1.33e-17 1.12e-17 4.53e-18 7.8 -1122.81 427548.6692015209 BackA05
F10165 138.333 111.985 1.3e-17 1.14e-17 5.11e-18 6.57 -1122.68 427499.23954372626 BackA05
F10162 138.36 111.951 1.28e-17 1.23e-17 4.92e-18 9.25 -1122.7 427506.8441064639 BackA05
F10177 138.383 111.847 1.41e-17 1.06e-17 7.56e-18 8.68 -1122.73 427518.2509505704 BackA05
F10156 138.412 111.791 1.33e-17 1.12e-17 8.6e-18 8.02 -1122.71 427510.6463878327 BackA05
F10160 138.456 112.088 1.43e-17 1.21e-17 6.3e-18 17.26 -1122.76 427529.65779467684 BackA05
