Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F02183 22.814 63.623 1.7e-17 1.4e-17 9.44e-18 10.7 -954.51 363556.27376425854 FrontE02
F02179 22.846 63.459 2.5e-17 1.84e-17 1.19e-17 17.06 -954.77 363655.1330798479 FrontE02
F02184 22.861 63.39 2.77e-17 1.76e-17 1.24e-17 10.66 -954.94 363719.77186311793 FrontE02
F02174 22.865 63.395 1.56e-17 1.02e-17 5.4e-18 12.24 -954.61 363594.2965779468 FrontE02
F02176 22.901 63.427 1.91e-17 1.3e-17 8.31e-18 10.21 -954.73 363639.92395437264 FrontE02
F02171 22.963 63.58 2.38e-17 1.49e-17 8.95e-18 13.62 -955.04 363757.7946768061 FrontE02
F02194 22.965 63.641 2.21e-17 1.26e-17 8.65e-18 12.53 -954.7 363628.5171102662 FrontE02
F02186 22.971 63.575 2.87e-17 2.18e-17 1.07e-17 16.85 -954.84 363681.74904942967 FrontE02
F02188 22.982 63.564 2.52e-17 1.51e-17 1.15e-17 13.01 -954.85 363685.5513307985 FrontE02
F02191 22.994 63.561 1.85e-17 1.37e-17 7.14e-18 18.0 -954.74 363643.72623574146 FrontE02
F02192 22.999 63.572 2.21e-17 1.41e-17 8.16e-18 15.34 -954.64 363605.70342205325 FrontE02
F02190 22.999 63.553 1.66e-17 1.67e-17 8.03e-18 5.99 -954.71 363632.319391635 FrontE02
F02182 22.999 63.542 1.86e-17 1.48e-17 8.64e-18 13.34 -954.72 363636.1216730038 FrontE02
F02178 23.002 63.56 2.67e-17 1.45e-17 9.15e-18 7.6 -954.86 363689.3536121673 FrontE02
F02193 23.003 63.678 2.02e-17 1.21e-17 7.96e-18 8.83 -954.82 363674.14448669204 FrontE02
F02177 23.016 63.529 2.65e-17 1.6e-17 9.25e-18 14.46 -954.79 363662.73764258553 FrontE02
F02181 23.042 63.595 1.69e-17 1.32e-17 8.78e-18 13.56 -954.83 363677.94676806085 FrontE02
F02195 23.043 63.628 1.81e-17 1.37e-17 1.04e-17 18.17 -954.95 363723.57414448675 FrontE02
F02185 23.048 63.575 2.37e-17 1.92e-17 1.25e-17 17.2 -954.76 363651.3307984791 FrontE02
F02173 23.056 63.532 1.38e-17 1.3e-17 7.94e-18 10.53 -954.63 363601.90114068444 FrontE02
F02175 23.069 63.489 1.79e-17 1.23e-17 8.43e-18 14.73 -954.78 363658.9353612167 FrontE02
F02189 23.103 63.401 1.87e-17 1.17e-17 7.85e-18 15.91 -954.86 363689.3536121673 FrontE02
F02187 23.139 63.783 2.06e-17 1.57e-17 9.35e-18 8.94 -954.53 363563.87832699623 FrontE02
F02172 23.151 63.655 2.46e-17 1.71e-17 1.21e-17 11.28 -954.86 363689.3536121673 FrontE02
