Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F03464 30.051 86.499 1.43e-17 1.05e-17 6.8e-18 9.54 -1122.76 427529.65779467684 FrontF03
F03453 30.073 86.52 1.72e-17 1.11e-17 5.29e-18 8.51 -1122.81 427548.6692015209 FrontF03
F03456 30.076 86.479 2.47e-17 1.51e-17 8.99e-18 5.53 -1122.75 427525.855513308 FrontF03
F03468 30.083 86.51 1.88e-17 1.36e-17 9e-18 7.54 -1122.97 427609.50570342207 FrontF03
F03461 30.084 86.524 1.84e-17 1.11e-17 6.12e-18 7.13 -1122.8 427544.8669201521 FrontF03
F03452 30.086 86.53 1.39e-17 1.11e-17 6.67e-18 16.98 -1122.79 427541.0646387833 FrontF03
F03460 30.092 86.518 1.11e-17 1.17e-17 5.84e-18 7.9 -1123.01 427624.7148288973 FrontF03
F03455 30.165 86.438 1.66e-17 1.14e-17 6.98e-18 9.82 -1123.02 427628.5171102662 FrontF03
F03450 30.173 86.577 1.8e-17 1.37e-17 9.35e-18 6.46 -1122.79 427541.0646387833 FrontF03
F03463 30.2 86.566 1.66e-17 1.25e-17 7.69e-18 9.5 -1122.68 427499.23954372626 FrontF03
