Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F08351 152.061 137.195 4.62e-17 2.82e-17 2.7e-17 27.86 -646.41 246407.98479087453 DownE06
F08342 152.218 136.922 5.2e-17 2.32e-17 1.65e-17 14.18 -646.32 246373.76425855517 DownE06
F08366 152.147 136.996 5.81e-17 4.64e-17 2.34e-17 17.77 -646.59 246476.42585551334 DownE06
F08375 152.162 136.976 3.61e-17 4.45e-17 2.31e-17 20.32 -646.44 246419.39163498103 DownE06
F08358 152.112 137.035 6.74e-17 5.34e-17 2.55e-17 25.21 -646.34 246381.3688212928 DownE06
F08393 151.897 137.199 2.81e-17 4.38e-17 2.02e-17 19.19 -646.23 246339.54372623577 DownE06
F08397 151.935 137.099 4.48e-17 3.66e-17 2.01e-17 21.05 -646.51 246446.00760456274 DownE06
F08390 151.95 137.044 3.74e-17 3.24e-17 1.96e-17 21.07 -646.27 246354.75285171103 DownE06
F08388 151.999 136.945 5.31e-17 2.78e-17 2.53e-17 17.14 -646.63 246491.6349809886 DownE06
F08379 151.961 136.977 2.96e-17 3.03e-17 2.9e-17 18.09 -646.47 246430.79847908748 DownE06
F08356 152.046 136.851 3.14e-17 2.26e-17 1.54e-17 10.28 -646.57 246468.8212927757 DownE06
F08363 151.914 136.998 5.19e-17 3.31e-17 2.3e-17 22.85 -646.48 246434.6007604563 DownE06
F08369 151.926 136.975 5.6e-17 3.35e-17 2e-17 12.16 -646.49 246438.4030418251 DownE06
F08359 151.965 136.909 3.57e-17 3.21e-17 2.37e-17 26.23 -646.45 246423.19391634985 DownE06
F08377 151.896 136.943 3.82e-17 2.32e-17 1.94e-17 15.64 -646.52 246449.80988593158 DownE06
F08353 151.852 136.989 5.52e-17 2.71e-17 2.22e-17 13.21 -646.48 246434.6007604563 DownE06
F08349 151.879 136.945 4.33e-17 2.56e-17 2.14e-17 20.58 -646.51 246446.00760456274 DownE06
