Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F02516 140.418 143.505 1.89e-17 1e-17 7.79e-18 10.24 -1152.84 438966.92015209125 DownE06
F02522 140.484 143.462 2.14e-17 1.2e-17 9.31e-18 14.39 -1152.85 438970.72243346006 DownE06
F02527 140.491 143.403 1.95e-17 1.14e-17 9.88e-18 7.64 -1152.7 438913.6882129278 DownE06
F02504 140.426 143.422 1.91e-17 1.31e-17 6.51e-18 8.5 -1152.89 438985.93155893544 DownE06
F02526 140.477 143.383 1.43e-17 1.22e-17 8.8e-18 6.3 -1152.89 438985.93155893544 DownE06
F02521 140.417 143.375 1.13e-17 1.15e-17 7.16e-18 11.08 -1152.92 438997.3384030419 DownE06
F02508 140.423 143.371 1.53e-17 1.16e-17 7.5e-18 6.18 -1152.83 438963.11787072243 DownE06
F02500 140.4 143.385 1.7e-17 1.1e-17 8.34e-18 8.13 -1152.79 438947.9087452472 DownE06
F02514 140.447 143.355 1.25e-17 1.04e-17 8.86e-18 14.54 -1153.01 439031.5589353612 DownE06
F02496 140.377 143.397 1.3e-17 1.03e-17 7.78e-18 6.62 -1152.99 439023.9543726236 DownE06
F02528 140.342 143.404 1.91e-17 1.27e-17 5.9e-18 12.43 -1152.96 439012.54752851714 DownE06
F02506 140.369 143.382 2.43e-17 1.43e-17 7.03e-18 12.78 -1152.72 438921.2927756654 DownE06
F02505 140.337 143.4 1.18e-17 1.11e-17 7.28e-18 8.35 -1152.96 439012.54752851714 DownE06
F02502 140.386 143.364 1.18e-17 1.23e-17 7.68e-18 10.11 -1152.63 438887.0722433461 DownE06
F02507 140.385 143.334 1.3e-17 1.02e-17 5.59e-18 7.3 -1152.89 438985.93155893544 DownE06
F02515 140.375 143.291 1.17e-17 1.12e-17 6.48e-18 7.76 -1152.9 438989.73384030425 DownE06
F02512 140.258 143.35 1.5e-17 1.07e-17 7.08e-18 9.04 -1152.85 438970.72243346006 DownE06
F02518 140.272 143.334 2.18e-17 1.75e-17 8.33e-18 9.25 -1152.77 438940.30418250954 DownE06
