Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F02247 52.837 163.67 1.99e-17 1.27e-17 8.88e-18 7.28 -1071.72 408122.81368821295 DownD03
F02270 53.712 163.818 2.16e-17 1.42e-17 7.81e-18 11.93 -1071.58 408069.5817490494 DownD03
F02284 53.244 163.723 1.66e-17 1.15e-17 8.56e-18 8.98 -1071.54 408054.37262357416 DownD03
F02237 53.179 163.657 2.21e-17 1.38e-17 1.02e-17 8.49 -1071.63 408088.5931558936 DownD03
F02235 52.725 163.541 1.2e-17 1.02e-17 6.99e-18 10.6 -1071.56 408061.9771863118 DownD03
F02267 52.927 163.545 1.69e-17 1.06e-17 7.48e-18 11.08 -1071.57 408065.7794676806 DownD03
F02239 52.921 163.542 2.06e-17 1.08e-17 7.91e-18 10.27 -1071.71 408119.01140684413 DownD03
F02269 52.402 163.428 1.33e-17 1.01e-17 7.25e-18 8.63 -1071.78 408145.62737642584 DownD03
F02276 52.398 163.398 1.9e-17 1.31e-17 9.65e-18 8.1 -1071.61 408080.98859315587 DownD03
F02250 52.333 163.384 2.39e-17 1.56e-17 8.38e-18 10.69 -1071.69 408111.4068441065 DownD03
F02289 52.661 163.452 1.83e-17 1.36e-17 7.92e-18 8.82 -1071.53 408050.57034220535 DownD03
F02244 52.876 163.491 2.12e-17 1.58e-17 9.5e-18 6.02 -1071.53 408050.57034220535 DownD03
F02253 52.341 163.375 1.98e-17 1.47e-17 9.97e-18 13.67 -1071.7 408115.2091254753 DownD03
F02257 52.559 163.412 1.65e-17 1.12e-17 8.18e-18 11.03 -1071.6 408077.18631178705 DownD03
F02256 52.892 163.479 1.34e-17 1.02e-17 6.93e-18 7.94 -1071.79 408149.42965779465 DownD03
F02228 52.827 163.462 1.93e-17 1.22e-17 8.18e-18 17.72 -1071.56 408061.9771863118 DownD03
F02254 52.78 163.445 1.91e-17 1.28e-17 9.02e-18 9.28 -1071.52 408046.76806083653 DownD03
F02263 52.483 163.377 2.32e-17 1.29e-17 8.75e-18 7.13 -1071.65 408096.19771863124 DownD03
F02265 52.531 163.383 2.2e-17 1.22e-17 8.29e-18 12.32 -1071.74 408130.4182509506 DownD03
F02272 53.393 163.554 1.95e-17 1.11e-17 7.05e-18 11.63 -1071.78 408145.62737642584 DownD03
F02245 52.752 163.412 1.83e-17 1.49e-17 8.84e-18 9.67 -1071.59 408073.38403041824 DownD03
F02242 52.918 163.444 1.93e-17 1.01e-17 6.06e-18 11.37 -1071.56 408061.9771863118 DownD03
F02230 52.945 163.434 2.38e-17 1.46e-17 1.03e-17 10.62 -1071.6 408077.18631178705 DownD03
F02273 52.742 163.392 1.68e-17 1.03e-17 8.05e-18 12.32 -1071.64 408092.3954372624 DownD03
