Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F05026 146.96 91.533 2.57e-17 2.04e-17 1.88e-17 11.82 -874.31 333061.9771863118 BackA04
F05030 147.195 91.056 2.54e-17 2.1e-17 1.45e-17 12.7 -874.41 333100.0 BackA04
F05034 147.206 91.144 2.37e-17 1.88e-17 9.53e-18 12.29 -874.2 333020.1520912548 BackA04
F05036 147.217 91.497 2.37e-17 1.85e-17 1.06e-17 11.97 -874.36 333080.9885931559 BackA04
F05031 147.282 91.005 2.22e-17 2.04e-17 9.12e-18 14.28 -874.42 333103.8022813688 BackA04
F05033 147.298 90.823 1.76e-17 1.31e-17 6.48e-18 10.0 -874.37 333084.79087452474 BackA04
F05032 147.314 91.083 2.4e-17 1.27e-17 1.2e-17 20.2 -874.17 333008.74524714827 BackA04
F05037 147.316 91.075 2.31e-17 1.95e-17 1.1e-17 14.33 -874.27 333046.76806083653 BackA04
F05028 147.342 91.074 2.14e-17 1.71e-17 9.35e-18 12.2 -874.27 333046.76806083653 BackA04
F05035 147.349 90.94 1.97e-17 1.26e-17 1.12e-17 11.2 -874.56 333157.03422053234 BackA04
F05029 147.396 91.06 1.52e-17 1.34e-17 9.33e-18 18.51 -874.26 333042.9657794677 BackA04
F05027 147.424 91.644 2.54e-17 1.89e-17 1.01e-17 15.86 -874.38 333088.59315589356 BackA04
F05038 147.466 90.831 2.12e-17 1.82e-17 1.28e-17 11.71 -874.24 333035.36121673003 BackA04
