Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F07488 210.124 113.79 1.82e-15 1.35e-15 9.17e-16 77.62 -80.7 31309.125475285175 BackF05
F07487 210.168 114.126 2.45e-15 2.18e-15 1.69e-15 98.36 -80.65 31290.114068441068 BackF05
F07490 210.343 114.272 2.88e-15 1.84e-15 1.41e-15 168.43 -80.7 31309.125475285175 BackF05
F07493 210.362 114.413 1.98e-15 1.61e-15 1.52e-15 155.38 -80.7 31309.125475285175 BackF05
F07495 210.395 114.717 2.65e-15 2.11e-15 1.14e-15 174.08 -80.69 31305.32319391635 BackF05
F07492 210.411 114.8 3.55e-15 3.01e-15 1.4e-15 149.87 -80.67 31297.718631178708 BackF05
F07494 210.519 114.641 3.49e-15 2.12e-15 1.15e-15 103.98 -80.73 31320.532319391637 BackF05
F07489 210.547 114.568 3.15e-15 1.99e-15 1.16e-15 255.64 -80.49 31229.277566539924 BackF05
F07486 211.251 115.07 2.14e-15 1.46e-15 7.93e-16 166.48 -80.95 31404.182509505707 BackF05
F07491 212.39 111.827 3.4e-15 2e-15 1.77e-15 214.11 -80.71 31312.92775665399 BackF05
