Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F02637 213.464 142.189 9.13e-17 5.38e-17 4.28e-17 25.42 -346.54 132388.97338403043 DownB06
F02630 215.223 143.92 1.56e-16 1.16e-16 9.97e-17 34.55 -346.18 132252.09125475286 DownB06
F02627 213.38 142.599 1.16e-16 1.38e-16 7.38e-17 27.25 -346.45 132354.752851711 DownB06
F02629 213.742 143.01 2.29e-16 1.61e-16 1.34e-16 28.42 -346.52 132381.36882129277 DownB06
F02631 213.142 142.525 1.19e-16 8.51e-17 8.49e-17 30.54 -346.55 132392.77566539924 DownB06
F02651 213.286 142.74 1.7e-16 9.34e-17 7.2e-17 21.31 -346.33 132309.12547528517 DownB06
F02625 213.091 142.8 2.07e-16 1.38e-16 6.45e-17 33.06 -346.37 132324.33460076046 DownB06
F02622 212.877 142.625 1.43e-16 7.94e-17 4.54e-17 35.28 -346.3 132297.7186311787 DownB06
F02647 212.544 142.324 2.46e-16 1.7e-16 1.05e-16 31.31 -346.41 132339.54372623574 DownB06
F02633 212.786 142.571 1.94e-16 1.28e-16 8.48e-17 25.8 -346.49 132369.9619771863 DownB06
F02636 212.871 142.667 1.56e-16 1.13e-16 6.23e-17 31.0 -346.54 132388.97338403043 DownB06
F02643 212.731 142.569 1.39e-16 1.08e-16 8.01e-17 33.66 -346.37 132324.33460076046 DownB06
F02640 212.881 142.714 1.52e-16 1.03e-16 7.8e-17 32.09 -346.37 132324.33460076046 DownB06
F02658 213.006 142.828 2.12e-16 1.35e-16 8.9e-17 18.82 -346.41 132339.54372623574 DownB06
F02659 213.392 143.185 1.76e-16 1.24e-16 6.43e-17 32.56 -346.28 132290.11406844103 DownB06
F02644 213.337 143.141 1.46e-16 1.11e-16 5.45e-17 21.83 -346.49 132369.9619771863 DownB06
F02646 212.856 142.779 1.37e-16 9.55e-17 6.62e-17 34.54 -346.34 132312.92775665398 DownB06
F02624 212.765 142.716 1.87e-16 1.91e-16 9.19e-17 33.54 -346.51 132377.56653992395 DownB06
F02656 212.717 142.683 1.98e-16 9.52e-17 7.66e-17 34.18 -346.47 132362.35741444866 DownB06
F02655 212.772 142.736 1.51e-16 9.14e-17 7.76e-17 34.39 -346.41 132339.54372623574 DownB06
F02649 212.789 142.752 2.78e-16 1.39e-16 1.31e-16 25.15 -346.28 132290.11406844103 DownB06
F02657 212.752 142.733 1.67e-16 1.07e-16 8.65e-17 53.45 -346.5 132373.76425855514 DownB06
F02650 212.7 142.701 1.6e-16 1.11e-16 6.99e-17 32.27 -346.31 132301.5209125475 DownB06
F02654 212.682 142.692 1.26e-16 1.28e-16 9.45e-17 30.06 -346.61 132415.58935361216 DownB06
F02660 212.727 142.737 1.18e-16 9.12e-17 5.93e-17 23.27 -346.51 132377.56653992395 DownB06
F02621 212.652 142.687 1.78e-16 1.52e-16 8.3e-17 22.33 -346.54 132388.97338403043 DownB06
F02626 212.694 142.727 2.03e-16 8.97e-17 5.73e-17 26.73 -346.54 132388.97338403043 DownB06
F02652 212.768 142.827 1.7e-16 1.33e-16 8.03e-17 33.33 -346.31 132301.5209125475 DownB06
F02638 212.814 142.896 1.63e-16 1.21e-16 7.09e-17 34.92 -346.41 132339.54372623574 DownB06
F02623 212.509 142.656 1.43e-16 1.45e-16 6.56e-17 20.37 -346.54 132388.97338403043 DownB06
F02641 212.536 142.801 1.36e-16 1.53e-16 6.55e-17 26.48 -346.57 132400.38022813687 DownB06
F02653 213.355 143.559 1.38e-16 8.7e-17 6.26e-17 27.95 -346.38 132328.13688212927 DownB06
F02648 211.596 141.967 1.1e-16 6.23e-17 3.88e-17 30.68 -346.36 132320.53231939164 DownB06
F02634 212.299 142.7 1.27e-16 9.05e-17 7e-17 38.09 -346.44 132350.9505703422 DownB06
F02645 212.496 142.902 1.88e-16 1.42e-16 5.66e-17 27.52 -346.44 132350.9505703422 DownB06
F02661 212.442 142.865 1.64e-16 9.73e-17 6.07e-17 26.13 -346.41 132339.54372623574 DownB06
F02628 211.536 142.286 2.14e-16 1.45e-16 1.06e-16 31.1 -346.56 132396.57794676805 DownB06
F02632 211.977 142.859 1.63e-16 1.45e-16 1.15e-16 30.47 -346.41 132339.54372623574 DownB06
F02642 211.861 142.857 1.34e-16 6.17e-17 6.59e-17 43.56 -346.31 132301.5209125475 DownB06
F02639 212.427 143.611 1.34e-16 1.02e-16 5.64e-17 28.07 -346.28 132290.11406844103 DownB06
F02635 211.375 143.284 1.5e-16 1.09e-16 6.85e-17 24.6 -346.36 132320.53231939164 DownB06
