Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F00117 187.365 39.683 1.52e-17 1.04e-17 7.19e-18 11.57 -1090.97 415442.2053231939 UpC01
F00114 187.173 39.768 1.53e-17 1.15e-17 6.39e-18 9.87 -1090.99 415449.8098859316 UpC01
F00104 187.149 39.834 1.62e-17 1.07e-17 6.96e-18 8.94 -1090.92 415423.19391634985 UpC01
F00118 187.168 39.645 1.37e-17 1.12e-17 6.43e-18 13.42 -1091.16 415514.4486692016 UpC01
F00109 187.092 39.782 1.97e-17 1.37e-17 8.75e-18 8.54 -1091.07 415480.2281368821 UpC01
F00113 187.059 39.772 1.81e-17 1.37e-17 8.56e-18 12.69 -1091.13 415503.04182509513 UpC01
F00105 187.047 39.826 1.87e-17 1.26e-17 8.14e-18 10.12 -1091.02 415461.21673003805 UpC01
F00120 187.055 39.767 1.55e-17 1.14e-17 7.18e-18 10.12 -1090.93 415426.99619771866 UpC01
F00101 187.014 39.81 1.46e-17 1.09e-17 6.59e-18 10.36 -1090.91 415419.39163498103 UpC01
F00116 187.013 39.8 2.07e-17 1.42e-17 8.41e-18 13.94 -1090.78 415369.9619771863 UpC01
F00100 186.991 39.891 1.75e-17 1.35e-17 8.02e-18 11.91 -1090.9 415415.5893536122 UpC01
F00103 186.999 39.774 1.63e-17 1.11e-17 7.04e-18 11.99 -1090.95 415434.6007604563 UpC01
F00110 186.93 39.779 1.97e-17 1.63e-17 1.05e-17 8.81 -1090.96 415438.4030418251 UpC01
F00115 186.899 39.824 1.68e-17 1.36e-17 8.6e-18 7.57 -1091.11 415495.4372623574 UpC01
F00112 186.857 39.79 1.98e-17 1.32e-17 9.68e-18 7.8 -1091.05 415472.6235741445 UpC01
F00111 186.146 39.807 1.54e-17 1.05e-17 6.89e-18 12.01 -1090.97 415442.2053231939 UpC01
