Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F04569 147.413 50.728 3.02e-17 1.91e-17 1.36e-17 13.68 -759.19 289290.1140684411 BackA01
F04564 147.535 51.289 3.95e-17 2.83e-17 1.82e-17 12.74 -759.22 289301.52091254754 BackA01
F04561 147.543 50.998 3.62e-17 2.42e-17 1.59e-17 22.05 -759.18 289286.3117870722 BackA01
F04545 147.561 51.074 3.88e-17 2.72e-17 1.63e-17 22.38 -759.2 289293.9163498099 BackA01
F04565 147.594 51.257 3.97e-17 2.87e-17 1.77e-17 9.11 -759.3 289331.9391634981 BackA01
F04549 147.649 51.323 3.93e-17 2.73e-17 1.74e-17 19.9 -759.58 289438.4030418251 BackA01
F04543 147.698 51.094 3.11e-17 2.14e-17 1.46e-17 12.97 -759.03 289229.27756653994 BackA01
F04550 147.7 51.154 2.84e-17 2.1e-17 1.35e-17 15.96 -759.35 289350.95057034225 BackA01
F04553 147.705 51.104 2.83e-17 2.15e-17 1.29e-17 13.62 -759.26 289316.7300380228 BackA01
F04562 147.708 51.074 4.74e-17 3.11e-17 2.1e-17 5.93 -759.24 289309.12547528517 BackA01
F04563 147.708 51.046 3.81e-17 2.71e-17 1.8e-17 8.76 -759.2 289293.9163498099 BackA01
F04542 147.717 51.052 3.13e-17 2.13e-17 1.52e-17 13.84 -759.06 289240.6844106464 BackA01
F04567 147.72 51.041 2.03e-17 1.38e-17 9.17e-18 19.43 -759.06 289240.6844106464 BackA01
F04556 147.723 51.031 2.47e-17 1.68e-17 1.13e-17 18.84 -759.43 289381.36882129277 BackA01
F04568 147.723 51.08 2.74e-17 1.82e-17 1.19e-17 11.93 -759.37 289358.5551330799 BackA01
F04559 147.725 51.128 3.46e-17 2.33e-17 1.67e-17 14.69 -759.26 289316.7300380228 BackA01
F04555 147.728 51.096 3.13e-17 2.03e-17 1.35e-17 5.05 -759.22 289301.52091254754 BackA01
F04547 147.728 51.101 2.92e-17 2.13e-17 1.32e-17 15.69 -759.2 289293.9163498099 BackA01
F04557 147.73 51.119 3.92e-17 2.67e-17 1.76e-17 14.37 -759.34 289347.14828897343 BackA01
F04560 147.743 51.088 3.51e-17 2.48e-17 1.53e-17 11.51 -759.31 289335.74144486693 BackA01
F04538 147.746 51.091 3.23e-17 2.23e-17 1.42e-17 13.07 -759.3 289331.9391634981 BackA01
F04539 147.753 51.049 2.94e-17 2.06e-17 1.3e-17 16.47 -759.19 289290.1140684411 BackA01
F04552 147.759 51.048 2.65e-17 1.86e-17 1.2e-17 14.16 -759.25 289312.927756654 BackA01
F04570 147.76 51.069 4.02e-17 2.69e-17 1.75e-17 13.35 -759.23 289305.32319391635 BackA01
F04566 147.761 50.949 4.11e-17 2.77e-17 1.74e-17 14.95 -759.35 289350.95057034225 BackA01
F04558 147.762 51.15 2.74e-17 2.04e-17 1.25e-17 12.77 -759.3 289331.9391634981 BackA01
F04554 147.774 51.075 3.23e-17 2.3e-17 1.49e-17 11.77 -759.21 289297.7186311787 BackA01
F04546 147.809 51.127 2.97e-17 2.14e-17 1.36e-17 16.16 -759.27 289320.53231939167 BackA01
F04544 147.812 51.245 4.39e-17 2.92e-17 2.06e-17 22.46 -759.29 289328.1368821293 BackA01
F04541 147.849 51.071 3.55e-17 2.56e-17 1.61e-17 10.05 -759.43 289381.36882129277 BackA01
F04548 147.887 50.91 3.51e-17 2.35e-17 1.63e-17 8.52 -759.41 289373.76425855514 BackA01
F04540 147.993 51.219 3.98e-17 2.68e-17 1.75e-17 18.47 -759.24 289309.12547528517 BackA01
F04551 148.741 51.203 3.03e-17 2.11e-17 1.36e-17 23.0 -759.26 289316.7300380228 BackA01
