Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F05742 76.058 30.685 1.79e-17 1.73e-17 8.81e-18 8.69 -1142.86 435172.2433460076 UpF04
F05725 75.997 30.699 1.54e-17 1.39e-17 8.15e-18 12.89 -1142.62 435080.98859315587 UpF04
F05735 76.044 30.707 1.27e-17 1.25e-17 7.51e-18 12.02 -1142.7 435111.4068441065 UpF04
F05711 75.994 30.711 1.42e-17 1.1e-17 7.99e-18 8.94 -1142.82 435157.03422053234 UpF04
F05738 75.999 30.719 1.36e-17 1.23e-17 7.58e-18 10.13 -1142.55 435054.37262357416 UpF04
F05720 76.008 30.719 1.45e-17 1.19e-17 6.33e-18 8.29 -1142.62 435080.98859315587 UpF04
F05721 76.108 30.711 1.67e-17 1.18e-17 8.15e-18 11.03 -1142.75 435130.4182509506 UpF04
F05737 76.037 30.72 1.46e-17 1.03e-17 5.47e-18 8.34 -1142.73 435122.81368821295 UpF04
F05739 76.043 30.722 1.47e-17 1.14e-17 5.38e-18 13.9 -1142.62 435080.98859315587 UpF04
F05717 76.034 30.735 1.69e-17 1.29e-17 7.66e-18 8.67 -1142.76 435134.2205323194 UpF04
F05734 76.14 30.736 1.76e-17 1.29e-17 7.45e-18 12.93 -1142.86 435172.2433460076 UpF04
F05719 76.094 30.744 1.56e-17 1.5e-17 8.67e-18 5.74 -1142.74 435126.61596958176 UpF04
F05729 75.875 30.761 1.81e-17 1.34e-17 7.26e-18 12.87 -1142.7 435111.4068441065 UpF04
F05712 75.975 30.766 1.53e-17 1.28e-17 7.46e-18 12.46 -1142.68 435103.8022813689 UpF04
F05724 76.023 30.805 1.62e-17 1.12e-17 6.92e-18 8.37 -1142.74 435126.61596958176 UpF04
F05727 75.694 30.874 1.4e-17 1.22e-17 6.32e-18 7.84 -1142.84 435164.63878326997 UpF04
F05730 75.304 31.062 1.3e-17 1.48e-17 9.61e-18 10.18 -1142.76 435134.2205323194 UpF04
F05718 76.079 31.006 1.55e-17 1.13e-17 8.8e-18 11.81 -1142.65 435092.3954372624 UpF04
