Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F03913 166.49 45.109 2.95e-17 2.25e-17 1.56e-17 14.56 -725.32 276411.7870722434 BackC01
F03905 166.519 45.19 3.44e-17 2.6e-17 1.67e-17 8.76 -725.42 276449.80988593155 BackC01
F03888 166.552 45.06 3.1e-17 2.35e-17 1.58e-17 10.83 -725.48 276472.6235741445 BackC01
F03902 166.554 45.232 3.75e-17 2.67e-17 1.74e-17 19.01 -725.37 276430.7984790875 BackC01
F03894 166.629 45.057 3.05e-17 1.92e-17 1.37e-17 16.68 -725.41 276446.00760456274 BackC01
F03895 166.639 45.041 3.86e-17 2.68e-17 1.72e-17 8.16 -725.48 276472.6235741445 BackC01
F03907 166.658 45.01 3.93e-17 2.74e-17 1.86e-17 15.44 -725.52 276487.83269961976 BackC01
F03901 166.66 45.183 2.81e-17 1.92e-17 1.35e-17 16.83 -725.48 276472.6235741445 BackC01
F03885 166.692 45.072 4.08e-17 2.79e-17 1.93e-17 15.06 -725.42 276449.80988593155 BackC01
F03908 166.814 45.071 3.95e-17 2.54e-17 1.77e-17 11.6 -725.25 276385.17110266164 BackC01
F03906 166.94 45.06 3.44e-17 2.56e-17 1.64e-17 10.5 -725.4 276442.2053231939 BackC01
F03909 167.095 45.046 3.85e-17 3e-17 1.87e-17 15.79 -725.37 276430.7984790875 BackC01
