Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F02841 238.557 160.95 3.16e-17 2.25e-17 1.52e-17 15.75 -642.74 245012.54752851714 DownB04
F02848 236.195 160.718 4.88e-17 2.86e-17 2.18e-17 17.84 -642.77 245023.9543726236 DownB04
F02818 236.784 160.959 5.68e-17 3.73e-17 2.78e-17 24.68 -642.75 245016.34980988596 DownB04
F02825 238.003 161.225 4.5e-17 3.72e-17 2.62e-17 20.85 -642.64 244974.5247148289 DownB04
F02828 236.939 161.05 4.57e-17 3.54e-17 2.26e-17 27.05 -642.8 245035.36121673003 DownB04
F02830 237.294 161.132 4.62e-17 3.93e-17 2.14e-17 24.25 -642.6 244959.31558935365 DownB04
F02837 237.107 161.097 4.11e-17 3.66e-17 1.81e-17 22.94 -642.81 245039.16349809885 DownB04
F02862 237.722 161.217 3.72e-17 2.87e-17 2.13e-17 15.25 -642.73 245008.7452471483 DownB04
F02856 238.378 161.369 5.01e-17 3.52e-17 2.41e-17 23.12 -642.66 244982.12927756654 DownB04
F02851 236.88 161.088 4.96e-17 3.05e-17 3.5e-17 14.2 -642.54 244936.5019011407 DownB04
F02827 236.796 161.073 6.25e-17 3.8e-17 1.94e-17 12.33 -642.68 244989.73384030416 DownB04
F02839 237.49 161.21 6.54e-17 3.41e-17 3.26e-17 24.49 -642.68 244989.73384030416 DownB04
F02834 237.485 161.212 5.43e-17 3.61e-17 2.48e-17 26.83 -642.72 245004.94296577948 DownB04
F02859 237.164 161.177 3.88e-17 3.15e-17 1.29e-17 10.58 -642.89 245069.58174904945 DownB04
F02835 237.243 161.193 4.65e-17 3.14e-17 2.22e-17 17.51 -642.71 245001.14068441067 DownB04
F02833 237.271 161.208 5.1e-17 3.27e-17 1.99e-17 17.71 -642.5 244921.2927756654 DownB04
F02853 237.189 161.194 3.73e-17 2.75e-17 1.48e-17 17.71 -642.61 244963.11787072246 DownB04
F02843 237.031 161.17 3.1e-17 2.48e-17 1.75e-17 17.16 -642.68 244989.73384030416 DownB04
F02829 236.954 161.163 5.79e-17 3.63e-17 1.88e-17 16.84 -642.77 245023.9543726236 DownB04
F02844 237.128 161.198 4.51e-17 3.89e-17 1.78e-17 26.91 -642.72 245004.94296577948 DownB04
F02849 237.198 161.217 5.43e-17 3.37e-17 2.35e-17 20.66 -642.73 245008.7452471483 DownB04
F02826 237.196 161.218 3.9e-17 2.45e-17 2.26e-17 21.63 -642.61 244963.11787072246 DownB04
F02861 237.195 161.219 4.35e-17 2.31e-17 1.81e-17 16.34 -642.66 244982.12927756654 DownB04
F02855 237.193 161.219 4.63e-17 2.88e-17 1.79e-17 26.79 -642.6 244959.31558935365 DownB04
F02860 237.088 161.199 4.61e-17 3.5e-17 2.51e-17 16.59 -642.75 245016.34980988596 DownB04
F02838 237.204 161.223 2.85e-17 1.92e-17 1.6e-17 23.22 -642.73 245008.7452471483 DownB04
F02822 236.774 161.143 5.26e-17 3.08e-17 1.77e-17 19.46 -642.57 244947.90874524717 DownB04
F02831 237.185 161.223 5.3e-17 3.69e-17 2.53e-17 13.75 -642.69 244993.53612167304 DownB04
F02819 237.014 161.191 4.24e-17 3.3e-17 2.57e-17 18.44 -642.72 245004.94296577948 DownB04
F02857 237.202 161.229 5.07e-17 3e-17 2e-17 10.51 -642.82 245042.96577946772 DownB04
F02840 237.212 161.234 5.45e-17 2.41e-17 2.69e-17 10.47 -642.64 244974.5247148289 DownB04
F02845 237.133 161.243 4.04e-17 2.97e-17 1.65e-17 8.65 -642.66 244982.12927756654 DownB04
F02846 237.088 161.237 3.53e-17 2.69e-17 1.65e-17 12.89 -642.83 245046.76806083653 DownB04
F02823 237.105 161.243 5.01e-17 4.13e-17 2.85e-17 24.43 -642.65 244978.32699619772 DownB04
F02836 236.843 161.227 5.95e-17 3.53e-17 2.59e-17 21.24 -642.58 244951.711026616 DownB04
F02842 237.265 161.314 3.65e-17 3.18e-17 2.06e-17 12.78 -642.58 244951.711026616 DownB04
F02824 236.909 161.263 6.3e-17 2.97e-17 2.29e-17 12.95 -642.71 245001.14068441067 DownB04
F02847 236.996 161.288 7.02e-17 3.85e-17 3.13e-17 11.84 -642.69 244993.53612167304 DownB04
F02850 236.939 161.292 4.35e-17 3.49e-17 2.06e-17 16.13 -642.77 245023.9543726236 DownB04
F02832 237.069 161.325 5.24e-17 4.11e-17 2.06e-17 14.88 -642.93 245084.7908745247 DownB04
F02854 237.408 161.395 4.65e-17 3.7e-17 1.95e-17 11.67 -642.58 244951.711026616 DownB04
F02858 236.925 161.306 4.85e-17 3.98e-17 1.94e-17 13.45 -642.58 244951.711026616 DownB04
F02821 239.54 161.781 4.62e-17 3.54e-17 2.57e-17 16.8 -642.7 244997.33840304185 DownB04
F02852 236.534 161.234 5.68e-17 3e-17 1.19e-17 17.84 -642.79 245031.55893536122 DownB04
F02820 237.359 161.481 4.89e-17 3.48e-17 2.02e-17 6.98 -642.58 244951.711026616 DownB04
