Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F07782 31.162 18.425 2.36e-16 1.39e-16 7.17e-17 41.82 -308.33 117860.45627376424 UpD05
F07786 32.0 18.763 2.24e-16 1.1e-16 9.16e-17 32.23 -308.34 117864.25855513306 UpD05
F07800 32.266 18.946 2.14e-16 1.5e-16 1.03e-16 36.03 -308.25 117830.03802281368 UpD05
F07789 33.838 18.515 2.26e-16 1.38e-16 8.64e-17 29.14 -308.44 117902.28136882128 UpD05
F07787 33.479 18.989 1.3e-16 1.23e-16 6.18e-17 26.66 -308.26 117833.8403041825 UpD05
F07770 34.406 18.701 2.08e-16 1.5e-16 1.43e-16 42.8 -308.53 117936.50190114067 UpD05
F07802 34.512 18.765 2.22e-16 1.69e-16 1.06e-16 27.98 -308.38 117879.46768060836 UpD05
F07793 34.474 18.782 1.18e-16 1.12e-16 5.97e-17 39.39 -308.39 117883.26996197717 UpD05
F07795 34.277 18.885 2.06e-16 1.56e-16 8.58e-17 27.57 -308.55 117944.10646387833 UpD05
F07771 34.341 18.867 2.29e-16 1.22e-16 6.8e-17 32.04 -308.47 117913.68821292777 UpD05
F07801 34.561 18.775 2e-16 1.44e-16 1.11e-16 23.07 -308.42 117894.67680608365 UpD05
F07772 34.517 18.804 1.6e-16 1.43e-16 5.11e-17 34.41 -308.51 117928.89733840303 UpD05
F07784 34.609 18.769 1.5e-16 1.36e-16 7.13e-17 42.71 -308.4 117887.07224334599 UpD05
F07791 35.012 18.614 2.49e-16 1.76e-16 1.21e-16 38.84 -308.38 117879.46768060836 UpD05
F07797 35.985 18.191 1.58e-16 1.83e-16 7.86e-17 29.91 -308.39 117883.26996197717 UpD05
F07774 34.746 18.752 1.76e-16 1.57e-16 9.38e-17 43.88 -308.17 117799.61977186312 UpD05
F07780 34.281 18.985 1.85e-16 1.48e-16 1.17e-16 23.85 -308.32 117856.65399239543 UpD05
F07779 34.534 18.876 2.75e-16 1.86e-16 1.11e-16 32.29 -308.32 117856.65399239543 UpD05
F07794 34.548 18.899 2.37e-16 1.39e-16 1.26e-16 40.53 -308.24 117826.23574144486 UpD05
F07767 34.465 18.948 1.84e-16 1.89e-16 1.13e-16 34.78 -308.2 117811.02661596957 UpD05
F07790 34.624 18.88 1.74e-16 1.31e-16 7.88e-17 30.21 -308.43 117898.47908745246 UpD05
F07783 34.611 18.893 1.93e-16 1.14e-16 9.24e-17 33.35 -308.49 117921.2927756654 UpD05
F07796 34.645 18.882 1.57e-16 9.44e-17 6.5e-17 38.99 -308.3 117849.0494296578 UpD05
F07806 34.664 18.873 2.46e-16 1.97e-16 1.14e-16 46.26 -308.3 117849.0494296578 UpD05
F07773 34.518 18.954 1.93e-16 1.35e-16 1.06e-16 28.87 -308.36 117871.86311787071 UpD05
F07775 34.876 18.809 1.54e-16 8.16e-17 4.91e-17 36.74 -308.64 117978.3269961977 UpD05
F07803 34.946 18.795 2.08e-16 1.29e-16 9.76e-17 22.63 -308.27 117837.64258555131 UpD05
F07785 34.652 18.934 1.3e-16 1.12e-16 9.1e-17 36.34 -308.4 117887.07224334599 UpD05
F07792 34.712 18.911 1.81e-16 1.5e-16 1.52e-16 21.63 -308.3 117849.0494296578 UpD05
F07776 34.856 18.849 2.36e-16 1.97e-16 1.17e-16 28.58 -308.57 117951.71102661596 UpD05
F07777 34.823 18.884 1.99e-16 1.41e-16 8.86e-17 54.7 -308.44 117902.28136882128 UpD05
F07805 35.56 18.771 2.1e-16 1.83e-16 1.24e-16 30.52 -308.37 117875.66539923953 UpD05
F07781 35.077 19.009 2.08e-16 1.34e-16 8.96e-17 21.37 -308.6 117963.11787072243 UpD05
F07804 35.251 18.973 2.04e-16 1.23e-16 7.03e-17 48.56 -308.35 117868.0608365019 UpD05
F07769 35.169 19.29 2.92e-16 1.96e-16 1.39e-16 43.01 -308.54 117940.3041825095 UpD05
F07788 35.814 19.21 1.69e-16 1.34e-16 6.23e-17 34.12 -308.21 117814.82889733839 UpD05
F07799 38.225 18.799 1.67e-16 1.17e-16 8.3e-17 28.14 -308.27 117837.64258555131 UpD05
F07798 36.772 19.881 3.44e-16 1.9e-16 1.21e-16 49.3 -308.09 117769.20152091252 UpD05
