name x y flux0 flux1 flux2 width rv
F09728 -29.320  16.890 3.13e-17 2.42e-17 1.66e-17 12.16 -703.23
F09719 -28.968  15.643 3.43e-17 2.00e-17 1.52e-17 21.62 -703.35
F09733 -28.844  16.156 3.57e-17 2.63e-17 1.64e-17 17.06 -703.50
F09736 -28.842  16.143 3.91e-17 2.51e-17 1.54e-17 20.56 -703.56
F09711 -28.817  16.215 4.47e-17 3.08e-17 1.67e-17 15.71 -703.61
F09714 -28.814  15.855 4.59e-17 3.55e-17 2.20e-17 17.69 -703.51
F09732 -28.801  16.294 2.94e-17 2.60e-17 1.70e-17 18.28 -703.48
F09721 -28.779  15.809 4.03e-17 2.76e-17 2.09e-17 16.04 -703.68
F09710 -28.777  16.134 3.74e-17 2.62e-17 1.82e-17 17.32 -703.55
F09716 -28.724  15.916 4.18e-17 2.75e-17 2.22e-17 15.01 -703.65
F09703 -28.724  16.089 2.97e-17 2.44e-17 1.58e-17 23.38 -703.53
F09724 -28.723  16.011 4.69e-17 3.29e-17 2.21e-17 12.31 -703.34
F09704 -28.707  15.988 4.42e-17 3.06e-17 1.88e-17 17.41 -703.52
F09705 -28.704  16.016 3.54e-17 2.72e-17 1.79e-17 17.64 -703.45
F09706 -28.704  15.714 3.10e-17 2.02e-17 1.48e-17 23.89 -703.52
F09731 -28.695  16.206 4.88e-17 3.21e-17 2.03e-17 21.74 -703.43
F09708 -28.689  15.944 2.91e-17 2.27e-17 1.50e-17 21.86 -703.52
F09726 -28.684  16.082 3.18e-17 2.22e-17 1.80e-17 13.29 -703.36
F09717 -28.672  16.068 3.40e-17 2.30e-17 1.59e-17 15.89 -703.48
F09722 -28.670  15.954 4.11e-17 2.85e-17 1.55e-17 13.87 -703.33
F09727 -28.664  16.073 6.06e-17 3.94e-17 2.28e-17 23.44 -703.50
F09718 -28.639  16.075 4.00e-17 3.01e-17 2.13e-17 14.76 -703.45
F09715 -28.621  16.002 4.66e-17 3.27e-17 1.86e-17 18.92 -703.65
F09735 -28.606  15.941 3.03e-17 2.65e-17 1.83e-17 13.52 -703.34
F09709 -28.588  16.003 2.97e-17 2.09e-17 1.53e-17 17.36 -703.42
F09730 -28.579  16.019 4.96e-17 3.15e-17 1.91e-17 12.54 -703.37
F09720 -28.567  15.995 4.03e-17 2.75e-17 1.75e-17 16.48 -703.49
F09729 -28.567  16.077 4.33e-17 2.87e-17 1.87e-17 11.17 -703.44
F09707 -28.552  15.956 4.23e-17 2.78e-17 1.86e-17 17.20 -703.43
F09713 -28.527  16.277 4.45e-17 2.83e-17 1.79e-17 10.65 -703.41
F09712 -28.515  16.034 4.01e-17 2.53e-17 1.40e-17 12.05 -703.45
F09723 -28.500  16.012 3.22e-17 2.55e-17 1.46e-17 17.05 -703.29
F09725 -28.498  15.792 3.46e-17 2.68e-17 1.69e-17 13.63 -703.50
F09734 -28.411  16.038 3.37e-17 1.96e-17 1.52e-17 13.65 -703.54
F01402 -21.894  23.100 4.37e-17 3.99e-17 2.23e-17 18.17 -642.37
F01406 -21.806  23.192 3.77e-17 2.52e-17 1.74e-17 23.26 -642.39
F01381 -21.719  22.884 4.90e-17 3.05e-17 2.48e-17  8.32 -642.36
F01384 -21.703  23.595 5.82e-17 4.33e-17 2.64e-17 11.84 -642.31
F01392 -21.656  23.221 4.89e-17 3.93e-17 2.58e-17 19.28 -642.36
F01400 -21.631  23.079 6.14e-17 3.76e-17 2.65e-17 29.99 -642.54
F01395 -21.630  23.242 5.28e-17 2.51e-17 1.93e-17 24.39 -642.39
F01382 -21.625  23.201 4.79e-17 3.11e-17 2.08e-17 32.28 -642.21
F01397 -21.613  23.157 4.87e-17 3.56e-17 2.13e-17 22.12 -642.26
F01404 -21.608  23.062 4.21e-17 2.85e-17 1.86e-17 13.19 -642.47
F01414 -21.599  23.069 5.87e-17 4.30e-17 2.53e-17 16.16 -642.33
F01387 -21.598  23.091 6.22e-17 5.29e-17 2.81e-17 24.89 -642.28
F01410 -21.581  23.076 5.07e-17 3.22e-17 2.12e-17 15.26 -642.38
F01391 -21.580  23.081 4.12e-17 2.55e-17 1.55e-17 15.39 -642.41
F01388 -21.580  23.192 7.26e-17 5.57e-17 2.95e-17 16.60 -642.42
F01405 -21.579  23.083 4.98e-17 3.28e-17 2.30e-17 13.38 -642.47
F01407 -21.576  23.080 4.91e-17 3.55e-17 2.22e-17 15.21 -642.38
F01412 -21.571  23.081 5.00e-17 3.24e-17 2.25e-17 20.63 -642.41
F01390 -21.566  23.093 3.82e-17 3.09e-17 1.85e-17 18.73 -642.40
F01386 -21.564  23.098 4.42e-17 3.39e-17 1.83e-17 24.18 -642.42
F01413 -21.557  23.096 5.33e-17 3.77e-17 2.12e-17 21.46 -642.33
F01409 -21.549  23.006 6.43e-17 4.22e-17 2.74e-17  8.93 -642.54
F01403 -21.534  23.144 6.46e-17 4.62e-17 2.53e-17 15.68 -642.39
F01399 -21.517  23.132 4.43e-17 3.80e-17 2.11e-17 20.47 -642.48
F01394 -21.516  23.099 3.75e-17 2.51e-17 1.76e-17 18.85 -642.36
F01383 -21.499  22.944 4.42e-17 3.34e-17 2.06e-17 18.02 -642.31
F01411 -21.483  23.173 4.25e-17 3.22e-17 2.05e-17 12.94 -642.38
F01408 -21.476  22.993 4.72e-17 2.98e-17 2.04e-17 10.91 -642.26
F01378 -21.462  23.487 4.18e-17 2.82e-17 2.40e-17 20.37 -642.29
F01396 -21.459  22.926 6.89e-17 4.84e-17 3.31e-17 18.47 -642.44
F01379 -21.422  22.940 4.38e-17 2.66e-17 1.99e-17 12.75 -642.30
F01393 -21.422  23.193 5.41e-17 3.65e-17 2.71e-17 16.76 -642.25
F01389 -21.351  23.098 5.02e-17 3.44e-17 2.17e-17 15.55 -642.45
F01380 -21.288  22.312 5.09e-17 3.55e-17 2.23e-17 23.12 -642.38
F01385 -21.252  23.134 4.25e-17 3.31e-17 2.36e-17 15.25 -642.41
F01401 -21.098  23.256 6.06e-17 4.23e-17 3.01e-17 14.33 -642.48
F01398 -20.992  22.674 4.60e-17 2.83e-17 2.05e-17 18.75 -642.24
