name x y flux0 flux1 flux2 width rv
F08524  24.843  31.663 1.66e-17 1.29e-17 7.78e-18  6.09 -1090.19
F08519  25.085  32.063 1.42e-17 1.05e-17 6.73e-18  6.36 -1090.32
F08535  25.100  32.017 1.71e-17 1.09e-17 7.14e-18  4.51 -1090.34
F08522  25.111  32.142 1.61e-17 1.01e-17 6.62e-18  6.83 -1090.43
F08521  25.112  32.042 2.03e-17 1.54e-17 8.88e-18 14.63 -1090.26
F08538  25.163  32.038 1.77e-17 1.22e-17 7.50e-18 12.62 -1090.25
F08536  25.171  31.972 1.82e-17 1.00e-17 7.07e-18  5.88 -1090.20
F08530  25.174  31.999 1.78e-17 1.25e-17 8.77e-18 11.74 -1090.29
F08548  25.177  32.005 1.61e-17 1.22e-17 7.99e-18 10.54 -1090.28
F08544  25.177  32.014 1.63e-17 1.01e-17 6.84e-18  8.33 -1090.32
F08540  25.179  32.035 1.57e-17 1.12e-17 6.59e-18 15.09 -1090.28
F08551  25.181  31.997 1.52e-17 1.16e-17 7.29e-18 12.19 -1090.17
F08525  25.181  31.990 2.11e-17 1.53e-17 8.92e-18  9.97 -1090.21
F08533  25.186  32.004 1.72e-17 1.18e-17 7.07e-18 12.96 -1090.43
F08543  25.187  32.022 2.07e-17 1.16e-17 9.16e-18  6.89 -1090.35
F08534  25.189  31.940 1.56e-17 1.04e-17 7.44e-18  8.12 -1090.28
F08532  25.190  32.011 2.28e-17 1.37e-17 9.38e-18  4.81 -1090.31
F08541  25.190  32.013 2.39e-17 1.63e-17 1.14e-17  7.78 -1090.13
F08545  25.190  31.992 1.67e-17 1.23e-17 8.13e-18 15.76 -1090.09
F08516  25.190  32.009 1.52e-17 1.07e-17 5.86e-18 11.65 -1090.45
F08527  25.214  31.973 1.36e-17 1.03e-17 6.42e-18  7.35 -1090.25
F08547  25.222  32.042 1.81e-17 1.27e-17 9.23e-18 13.81 -1090.47
F08518  25.227  32.037 1.43e-17 1.29e-17 6.61e-18 10.67 -1090.19
F08546  25.259  31.989 1.56e-17 1.07e-17 7.87e-18 10.12 -1090.29
F08529  25.274  31.925 2.01e-17 1.25e-17 8.13e-18 17.20 -1090.20
F08523  25.303  32.049 1.48e-17 1.02e-17 5.99e-18 16.41 -1090.31
F08526  25.490  32.076 1.52e-17 1.08e-17 6.21e-18  7.02 -1090.32
F03817  25.496  40.556 1.79e-17 1.22e-17 7.91e-18 13.81 -1090.47
F03827  25.520  40.631 1.67e-17 1.08e-17 7.10e-18  7.40 -1090.38
F03826  25.582  40.501 1.71e-17 1.35e-17 9.09e-18  8.86 -1090.32
F03824  25.585  40.574 2.40e-17 1.39e-17 1.04e-17 10.78 -1090.43
F03812  25.609  40.528 1.75e-17 1.13e-17 7.72e-18  8.73 -1090.43
F03820  25.626  40.493 2.31e-17 1.38e-17 9.22e-18 11.50 -1090.40
F03821  25.629  40.484 1.94e-17 1.31e-17 7.98e-18 17.90 -1090.45
F03830  25.636  40.487 2.02e-17 1.32e-17 9.69e-18 11.38 -1090.33
F03815  25.649  40.564 1.77e-17 1.38e-17 6.80e-18 11.33 -1090.38
F03829  25.650  40.456 1.79e-17 1.30e-17 7.91e-18 11.41 -1090.33
F03833  25.651  40.493 1.49e-17 1.19e-17 6.27e-18  9.35 -1090.37
F03809  25.675  40.444 1.49e-17 1.04e-17 7.19e-18  8.60 -1090.45
F08531  25.685  32.423 1.47e-17 1.21e-17 7.17e-18  4.39 -1090.17
F03810  25.715  40.471 1.83e-17 1.09e-17 7.34e-18  9.82 -1090.56
F03828  25.791  40.461 2.01e-17 1.43e-17 1.09e-17  7.63 -1090.52
F03819  25.817  40.523 1.72e-17 1.23e-17 7.66e-18  9.98 -1090.49
