name x y flux0 flux1 flux2 width rv
F03892  12.868  44.408 3.85e-17 2.65e-17 1.55e-17  9.00 -725.39
F06767  13.013  38.620 5.12e-16 3.33e-16 2.34e-16 55.29 -186.75
F03897  13.015  44.950 3.16e-17 2.23e-17 1.40e-17 19.64 -725.58
F03898  13.050  44.986 4.33e-17 2.87e-17 1.84e-17  8.30 -725.30
F03914  13.077  44.860 3.38e-17 2.42e-17 1.41e-17 13.75 -725.49
F03904  13.257  44.855 2.98e-17 2.05e-17 1.48e-17 13.21 -725.33
F03889  13.262  44.661 3.22e-17 2.43e-17 1.55e-17 13.61 -725.38
F03893  13.337  44.973 4.29e-17 3.06e-17 1.86e-17 17.71 -725.55
F03911  13.341  44.502 3.63e-17 2.31e-17 1.43e-17 17.49 -725.41
F03910  13.372  44.985 3.62e-17 3.03e-17 1.80e-17 13.93 -725.37
F03887  13.390  44.950 3.39e-17 2.33e-17 1.53e-17 14.47 -725.50
F03891  13.402  44.909 4.84e-17 3.44e-17 2.19e-17 17.17 -725.35
F03903  13.430  44.979 3.66e-17 2.99e-17 1.79e-17 13.17 -725.68
F03900  13.454  44.934 3.86e-17 2.40e-17 1.64e-17 16.98 -725.38
F03899  13.507  44.980 4.27e-17 3.28e-17 2.02e-17 19.36 -725.47
F03896  13.535  44.715 4.69e-17 2.75e-17 1.97e-17 11.48 -725.52
F03912  13.564  44.747 3.96e-17 2.84e-17 1.95e-17 23.27 -725.38
F03890  13.707  44.630 4.01e-17 2.91e-17 1.84e-17  9.74 -725.34
F03886  13.965  44.805 3.45e-17 2.76e-17 1.68e-17  9.04 -725.40
