name x y flux1 flux2 flux3 par rv
P02433 -11.850  15.205 5.17e-14 3.01e-14 1.46e-14   0.005   -0.10
P08789  -9.438  18.074 5.24e-15 3.80e-15 2.09e-15   0.004   -2.72
P01025  -9.201  15.320 3.82e-17 1.73e-17 7.71e-18   0.004   -2.39
P03266  -7.120  18.626 9.11e-15 6.30e-15 3.90e-15   0.006    0.14
P00923  -5.392  15.457 3.75e-15 2.64e-15 1.52e-15   0.003   -4.65
P09339  -4.406  15.073 5.04e-12 2.46e-12 1.27e-12   0.004   -0.29
P06376  -4.188  21.621 1.39e-13 7.43e-14 4.01e-14   0.007   -0.46
P05587  -2.323  19.800 5.61e-14 3.35e-13 1.34e-12   0.007   -0.40
P08668  -2.266  16.032 4.97e-17 2.69e-17 1.20e-17   0.004   -6.09
P04150  -2.130  15.803 3.63e-16 3.25e-16 2.68e-16   0.004   -6.22
P06325  -1.444  17.485 2.22e-16 2.52e-16 1.99e-16   0.006   -0.24
P03569  -0.407  17.309 5.84e-15 3.72e-15 2.40e-15   0.006   -0.15
P03241  -0.457  19.140 9.18e-17 1.29e-16 1.33e-16   0.008   -1.11
P02193  -0.397  18.325 1.53e-13 8.05e-14 3.87e-14   0.005   -0.16
