name x y flux0 flux1 flux2 width rv
F11685 -11.452  30.475 3.24e-17 2.24e-17 1.44e-17 16.08 -821.92
F11657 -11.361  30.209 2.87e-17 1.94e-17 1.29e-17 19.50 -821.70
F11669 -11.341  30.470 3.10e-17 2.18e-17 1.47e-17 15.00 -821.80
F11690 -11.165  30.247 2.73e-17 2.27e-17 1.20e-17 14.02 -821.77
F11684 -11.135  30.239 2.96e-17 1.92e-17 1.33e-17 16.12 -821.88
F11670 -11.134  30.254 3.13e-17 2.50e-17 1.49e-17 17.30 -821.86
F11673 -11.123  30.210 2.34e-17 1.53e-17 9.99e-18 16.10 -822.02
F11655 -11.118  30.234 3.34e-17 2.25e-17 1.55e-17 12.73 -821.87
F11672 -11.116  30.237 3.33e-17 2.05e-17 1.41e-17 14.45 -821.94
F11666 -11.113  30.226 3.07e-17 2.08e-17 1.27e-17 13.17 -821.96
F11668 -11.111  30.225 3.28e-17 2.38e-17 1.53e-17 15.28 -821.92
F11675 -11.109  30.229 3.23e-17 2.00e-17 1.56e-17 17.25 -821.87
F11679 -11.108  30.225 2.56e-17 1.77e-17 1.30e-17 10.95 -821.88
F11678 -11.108  30.220 2.62e-17 1.98e-17 1.22e-17 14.32 -821.93
F11676 -11.107  30.271 3.76e-17 2.53e-17 1.67e-17 14.81 -821.83
F11680 -11.107  30.226 2.93e-17 2.40e-17 1.48e-17 21.32 -821.89
F11692 -11.105  30.230 3.18e-17 2.34e-17 1.42e-17 12.72 -821.94
F11693 -11.100  30.206 3.37e-17 2.20e-17 1.38e-17  9.18 -821.81
F11660 -11.096  30.209 3.63e-17 2.75e-17 1.53e-17 20.51 -821.66
F11688 -11.092  30.127 3.32e-17 2.11e-17 1.48e-17 13.26 -822.05
F11689 -11.080  30.237 3.37e-17 2.15e-17 1.46e-17 17.27 -821.82
F11665 -11.079  30.233 3.40e-17 2.31e-17 1.53e-17 18.16 -821.88
F11681 -11.070  30.173 3.37e-17 2.25e-17 1.66e-17 13.16 -821.85
F11664 -11.061  30.075 2.41e-17 1.68e-17 1.14e-17 13.11 -821.88
F11671 -11.054  30.242 3.45e-17 2.61e-17 1.50e-17 14.22 -822.00
F11683 -11.053  30.284 2.25e-17 1.70e-17 1.11e-17 15.54 -822.08
F11656 -11.044  30.296 2.74e-17 2.16e-17 1.33e-17 14.49 -821.83
F11667 -11.042  30.191 3.49e-17 2.32e-17 1.62e-17 12.44 -822.00
F11661 -11.041  30.170 2.65e-17 1.81e-17 1.10e-17 18.67 -821.85
F11662 -11.032  30.214 2.59e-17 1.90e-17 1.27e-17 11.85 -821.79
F11659 -11.020  30.189 3.15e-17 2.31e-17 1.33e-17  7.98 -821.93
F11677 -11.010  30.193 3.37e-17 2.45e-17 1.49e-17 21.88 -821.79
F11658 -11.004  30.228 3.77e-17 2.57e-17 1.76e-17 18.44 -821.99
F11674 -10.999  30.009 3.07e-17 2.48e-17 1.41e-17 17.78 -822.06
F11687 -10.987  30.457 2.17e-17 1.66e-17 1.18e-17 10.87 -821.95
F11653 -10.953  30.574 2.87e-17 2.14e-17 1.27e-17  9.09 -821.98
F11682 -10.924  30.186 2.16e-17 1.61e-17 1.05e-17 12.66 -821.99
F11663 -10.906  30.248 1.88e-17 1.34e-17 8.79e-18 14.01 -821.97
F11691 -10.879  30.452 2.08e-17 1.64e-17 1.05e-17 15.83 -821.93
F11686 -10.753  30.453 2.99e-17 2.05e-17 1.37e-17 14.90 -821.88
F03298  -4.498  44.945 1.80e-17 1.33e-17 9.12e-18  5.60 -1031.83
