name x y flux1 flux2 flux3 par rv
P09803 -14.986  33.919 2.66e-14 1.34e-14 6.10e-15   0.001   -1.20
P10219 -14.534  33.622 1.06e-14 5.81e-15 2.85e-15   0.003   -1.25
P02844 -14.674  32.501 1.49e-17 1.71e-17 1.54e-17   0.002   -1.25
P03305 -13.862  35.841 4.99e-14 2.52e-14 1.09e-14   0.002   -0.81
P06201 -13.911  31.681 2.87e-15 1.82e-15 9.37e-16   0.001   -1.22
P09359 -13.633  33.195 1.01e-14 5.92e-15 2.78e-15   0.002   -1.33
P08572 -13.130  43.160 3.53e-16 2.66e-16 1.60e-16   0.001    1.22
P01253 -13.057  30.715 4.52e-17 4.66e-17 3.67e-17   0.003   -1.23
P06749 -12.602  31.350 3.54e-15 2.14e-15 1.08e-15   0.003   -1.31
P06796 -12.303  37.795 1.96e-14 1.00e-14 4.68e-15  -0.001    2.53
P09794 -11.632  39.924 4.29e-13 5.14e-13 4.52e-13   0.003    2.37
P07696 -11.292  39.439 4.81e-13 3.02e-13 1.55e-13   0.002    2.51
P03005 -10.101  40.971 1.71e-17 1.88e-17 1.47e-17   0.001    1.41
P06560  -9.901  39.500 3.88e-17 3.82e-17 2.68e-17   0.001    2.26
P09811  -9.563  38.778 1.53e-15 9.40e-16 5.03e-16   0.002    2.14
P01026  -9.538  39.096 3.29e-15 1.92e-15 9.28e-16  -0.001    2.20
P02988  -9.432  38.889 4.29e-16 3.07e-16 1.73e-16   0.001    1.83
P02113  -9.295  38.939 2.50e-16 1.89e-16 1.17e-16   0.001    1.94
P07908  -9.254  38.297 6.04e-13 3.66e-13 2.06e-13   0.001    1.69
P09752  -9.067  39.665 1.89e-14 9.14e-15 4.45e-15   0.001    1.85
P08468  -8.928  40.072 5.92e-17 5.20e-17 3.68e-17   0.000    1.43
P03771  -8.743  39.050 1.10e-14 5.74e-15 2.63e-15  -0.000    1.82
P08263  -8.917  40.327 3.85e-14 1.81e-14 8.15e-15   0.001    1.28
P09761  -8.529  40.843 7.72e-17 7.24e-17 4.78e-17   0.002    0.53
P09125  -8.569  39.701 3.68e-15 2.01e-15 9.94e-16   0.002    1.32
P01591  -8.410  40.828 3.50e-15 2.03e-15 1.02e-15   0.001    1.01
P07409  -8.367  38.669 3.90e-17 3.66e-17 2.69e-17   0.002    1.26
P04555  -8.378  38.009 2.09e-15 1.24e-15 5.96e-16   0.002    1.38
P05018  -8.224  39.431 1.19e-14 6.03e-15 2.93e-15  -0.000    1.47
P03753  -8.353  39.277 1.74e-16 1.32e-16 8.64e-17   0.000    1.52
P04026  -8.158  39.292 1.18e-16 9.23e-17 6.31e-17   0.002    1.02
P08492  -8.127  39.301 3.81e-16 2.73e-16 1.60e-16   0.003    0.93
P00246  -8.194  39.116 2.22e-16 1.65e-16 1.06e-16   0.002    1.12
P02145  -8.031  39.889 3.19e-17 2.79e-17 2.31e-17   0.002    0.83
P06041  -8.089  40.924 1.59e-17 1.66e-17 1.39e-17   0.000    0.09
P02689  -7.914  39.569 4.95e-17 4.52e-17 3.30e-17   0.002    0.89
P06479  -8.049  39.386 3.82e-16 2.71e-16 1.59e-16   0.001    0.92
P02542  -7.994  39.503 2.81e-16 1.98e-16 1.19e-16   0.002    0.85
P00657  -7.923  39.412 1.34e-16 1.07e-16 7.02e-17   0.001    0.78
P10063  -7.880  39.169 4.62e-13 2.69e-13 1.32e-13   0.000    0.98
P08799  -7.937  39.507 1.09e-15 6.58e-16 3.59e-16   0.002    0.38
P07330  -7.923  39.651 3.96e-13 2.04e-13 9.53e-14   0.002    0.35
P08956  -7.951  39.358 4.10e-16 2.74e-16 1.63e-16   0.002    0.73
P03794  -7.935  39.034 5.47e-17 5.01e-17 3.51e-17   0.002    0.77
P06246  -7.816  39.019 1.33e-15 8.64e-16 4.55e-16  -0.000    0.72
P08767  -7.824  39.536 3.29e-17 3.06e-17 2.34e-17   0.001    0.67
P03787  -7.844  39.463 4.78e-15 2.70e-15 1.24e-15   0.001    0.11
P07935  -7.811  39.362 2.26e-15 1.29e-15 6.71e-16   0.000    0.32
P09476  -7.635  39.325 2.04e-15 1.15e-15 5.91e-16   0.002    0.40
P05573  -7.675  38.093 3.06e-17 3.10e-17 2.46e-17   0.001    0.64
P03867  -7.673  39.366 3.04e-14 1.53e-14 7.02e-15   0.002    0.28
P01954  -7.731  39.811 4.11e-13 2.29e-13 1.03e-13   0.000   -0.43
P00166  -7.625  40.118 2.46e-16 1.92e-16 1.14e-16   0.000   -0.26
P07737  -7.764  38.780 2.37e-14 1.11e-14 5.08e-15   0.001    0.43
P07369  -7.676  39.224 4.04e-16 2.66e-16 1.58e-16   0.002    0.14
P06027  -7.557  39.420 2.30e-14 1.19e-14 5.40e-15   0.002   -0.28
P01790  -7.528  39.514 6.32e-15 3.59e-15 1.68e-15   0.004   -0.22
P08873  -7.715  39.832 1.26e-14 6.77e-15 3.20e-15  -0.000   -0.45
P00187  -7.615  41.807 8.72e-16 5.75e-16 3.12e-16   0.002   -0.18
P06478  -7.676  39.877 6.93e-16 4.22e-16 2.60e-16   0.000   -0.68
P09107  -7.560  35.835 1.63e-17 1.66e-17 1.37e-17   0.000    0.68
P09003  -7.683  38.477 2.76e-17 2.74e-17 2.20e-17   0.001    0.49
P10215  -7.585  38.643 1.01e-17 1.21e-17 9.99e-18  -0.001    0.55
