name x y flux0 flux1 flux2 width rv
F08835 -37.909 -34.806 2.63e-17 1.53e-17 1.15e-17  8.85 -943.81
F08850 -37.525 -34.024 1.58e-17 1.09e-17 9.98e-18 15.07 -944.13
F08825 -37.514 -34.362 2.50e-17 1.75e-17 1.26e-17 10.28 -943.92
F08851 -37.460 -34.411 2.13e-17 1.48e-17 1.08e-17  8.90 -943.97
F08854 -37.340 -34.256 1.89e-17 1.80e-17 1.59e-17  9.10 -944.03
F08838 -37.289 -34.231 1.86e-17 1.88e-17 1.03e-17 16.29 -943.91
F08857 -37.258 -34.302 2.10e-17 1.26e-17 8.13e-18 14.62 -944.03
F08829 -37.250 -34.311 2.90e-17 1.29e-17 7.04e-18 16.70 -943.92
F08842 -37.248 -34.455 2.04e-17 1.90e-17 1.03e-17  8.51 -943.92
F08833 -37.247 -34.162 1.97e-17 1.88e-17 7.76e-18 14.18 -944.12
F08831 -37.244 -34.227 2.28e-17 1.81e-17 9.08e-18  9.66 -944.02
F08822 -37.243 -34.251 1.99e-17 1.86e-17 1.11e-17 10.11 -943.86
F08826 -37.239 -34.202 2.12e-17 1.29e-17 7.64e-18 12.78 -944.01
F08836 -37.222 -33.959 1.55e-17 1.63e-17 7.32e-18 14.61 -943.89
F08849 -37.221 -34.241 1.40e-17 1.52e-17 6.19e-18  5.29 -943.89
F08844 -37.218 -34.260 1.95e-17 1.63e-17 9.73e-18 17.32 -944.11
F08824 -37.216 -34.242 2.75e-17 2.41e-17 1.10e-17 11.79 -944.16
F08858 -37.214 -34.239 1.60e-17 1.41e-17 1.06e-17 11.82 -943.86
F08840 -37.213 -34.247 2.39e-17 1.74e-17 1.24e-17 10.42 -943.90
F08843 -37.210 -34.235 1.51e-17 1.51e-17 1.07e-17 16.23 -943.94
F08841 -37.210 -34.158 1.81e-17 1.10e-17 9.36e-18 13.33 -943.99
F08839 -37.207 -34.204 1.98e-17 1.82e-17 9.88e-18  9.78 -943.80
F08852 -37.206 -34.264 2.60e-17 1.65e-17 8.32e-18 12.64 -944.00
F08845 -37.199 -34.172 1.99e-17 1.98e-17 1.26e-17 12.07 -943.95
F08837 -37.199 -34.222 1.66e-17 1.10e-17 8.22e-18  8.09 -943.80
F08853 -37.197 -34.013 2.17e-17 1.06e-17 8.45e-18  9.26 -943.90
F08848 -37.194 -34.416 1.79e-17 1.30e-17 1.32e-17 12.32 -943.75
F08828 -37.192 -34.048 2.28e-17 1.99e-17 9.60e-18  9.05 -943.95
F08832 -37.180 -34.236 2.97e-17 2.12e-17 1.09e-17 13.35 -944.13
F08856 -37.167 -34.354 2.54e-17 1.49e-17 9.77e-18 12.52 -944.14
F08827 -37.137 -34.120 2.18e-17 1.43e-17 1.22e-17 14.76 -943.99
F08846 -37.123 -34.192 1.86e-17 1.16e-17 1.04e-17 12.34 -944.00
F08847 -37.115 -34.175 2.82e-17 1.59e-17 1.25e-17  9.63 -944.07
F08823 -37.075 -34.150 3.16e-17 1.63e-17 9.70e-18 16.85 -943.86
F08834 -37.054 -33.860 2.51e-17 1.48e-17 1.10e-17 10.57 -943.95
F08855 -37.026 -34.407 1.09e-17 1.29e-17 7.61e-18  9.87 -943.78
F08830 -36.989 -33.997 2.15e-17 1.75e-17 9.86e-18 12.52 -943.77
