name x y flux1 flux2 flux3 par rv
P10396 -14.733  -3.107 2.91e-13 1.57e-13 9.84e-14   0.010    0.80
P08970 -14.601  -4.114 8.44e-14 4.75e-14 2.07e-14   0.003    0.10
P03277 -14.398  -3.345 4.83e-17 5.13e-17 5.04e-17   0.004   -0.03
P02068 -13.949  -5.892 7.54e-15 3.79e-15 2.01e-15   0.001   -7.25
P07746 -13.875  -1.502 1.43e-14 8.05e-15 4.28e-15   0.003   -0.24
P08524 -13.870  -3.459 6.50e-17 7.29e-17 6.08e-17   0.005   -0.11
P00408 -13.778  -6.983 3.60e-16 3.63e-16 2.43e-16   0.004   -0.16
P00950 -13.530  -9.315 2.89e-15 2.21e-15 1.23e-15   0.004   -0.27
P10007 -13.288  -5.533 5.27e-17 6.35e-17 5.64e-17   0.004   -0.13
P10283 -13.167  -0.177 4.62e-14 2.95e-14 1.48e-14   0.008    0.14
P03122 -12.934  -2.558 3.25e-12 1.70e-12 9.58e-13   0.006   -0.23
P06149 -12.881  -5.068 3.17e-12 1.64e-12 7.17e-13   0.004   -0.14
P02860 -12.674  -2.576 4.28e-16 4.35e-16 3.20e-16   0.005   -0.21
P07071 -12.753  -5.190 6.15e-12 4.82e-12 3.62e-12   0.004   -0.22
P06958 -12.569  -4.853 4.51e-17 5.23e-17 5.47e-17   0.004   -0.38
P08309 -12.413  -0.188 2.81e-14 1.85e-14 9.20e-15   0.003   -1.16
P06717 -12.104  -1.132 1.10e-15 8.70e-16 4.92e-16   0.003   -0.61
P09266 -11.753  -6.149 9.54e-15 5.89e-15 3.36e-15   0.005   -5.31
P02034 -11.454 -10.153 5.84e-12 2.86e-12 1.44e-12   0.004   -0.73
P00027 -11.497  -4.429 4.37e-16 3.88e-16 2.88e-16   0.005   -0.35
P06688 -11.485  -3.847 2.81e-14 1.62e-14 8.59e-15   0.003   -0.35
P04527 -11.217  -3.924 1.02e-16 1.15e-16 1.07e-16   0.004   -0.37
P04244 -11.166  -3.469 1.85e-17 3.04e-17 3.01e-17   0.003   -0.62
P09797 -11.213  -4.805 3.42e-12 2.10e-12 8.72e-13   0.003   -0.57
P09637 -11.005  -3.946 8.24e-14 4.74e-14 2.33e-14   0.006   -4.96
P04303 -11.035  -1.391 1.50e-13 7.27e-14 3.82e-14   0.005   -0.96
P01928 -10.996  -2.308 9.70e-17 9.28e-17 8.49e-17   0.005   -0.62
P07206 -10.992  -0.950 3.23e-16 2.78e-16 2.19e-16   0.004   -1.00
P09187 -10.957  -1.280 6.76e-17 7.58e-17 7.02e-17   0.004   -1.09
P02348 -10.603  -9.518 4.96e-12 5.87e-12 4.56e-12   0.004   -5.33
P06275 -10.593  -1.537 3.91e-15 2.85e-15 1.77e-15   0.004   -0.80
P05336 -10.638  -0.722 9.82e-14 4.94e-14 2.37e-14   0.004   -1.17
P04366 -10.286  -1.854 1.84e-17 2.51e-17 2.86e-17   0.004   -0.95
P05879 -10.382  -6.218 1.70e-16 1.76e-16 1.45e-16   0.004   -1.07
P04487 -10.104  -1.397 2.83e-12 1.72e-12 7.17e-13   0.006   -0.87
P01781 -10.155  -1.640 2.10e-14 1.02e-14 5.40e-15   0.004   -0.93
P08234  -9.954  -3.020 7.63e-16 7.33e-16 4.22e-16   0.003   -0.77
P09443  -9.980  -4.910 2.04e-17 2.58e-17 2.73e-17   0.005   -0.91
P08333 -10.002  -2.667 3.11e-15 1.78e-15 1.14e-15   0.005   -0.98
P06369  -9.897  -1.953 3.55e-14 2.16e-14 9.92e-15   0.003   -0.89
P02405  -9.785  -1.109 1.02e-15 1.02e-15 6.16e-16   0.004   -1.05
P09150  -9.839  -0.749 2.07e-14 1.10e-14 6.12e-15   0.003   -1.31
P02894  -9.702  -0.252 3.60e-13 1.55e-13 6.71e-14   0.002   -1.57
P00866  -9.551  -1.604 1.95e-13 9.87e-14 4.50e-14   0.004   -1.12
P09181  -9.506  -1.013 4.17e-16 3.67e-16 2.44e-16   0.003   -1.21
P05369  -9.503  -0.606 2.31e-12 1.07e-12 4.82e-13   0.005   -1.54
