name x y flux1 flux2 flux3 par rv
P02091 -14.941   1.597 3.51e-16 3.40e-16 2.24e-16   0.003   -1.16
P00128 -14.446  14.127 1.24e-13 6.88e-14 3.18e-14   0.004   -0.79
P06333 -14.262   7.736 2.12e-14 1.18e-14 5.62e-15   0.004    1.00
P04217 -13.813   8.126 1.30e-14 7.83e-15 4.32e-15   0.003    1.02
P07152 -13.340   2.897 5.93e-17 3.19e-17 1.45e-17   0.005   -1.70
P02380 -12.932   7.949 2.78e-16 2.50e-16 1.76e-16   0.004    0.56
P07703 -12.481   2.054 3.62e-12 2.16e-12 1.09e-12   0.003   -1.66
P04035 -12.554   3.509 7.52e-17 3.92e-17 1.67e-17   0.005   -0.57
P04243 -12.286   4.828 1.68e-17 2.75e-17 2.40e-17   0.005   -2.22
P03738 -12.333   1.135 1.95e-16 2.13e-16 1.63e-16   0.003   -1.47
P04986 -12.179  11.477 1.20e-13 5.88e-14 2.44e-14   0.004    0.60
P08828 -12.213   0.258 2.87e-15 1.85e-15 1.08e-15   0.005   -1.29
P03893 -11.973  10.469 2.36e-16 2.17e-16 1.68e-16   0.002    0.89
P08601 -11.927  12.636 1.42e-15 1.04e-15 7.05e-16   0.005    0.24
P07664 -11.913   6.823 2.29e-12 2.44e-12 2.24e-12   0.004   -0.53
P10199 -11.938  12.536 1.67e-15 1.29e-15 8.35e-16   0.004   -0.17
P10067 -11.925   0.665 7.50e-15 4.47e-15 2.52e-15   0.005   -1.34
P04151 -11.640   5.294 8.60e-14 4.60e-14 2.16e-14   0.003   -2.40
P06445 -11.834   0.138 7.46e-17 1.01e-16 1.09e-16   0.010    0.71
P01024 -11.668   8.770 9.78e-14 5.16e-14 2.61e-14   0.003    0.98
P06166 -11.655  14.053 7.43e-14 3.71e-14 1.74e-14   0.005   -1.10
P02417 -10.927  11.976 1.49e-14 9.39e-15 5.53e-15   0.005   -0.04
P02948 -10.946  11.066 4.09e-14 2.19e-14 1.09e-14   0.003    0.90
P02291 -10.921  12.004 2.68e-12 1.26e-12 6.40e-13   0.003    0.27
P06614 -10.654  12.466 8.99e-17 4.25e-17 2.04e-17   0.003    0.50
P08384 -10.662  11.733 7.55e-14 3.59e-14 1.57e-14   0.005    0.77
P06079 -10.492  12.359 2.42e-14 1.38e-14 7.57e-15   0.005   -0.64
P01985 -10.301  11.865 8.63e-14 4.61e-14 2.21e-14   0.004   -0.45
P06926 -10.196  12.021 2.08e-13 1.20e-13 4.72e-14   0.004    0.06
P10250 -10.202  11.116 1.35e-13 6.76e-14 3.24e-14   0.003    0.69
P08920 -10.198  13.256 7.81e-14 3.82e-14 2.15e-14   0.005   -1.26
P04512 -10.106  11.514 6.44e-16 5.54e-16 3.66e-16   0.005    0.27
P01265  -9.851  12.067 1.40e-14 9.05e-15 4.71e-15   0.004    0.20
P00519  -9.783  10.869 1.21e-14 9.35e-15 4.26e-15   0.004    0.41
P07287  -9.872  11.463 5.40e-12 4.01e-12 3.04e-12   0.004    0.36
P06293  -9.846  10.837 3.44e-14 1.88e-14 9.65e-15   0.004    0.47
P02022  -9.700   1.495 6.45e-16 5.36e-16 4.05e-16   0.003   -2.42
P06257  -9.497  10.322 1.66e-15 1.25e-15 8.26e-16   0.003    0.19
P06511  -9.265  13.384 3.64e-17 5.23e-17 5.03e-17   0.003   -1.74
P09958  -9.338  14.153 6.58e-12 3.59e-12 2.79e-12   0.005   -1.92
P03077  -9.359  11.109 4.60e-12 3.86e-12 3.19e-12   0.005    0.44
P06758  -9.337  12.136 1.76e-16 1.97e-16 1.49e-16   0.002    0.21
P08202  -9.223   0.008 3.14e-14 1.66e-14 8.35e-15   0.002   -2.12
P08428  -9.255   0.676 6.65e-14 3.83e-14 1.89e-14   0.008    0.34
P04485  -9.209  12.232 3.57e-16 2.97e-16 2.18e-16   0.003   -0.27
