name x y flux0 flux1 flux2 width rv
F09975 -43.110 -32.969 2.31e-17 1.51e-17 1.04e-17 13.24 -912.12
F09976 -43.010 -32.779 2.37e-17 2.12e-17 1.26e-17 14.96 -912.07
F09973 -42.763 -33.339 1.92e-17 1.56e-17 1.10e-17 12.76 -912.25
F09978 -42.744 -33.534 2.84e-17 1.54e-17 9.66e-18 10.64 -912.03
F09988 -42.733 -33.465 2.26e-17 1.69e-17 1.77e-17 20.10 -912.27
F09992 -42.666 -33.552 2.25e-17 1.67e-17 1.02e-17 10.28 -912.09
F09957 -42.646 -33.892 2.72e-17 1.63e-17 6.23e-18 13.04 -912.13
F09984 -42.601 -33.120 2.64e-17 1.91e-17 1.64e-17 11.70 -912.00
F09972 -42.574 -33.495 2.49e-17 1.82e-17 9.27e-18 14.20 -912.18
F09970 -42.551 -33.216 2.06e-17 1.64e-17 1.00e-17 16.76 -912.15
F09950 -42.547 -33.451 3.19e-17 1.84e-17 1.20e-17 12.21 -912.27
F09993 -42.546 -33.350 1.85e-17 1.37e-17 8.53e-18 11.32 -912.26
F09983 -42.534 -33.423 2.87e-17 2.09e-17 1.82e-17 10.86 -912.25
F09986 -42.528 -33.400 2.14e-17 1.51e-17 1.09e-17  9.00 -911.94
F09953 -42.516 -33.254 2.53e-17 1.63e-17 1.99e-17 13.82 -912.08
F09990 -42.510 -33.284 2.17e-17 1.56e-17 1.17e-17 13.64 -912.19
F09962 -42.509 -33.380 2.65e-17 1.17e-17 1.04e-17 12.20 -912.11
F09951 -42.507 -33.343 2.23e-17 1.94e-17 1.41e-17 11.61 -912.11
F09956 -42.503 -33.315 2.48e-17 1.33e-17 1.41e-17 13.28 -912.10
F09974 -42.501 -33.363 2.67e-17 1.12e-17 1.02e-17 13.95 -912.31
F09958 -42.500 -33.370 2.88e-17 1.58e-17 9.28e-18  9.32 -912.28
F09987 -42.499 -33.359 2.86e-17 1.88e-17 1.38e-17 10.29 -912.10
F09971 -42.495 -33.398 2.63e-17 2.17e-17 1.17e-17 19.89 -912.01
F09952 -42.494 -33.337 2.25e-17 1.68e-17 1.08e-17  8.15 -912.29
F09977 -42.490 -33.629 2.78e-17 2.03e-17 1.16e-17 14.51 -912.22
F09960 -42.490 -33.368 2.29e-17 1.77e-17 8.68e-18 15.09 -912.37
F09946 -42.489 -33.364 3.04e-17 1.95e-17 1.18e-17 10.76 -912.25
F09989 -42.486 -33.369 3.22e-17 2.25e-17 1.19e-17  6.65 -912.16
F09979 -42.484 -33.377 2.99e-17 1.59e-17 8.93e-18  9.85 -912.33
F09967 -42.479 -33.395 2.08e-17 1.77e-17 1.13e-17 13.11 -912.13
F09963 -42.477 -33.367 1.27e-17 1.33e-17 8.12e-18  8.64 -912.03
F09981 -42.470 -33.354 2.41e-17 2.34e-17 1.42e-17  9.77 -912.24
F09955 -42.470 -33.359 1.66e-17 1.63e-17 9.31e-18  9.72 -912.18
F09954 -42.463 -33.542 2.87e-17 1.41e-17 1.13e-17 14.74 -912.14
F09969 -42.453 -33.588 2.38e-17 1.35e-17 1.11e-17 10.01 -912.31
F09985 -42.422 -33.395 2.72e-17 1.73e-17 8.98e-18 12.28 -912.22
F09964 -42.404 -33.147 2.11e-17 1.72e-17 8.71e-18 10.88 -912.30
F09959 -42.402 -33.519 1.48e-17 1.09e-17 7.81e-18 13.75 -912.26
F09982 -42.399 -33.369 2.67e-17 1.99e-17 1.24e-17 13.58 -912.06
F09966 -42.391 -33.744 2.38e-17 1.27e-17 8.08e-18 11.25 -912.14
F09980 -42.384 -33.281 2.64e-17 1.80e-17 1.32e-17 18.77 -912.12
F09961 -42.366 -33.447 1.74e-17 1.78e-17 6.72e-18 11.55 -912.10
F09947 -42.285 -33.351 1.75e-17 1.10e-17 6.83e-18 14.44 -912.22
F09949 -42.149 -33.159 1.66e-17 1.35e-17 1.06e-17  9.57 -912.08
F09948 -42.098 -32.884 2.39e-17 1.55e-17 1.16e-17 13.89 -912.07
F09965 -41.937 -33.222 2.44e-17 1.72e-17 1.10e-17 10.56 -912.10
F02607 -40.498 -44.901 6.12e-17 3.72e-17 3.64e-17 25.07 -518.11
F11467 -40.372 -43.593 1.99e-17 1.84e-17 1.02e-17 11.56 -1074.53
F11468 -40.372 -43.676 1.15e-17 1.01e-17 5.49e-18  9.11 -1074.39
F11465 -40.334 -43.581 1.39e-17 1.30e-17 6.73e-18 11.19 -1074.51
F11466 -40.318 -43.651 2.41e-17 1.16e-17 8.76e-18 16.26 -1074.63
F11469 -40.239 -43.555 1.41e-17 1.29e-17 5.61e-18 11.58 -1074.58
F06461 -35.540 -34.988 2.85e-17 2.11e-17 1.27e-17 19.72 -624.66
F06469 -35.484 -34.895 6.30e-17 3.05e-17 2.18e-17 20.89 -624.38
F06460 -35.440 -35.000 6.19e-17 2.76e-17 1.85e-17 18.27 -624.57
F06463 -35.391 -34.948 2.59e-17 1.62e-17 1.78e-17 18.65 -624.62
F06465 -35.380 -34.954 3.71e-17 2.70e-17 1.85e-17 21.75 -624.46
F06468 -35.356 -34.806 6.48e-17 3.92e-17 2.49e-17 23.54 -624.57
F06467 -35.344 -34.912 6.17e-17 4.46e-17 1.97e-17 19.17 -624.78
F06462 -35.311 -34.861 6.72e-17 3.55e-17 2.86e-17 20.65 -624.51
F06466 -35.298 -34.632 4.91e-17 3.54e-17 2.50e-17 18.37 -624.43
F06459 -35.219 -34.689 4.93e-17 3.49e-17 2.80e-17 12.28 -624.56
F06464 -34.901 -35.074 5.66e-17 5.17e-17 2.99e-17 19.38 -624.61
