name x y flux1 flux2 flux3 par rv
P03736 -12.981 -36.610 6.73e-15 5.42e-15 2.90e-15   0.006    1.38
P00182 -11.987 -36.102 1.40e-17 1.09e-17 5.88e-18  -0.000    0.79
P05466 -10.245 -36.884 4.91e-14 5.79e-14 4.73e-14  -0.001   -0.36
P06198 -10.136 -37.300 3.22e-14 4.36e-14 5.01e-14   0.002    0.95
P03480  -9.996 -37.110 1.08e-15 5.45e-16 2.45e-16  -0.001   -0.09
P02265 -10.082 -37.049 1.04e-16 4.87e-17 2.98e-17   0.001   -0.03
P04499  -9.894 -36.523 4.48e-17 3.32e-17 2.05e-17   0.002    0.91
P08395  -9.863 -37.046 6.52e-17 4.20e-17 2.44e-17   0.000    0.14
P03666  -9.931 -36.576 3.10e-17 2.11e-17 1.37e-17   0.000    0.91
P07920  -9.835 -36.663 1.55e-16 9.35e-17 4.49e-17   0.000    0.89
P00851  -9.756 -36.425 1.63e-15 8.91e-16 3.29e-16   0.001   -0.01
P04643  -9.804 -36.765 2.01e-15 1.05e-15 4.29e-16   0.002    0.87
P03419  -9.716 -36.867 9.68e-17 5.37e-17 3.44e-17   0.001    0.83
P03689  -9.778 -37.058 1.79e-16 1.15e-16 6.34e-17  -0.000   -0.35
P01860  -9.610 -36.632 4.72e-17 4.03e-17 1.93e-17   0.001    0.88
P01743  -9.607 -33.830 4.37e-17 5.36e-17 7.63e-17   0.007    1.39
P07594  -9.548 -37.016 9.25e-16 4.43e-16 1.95e-16  -0.002    0.53
P01307  -9.445 -36.679 3.69e-17 2.21e-17 1.59e-17  -0.001   -0.34
P10456  -9.346 -37.142 9.47e-16 4.56e-16 2.09e-16   0.001    0.13
P00785  -9.285 -36.965 2.27e-16 1.28e-16 7.26e-17   0.001    0.12
P08551  -9.283 -37.189 1.28e-16 9.11e-17 4.26e-17  -0.000   -0.62
P10098  -9.188 -36.808 3.12e-15 1.39e-15 5.97e-16   0.001   -0.78
P01663  -9.208 -37.315 3.24e-14 1.77e-14 7.85e-15   0.002   -1.08
P01752  -9.226 -37.262 9.35e-16 4.93e-16 2.16e-16   0.000   -1.16
P01827  -9.275 -36.933 1.50e-17 1.31e-17 7.63e-18   0.001   -0.28
P01968  -9.157 -37.064 5.35e-16 3.67e-16 1.73e-16   0.001   -0.10
P06330  -9.175 -37.330 3.10e-17 2.38e-17 1.42e-17  -0.000   -1.69
P00946  -9.053 -37.031 2.12e-15 1.08e-15 5.38e-16   0.001   -0.46
P04347  -9.091 -37.075 3.18e-17 2.50e-17 1.43e-17   0.001   -1.35
P01716  -9.018 -37.293 2.12e-17 1.90e-17 1.03e-17   0.000   -0.49
P04905  -8.987 -36.984 1.93e-16 1.22e-16 6.54e-17   0.001   -0.74
P02013  -9.028 -37.363 3.81e-15 1.80e-15 8.63e-16   0.001   -2.07
P00200  -9.000 -37.087 5.94e-17 4.72e-17 2.29e-17   0.001   -1.40
P10239  -9.116 -37.277 2.73e-14 1.57e-14 7.78e-15   0.001   -1.97
P02724  -9.039 -37.226 8.51e-16 5.08e-16 2.05e-16  -0.001   -2.37
P05851  -9.066 -36.956 2.27e-15 1.49e-15 5.60e-16   0.001   -0.56
P01219  -8.959 -37.178 2.83e-17 1.83e-17 1.33e-17  -0.000   -0.76
P04382  -8.935 -37.387 1.09e-16 7.67e-17 3.94e-17   0.001   -1.95
P04620  -8.890 -37.294 1.18e-15 4.74e-16 2.65e-16  -0.000   -1.84
P06853  -8.899 -37.447 1.63e-15 9.77e-16 4.44e-16   0.001   -3.07
P09272  -8.912 -37.122 1.55e-15 7.81e-16 3.72e-16   0.001   -1.37
P01934  -8.923 -37.538 8.79e-16 5.23e-16 2.44e-16   0.001   -2.41
P07575  -8.984 -37.251 1.12e-16 6.78e-17 3.52e-17  -0.000   -2.18
P05419  -8.909 -37.979 6.95e-16 2.97e-16 1.71e-16  -0.000   -2.41
P08885  -8.848 -37.497 5.49e-17 4.41e-17 2.48e-17  -0.001   -3.32
P06364  -8.661 -37.073 5.87e-17 4.23e-17 2.58e-17   0.001   -1.58
P10163  -8.840 -37.506 9.49e-16 5.36e-16 2.39e-16   0.001   -2.77
P01249  -8.879 -36.761 3.47e-14 1.73e-14 7.34e-15   0.001   -1.22
P03501  -8.794 -36.939 1.08e-15 4.45e-16 2.38e-16   0.001   -1.64
P09694  -8.749 -37.381 3.99e-14 1.83e-14 9.05e-15   0.001   -3.26
P07042  -8.792 -37.171 3.48e-16 2.21e-16 8.68e-17   0.001   -2.77
P02314  -8.803 -37.499 6.68e-14 4.22e-14 2.27e-14   0.000   -3.56
P01770  -8.514 -37.636 5.52e-14 3.22e-14 1.75e-14   0.002   -2.94
P05203  -8.796 -37.248 3.37e-15 1.79e-15 7.89e-16   0.002   -3.21
P03474  -8.587 -37.545 7.76e-14 4.76e-14 2.31e-14  -0.001   -3.19
P03479  -8.592 -37.034 6.66e-16 3.51e-16 1.62e-16  -0.000   -2.69
P08165  -8.568 -37.717 2.34e-17 1.59e-17 9.90e-18   0.000   -2.73
P03885  -8.547 -37.599 2.30e-15 9.31e-16 4.73e-16  -0.001   -3.50
P07211  -8.651 -37.286 3.10e-17 2.38e-17 1.42e-17   0.000   -3.37
P05167  -8.379 -37.357 1.07e-15 5.11e-16 2.53e-16   0.001   -3.44
P05403  -8.335 -37.292 7.39e-17 5.11e-17 2.79e-17  -0.000   -3.06
P01349  -8.310 -37.464 5.68e-17 3.32e-17 2.02e-17  -0.002   -3.91
P09124  -8.149 -37.716 9.14e-17 5.61e-17 3.25e-17   0.001   -4.12
P01238  -7.804 -37.775 8.11e-17 5.17e-17 3.11e-17   0.001   -4.20
P07130  -7.483 -37.945 7.07e-14 4.47e-14 2.68e-14  -0.001   -4.33
P01655  -6.377 -38.723 5.37e-17 3.50e-17 2.05e-17   0.001   -4.41
P02774  -6.178 -38.095 7.00e-14 3.91e-14 2.50e-14   0.008    1.23
P07670  -3.630 -36.304 2.49e-13 1.05e-13 4.89e-14   0.006    1.08
P00396  -0.851 -33.219 3.23e-14 1.89e-14 1.15e-14   0.008    1.26
P01669  -0.566 -31.349 3.72e-16 2.57e-16 2.29e-16   0.004   -0.84
