Time,Flux
0.0,1.0383981574307193
1.0,1.0623426926572908
2.0,1.086390627097471
3.0,1.0936539488281456
4.0,1.0814188153965913
5.0,1.0984025479042903
6.0,1.1300728791791186
7.0,1.1385502818990625
8.0,1.121805952389469
9.0,1.1021387619472607
10.0,1.1547375707478285
11.0,1.1511605882330274
12.0,1.1338675520470851
13.0,1.1530052134903297
14.0,1.1435630386517657
15.0,1.1603696124650105
16.0,1.1725902088401141
17.0,1.2017849907172762
18.0,1.166913005364049
19.0,1.1883456321280703
20.0,1.199222881746565
21.0,1.1982446044209614
22.0,1.2436436833337445
23.0,1.2262351789024772
24.0,1.2383859799947108
25.0,1.2215246622934377
26.0,1.2319968469782379
27.0,1.2244045176326437
28.0,1.2595041922997965
29.0,1.2415115806173203
30.0,1.2616962241086673
31.0,1.2766922773506049
32.0,1.2778338945659407
33.0,1.304950286526547
34.0,1.2387660759077508
35.0,1.2023591693058373
36.0,1.1473797617333346
37.0,1.1093538716712634
38.0,1.0841051878539387
39.0,1.027975589998753
40.0,0.9893154285256811
41.0,1.0203370603913087
42.0,1.016189158797314
43.0,1.039407347121755
44.0,1.0188201049254948
45.0,1.0285533738038266
46.0,1.0545850855010637
47.0,1.0274723368617376
48.0,1.0538408885247714
49.0,1.0554267668394801
50.0,1.0733537693761783
51.0,1.0852918588148417
52.0,1.04770778193832
53.0,1.085493798917347
54.0,1.0705434875533462
55.0,1.1250358469428312
56.0,1.1173719064484742
57.0,1.1136365140616589
58.0,1.122202727581472
59.0,1.1239691917591088
60.0,1.1380075605517455
61.0,1.149612609473861
62.0,1.1455450221325987
63.0,1.1631255560796108
64.0,1.1670364285288486
65.0,1.1767566380949042
66.0,1.1909083830644989
67.0,1.1958016714089894
68.0,1.206547176395911
69.0,1.2140349927463747
70.0,1.2057674223317816
71.0,1.2089542972913787
72.0,1.2302666696579663
73.0,1.2246194176861258
74.0,1.2189203638490398
75.0,1.2398045595118945
76.0,1.2523820593472321
77.0,1.2523385929213897
78.0,1.2603479276745053
79.0,1.2807908382356934
80.0,1.2960342554432218
81.0,1.299514568869884
82.0,1.2836225492104485
83.0,1.2357279072680936
84.0,1.1984609726829587
85.0,1.136598601056082
86.0,1.1069878713381573
87.0,1.0661477236221524
88.0,1.0326540040969021
89.0,1.0133331588120928
90.0,1.0110986408807268
91.0,0.9852240322406879
92.0,1.0122422796512924
93.0,1.0255879273969923
94.0,1.0522711087431567
95.0,1.056701627916667
96.0,1.05283233635427
97.0,1.0636911862853862
98.0,1.0492575971848832
99.0,1.0632056759164281
100.0,1.0946840957759845
101.0,1.0975408717707966
102.0,1.110324564878815
103.0,1.0979665730562516
104.0,1.1147188757892097
105.0,1.0869080734144667
106.0,1.1328876126064598
107.0,1.0949720345013325
108.0,1.1272871062273426
109.0,1.1305141940348882
110.0,1.144870185697386
111.0,1.14905606857544
112.0,1.1845996853219847
113.0,1.1940773184625462
114.0,1.202691165769547
115.0,1.152091342485915
116.0,1.1935568009499593
117.0,1.2028279207976702
118.0,1.1992801341251942
119.0,1.2175834987989287
