Time,Flux
0.0,1.239372638509444
1.0,1.2712905477117298
2.0,1.2611423187847817
3.0,1.2326479929578955
4.0,1.275333220887735
5.0,1.3107404116477244
6.0,1.315186123778436
7.0,1.3005394958340926
8.0,1.3280188258892747
9.0,1.3592954914688606
10.0,1.3406136998275862
11.0,1.3294740365413142
12.0,1.3547844450265154
13.0,1.3438883231192431
14.0,1.3595717719627423
15.0,1.372096609360076
16.0,1.347100178023677
17.0,1.2615086597461111
18.0,1.2124377686519663
19.0,1.1593125511839077
20.0,1.1151868533104181
21.0,1.037234788446266
22.0,0.9879513397216598
23.0,1.0360436792942365
24.0,1.020276985097125
25.0,1.0108277578958285
26.0,1.0283368155411736
27.0,1.0360157645204622
28.0,1.0458758066674072
29.0,1.0505511742210676
30.0,1.046451369780626
31.0,1.0747092912521985
32.0,1.0834670637941233
33.0,1.101087525577272
34.0,1.0959432972662777
35.0,1.1217325559183011
36.0,1.1287371943179865
37.0,1.1098324089164897
38.0,1.124457905178646
39.0,1.159171851100198
40.0,1.1808022798101234
41.0,1.1879756377704613
42.0,1.1705464424449872
43.0,1.1580078093629869
44.0,1.1657641454117282
45.0,1.2103417525073494
46.0,1.2160667584293905
47.0,1.1889316777045251
48.0,1.2138667457745083
49.0,1.240142249816344
50.0,1.2315765036905233
51.0,1.2460453730960879
52.0,1.2480798383613636
53.0,1.248436565913511
54.0,1.274600798825873
55.0,1.2625562937512078
56.0,1.2975627256762476
57.0,1.2923479678111964
58.0,1.3017518191226103
59.0,1.366870756181713
60.0,1.3089494426135821
61.0,1.3463547457984395
62.0,1.3308612390759653
63.0,1.3792150964607808
64.0,1.3494449408439844
65.0,1.3814886391690362
66.0,1.3565932370370055
67.0,1.2659093149278458
68.0,1.2437573627018221
69.0,1.1595831750687893
70.0,1.1299938001261725
71.0,1.0587540009396916
72.0,1.0041624858592801
73.0,0.9996298079819744
74.0,1.0327489460199593
75.0,1.0148462694233664
76.0,1.0345782103713608
77.0,1.0637728531697999
78.0,1.0676951568435262
79.0,1.0506266365426817
80.0,1.0574003766058386
81.0,1.0783815106281478
82.0,1.0785943712954282
83.0,1.085739764279601
84.0,1.1018916391340456
85.0,1.094959355400628
86.0,1.1486820801636175
87.0,1.1276775970458575
88.0,1.121503857838047
89.0,1.1464030481386582
90.0,1.160334251420787
91.0,1.196120064744048
92.0,1.1715925724684795
93.0,1.1856011543077054
94.0,1.196168308478831
95.0,1.1964186277378654
96.0,1.2337280508573758
97.0,1.210750013711471
98.0,1.2364167203309486
99.0,1.2318608278075303
100.0,1.2624900898488614
101.0,1.2539316160665688
102.0,1.268470664817863
103.0,1.2751268307214043
104.0,1.2414583699229929
105.0,1.286033290893867
106.0,1.2848250235679193
107.0,1.3194865229792483
108.0,1.305079075460797
109.0,1.3323783011396335
110.0,1.3116422907175105
111.0,1.3051907735190476
112.0,1.3764880961694324
113.0,1.3608440512015185
114.0,1.378492971875648
115.0,1.3626320889551866
116.0,1.3537288808057626
117.0,1.3114214815131158
118.0,1.2651011191319241
119.0,1.201207132595334
