name x y flux0 flux1 flux2 width rv
F10194  36.871 -25.422 2.28e-17 1.37e-17 8.97e-18  8.78 -1074.69
F10199  36.905 -24.958 2.08e-17 1.35e-17 9.75e-18 14.27 -1074.46
F10198  36.937 -25.457 1.30e-17 1.08e-17 5.29e-18 16.50 -1074.38
F10200  36.968 -25.406 2.14e-17 1.89e-17 8.18e-18 11.38 -1074.64
F10186  36.973 -25.176 1.64e-17 1.06e-17 9.03e-18  6.58 -1074.58
F10187  36.980 -25.657 1.18e-17 1.02e-17 5.28e-18  5.72 -1074.72
F10214  36.988 -25.532 1.26e-17 1.07e-17 6.22e-18  7.59 -1074.36
F10185  37.019 -25.415 2.00e-17 1.39e-17 9.11e-18 10.53 -1074.61
F10184  37.023 -25.452 1.54e-17 1.03e-17 6.03e-18 13.66 -1074.57
F10216  37.024 -25.418 1.81e-17 1.43e-17 8.01e-18  8.47 -1074.56
F10202  37.025 -25.526 1.90e-17 1.19e-17 8.18e-18 14.15 -1074.72
F10205  37.028 -25.444 1.56e-17 1.03e-17 7.42e-18 10.96 -1074.53
F10213  37.030 -25.479 1.33e-17 1.01e-17 5.84e-18 15.64 -1074.69
F10212  37.033 -25.476 2.03e-17 1.32e-17 6.45e-18 10.62 -1074.53
F10203  37.035 -25.477 1.48e-17 1.02e-17 8.19e-18 10.31 -1074.51
F10188  37.036 -25.459 1.34e-17 1.07e-17 8.73e-18 16.12 -1074.70
F10189  37.037 -25.500 2.89e-17 1.34e-17 1.11e-17 12.75 -1074.51
F10208  37.040 -25.550 1.89e-17 1.36e-17 8.94e-18  6.29 -1074.45
F10209  37.041 -25.475 8.74e-18 1.28e-17 6.05e-18 13.58 -1074.43
F10195  37.062 -25.463 1.46e-17 1.31e-17 6.25e-18 14.95 -1074.55
F10192  37.066 -25.468 1.22e-17 1.29e-17 6.82e-18 11.18 -1074.62
F10190  37.069 -25.599 2.16e-17 1.02e-17 9.88e-18  8.21 -1074.44
F10204  37.070 -25.475 1.69e-17 1.18e-17 8.67e-18 21.77 -1074.42
F10193  37.229 -25.363 1.45e-17 1.19e-17 6.67e-18 12.19 -1074.50
F10434  38.791 -23.347 2.25e-17 1.78e-17 9.20e-18 14.62 -980.54
F10443  38.932 -23.732 1.65e-17 1.65e-17 9.94e-18 12.73 -980.41
F10433  38.948 -23.797 2.49e-17 1.25e-17 8.48e-18 15.63 -980.66
F10427  39.003 -23.797 2.71e-17 1.08e-17 7.61e-18 13.76 -980.68
F10442  39.018 -23.862 2.00e-17 1.15e-17 9.23e-18 10.83 -980.66
F10424  39.031 -23.913 1.78e-17 1.09e-17 7.18e-18  8.02 -980.52
F10438  39.039 -23.250 2.04e-17 1.47e-17 9.85e-18 10.24 -980.68
F10423  39.054 -23.721 1.90e-17 1.45e-17 8.99e-18  5.79 -980.71
F10421  39.058 -23.726 2.73e-17 1.91e-17 1.08e-17 14.54 -980.43
F10444  39.061 -23.740 2.71e-17 1.57e-17 1.08e-17 10.35 -980.54
F10432  39.073 -23.738 1.87e-17 1.36e-17 8.64e-18 12.81 -980.70
F10420  39.077 -23.848 2.16e-17 1.26e-17 1.06e-17 15.77 -980.40
F10422  39.079 -23.813 2.31e-17 1.37e-17 9.84e-18  8.38 -980.76
F10428  39.081 -23.753 1.95e-17 1.09e-17 9.62e-18  8.18 -980.48
F10440  39.087 -23.752 2.92e-17 2.32e-17 1.57e-17 15.62 -980.50
F10436  39.090 -23.760 2.39e-17 1.39e-17 9.60e-18 11.23 -980.53
F10439  39.094 -23.721 1.50e-17 1.12e-17 6.80e-18 14.35 -980.58
F10425  39.104 -23.960 1.42e-17 1.18e-17 5.81e-18  6.19 -980.58
F10447  39.123 -23.701 1.72e-17 1.16e-17 1.09e-17 12.63 -980.63
F10426  39.129 -23.706 2.02e-17 1.21e-17 1.22e-17 10.68 -980.57
F10445  39.137 -23.819 2.17e-17 1.46e-17 9.67e-18 13.09 -980.64
F10446  39.160 -24.157 1.86e-17 1.55e-17 6.97e-18 12.02 -980.48
F10437  39.174 -23.736 1.55e-17 1.70e-17 8.91e-18 13.15 -980.75
F10430  39.183 -23.596 2.33e-17 1.39e-17 6.73e-18  9.11 -980.52
