name x y flux0 flux1 flux2 width rv
F06625 -33.468 -34.075 3.63e-17 1.42e-17 9.49e-18 15.49 -953.86
F06613 -33.385 -34.037 3.06e-17 1.52e-17 8.63e-18 13.98 -953.72
F06634 -33.383 -34.397 2.27e-17 1.96e-17 9.65e-18 12.14 -953.75
F06629 -33.367 -33.935 2.05e-17 1.25e-17 9.11e-18 11.56 -953.79
F06616 -33.366 -34.079 2.55e-17 1.91e-17 1.58e-17 11.99 -953.85
F06633 -33.345 -33.981 2.12e-17 1.45e-17 1.34e-17  7.76 -953.68
F06640 -33.331 -33.921 1.89e-17 1.47e-17 8.36e-18 13.09 -953.52
F06632 -33.327 -33.968 3.16e-17 1.27e-17 1.05e-17 11.71 -953.60
F06637 -33.327 -34.079 2.33e-17 1.58e-17 1.58e-17  9.33 -953.95
F06624 -33.324 -34.082 2.13e-17 1.13e-17 1.08e-17 11.74 -953.83
F06620 -33.320 -33.917 1.90e-17 1.23e-17 7.52e-18 10.69 -953.93
F06635 -33.319 -33.987 1.56e-17 1.52e-17 9.29e-18 13.53 -953.96
F06643 -33.317 -33.969 1.82e-17 1.22e-17 7.80e-18 12.50 -953.67
F06631 -33.314 -33.936 1.11e-17 1.04e-17 5.56e-18 11.81 -953.87
F06630 -33.313 -33.981 3.30e-17 2.76e-17 1.02e-17 14.79 -953.82
F06622 -33.310 -33.958 1.60e-17 1.45e-17 9.09e-18  8.86 -953.62
F06627 -33.309 -33.962 1.54e-17 1.18e-17 7.62e-18  9.92 -953.77
F06648 -33.306 -33.938 2.72e-17 1.21e-17 1.45e-17 11.73 -953.70
F06636 -33.301 -33.956 1.79e-17 1.10e-17 6.38e-18 14.38 -953.70
F06618 -33.298 -34.088 2.29e-17 2.11e-17 1.25e-17  7.67 -953.87
F06614 -33.298 -34.142 2.20e-17 1.70e-17 7.84e-18 16.59 -953.73
F06621 -33.295 -33.977 2.66e-17 1.71e-17 1.00e-17  8.23 -953.65
F06617 -33.291 -33.916 2.39e-17 1.34e-17 9.72e-18  7.40 -953.92
F06615 -33.289 -34.042 2.17e-17 1.59e-17 1.06e-17 11.99 -953.88
F06642 -33.278 -33.866 1.70e-17 1.34e-17 9.10e-18 14.09 -953.64
F06639 -33.273 -33.887 2.31e-17 1.61e-17 9.36e-18 13.78 -953.71
F06626 -33.246 -33.947 2.21e-17 1.63e-17 1.18e-17 11.26 -953.81
F06623 -33.224 -34.047 1.91e-17 2.04e-17 8.40e-18 11.81 -953.62
F06645 -33.193 -34.004 2.21e-17 2.04e-17 1.39e-17 11.64 -953.97
F06649 -33.184 -33.655 2.22e-17 1.39e-17 8.16e-18 13.56 -953.74
F06641 -33.174 -33.873 1.65e-17 1.68e-17 1.15e-17 15.37 -953.93
F06619 -33.120 -33.804 2.67e-17 1.30e-17 8.40e-18 10.60 -953.80
F06644 -33.072 -34.177 2.28e-17 1.69e-17 1.29e-17 10.27 -953.67
F06646 -33.011 -33.921 2.87e-17 1.14e-17 1.09e-17 16.25 -953.75
F06638 -32.907 -33.969 1.89e-17 1.17e-17 9.27e-18  7.49 -953.77
