name x y flux0 flux1 flux2 width rv
F00239 -10.187 -43.184 5.82e-17 4.24e-17 4.06e-17 10.62 -490.78
F00253 -10.170 -42.950 7.54e-17 6.94e-17 2.82e-17 38.67 -490.86
F00233 -10.148 -42.511 7.82e-17 6.86e-17 4.22e-17 29.35 -490.94
F00254 -10.139 -43.121 4.09e-17 3.90e-17 2.74e-17 37.95 -490.96
F00258 -10.046 -42.213 1.00e-16 6.95e-17 3.59e-17 18.16 -490.80
F00265 -10.012 -43.441 9.28e-17 6.50e-17 3.00e-17 20.01 -490.95
F00257 -10.004 -43.611 6.43e-17 4.05e-17 3.39e-17 31.39 -490.95
F00248  -9.962 -42.943 4.64e-17 3.16e-17 3.09e-17 29.29 -490.95
F00224  -9.905 -42.698 9.67e-17 7.05e-17 3.03e-17 23.50 -490.78
F00252  -9.900 -43.127 1.20e-16 9.90e-17 3.75e-17 20.32 -491.04
F00243  -9.886 -43.065 9.91e-17 8.77e-17 4.44e-17 17.09 -490.87
F00229  -9.883 -42.879 8.67e-17 6.52e-17 4.01e-17 40.70 -490.94
F00260  -9.865 -42.994 7.77e-17 6.32e-17 3.07e-17 29.22 -490.75
F00244  -9.859 -43.023 9.41e-17 5.95e-17 3.92e-17 22.16 -490.99
F00263  -9.855 -43.078 8.63e-17 4.56e-17 4.67e-17 24.39 -490.99
F00220  -9.841 -42.968 6.59e-17 4.82e-17 2.11e-17 14.62 -491.05
F00256  -9.839 -43.044 6.31e-17 7.30e-17 4.44e-17 10.16 -490.87
F00264  -9.838 -42.985 6.87e-17 4.90e-17 2.23e-17 22.94 -490.93
F00223  -9.838 -43.018 8.32e-17 4.35e-17 3.34e-17 20.31 -490.70
F00259  -9.837 -42.995 5.81e-17 6.62e-17 4.12e-17 20.24 -490.87
F00250  -9.835 -42.985 5.93e-17 4.58e-17 2.46e-17 23.52 -490.82
F00232  -9.833 -43.001 6.17e-17 4.75e-17 3.00e-17 30.12 -490.98
F00249  -9.832 -43.003 1.11e-16 6.26e-17 3.21e-17 15.43 -490.81
F00245  -9.830 -42.995 5.65e-17 3.72e-17 3.13e-17 20.35 -490.72
F00228  -9.829 -43.005 9.03e-17 8.01e-17 3.70e-17 24.91 -490.89
F00222  -9.821 -43.005 7.95e-17 5.27e-17 3.42e-17 14.30 -490.85
F00240  -9.814 -42.970 1.02e-16 6.60e-17 3.94e-17 21.56 -491.00
F00261  -9.799 -42.955 6.51e-17 3.91e-17 3.54e-17 13.07 -490.86
F00266  -9.797 -43.036 8.77e-17 5.93e-17 3.36e-17 17.34 -490.93
F00235  -9.794 -42.889 8.71e-17 4.49e-17 2.57e-17 26.20 -490.96
F00246  -9.793 -43.528 7.17e-17 8.86e-17 4.28e-17 17.34 -490.91
F00226  -9.785 -42.987 8.99e-17 4.81e-17 4.00e-17 29.95 -491.25
F00234  -9.776 -42.963 1.05e-16 5.48e-17 3.88e-17 11.26 -490.90
F00231  -9.750 -42.953 6.17e-17 5.22e-17 3.26e-17 17.20 -490.95
F00221  -9.678 -42.602 5.68e-17 4.75e-17 2.83e-17 26.22 -490.88
F00255  -9.677 -43.184 5.35e-17 4.02e-17 2.79e-17 23.51 -490.78
F00238  -9.648 -43.186 4.47e-17 4.33e-17 2.75e-17 24.54 -490.96
F00241  -9.628 -42.586 9.71e-17 5.85e-17 3.59e-17 18.67 -490.94
F00225  -9.602 -43.250 9.41e-17 5.65e-17 3.40e-17 18.37 -490.91
F00227  -9.601 -43.027 9.25e-17 4.17e-17 5.21e-17 18.84 -490.95
F00236  -9.568 -43.738 7.28e-17 5.68e-17 3.62e-17 31.34 -490.92
F00251  -9.544 -42.858 9.18e-17 5.46e-17 4.57e-17 28.73 -490.90
F00242  -9.539 -42.638 6.77e-17 6.16e-17 4.31e-17 14.01 -491.14
F00230  -9.524 -43.390 1.06e-16 7.64e-17 5.11e-17 11.26 -490.78
F00262  -9.355 -42.556 1.21e-16 8.74e-17 5.12e-17 21.27 -490.82
F00247  -9.212 -43.209 6.18e-17 5.12e-17 4.17e-17 25.22 -490.91
F00237  -9.121 -42.986 7.24e-17 4.30e-17 3.31e-17 27.82 -490.63
F00219  -8.939 -43.575 9.48e-17 7.69e-17 4.92e-17 13.97 -490.93
