name x y flux0 flux1 flux2 width rv
F02599  19.357 -25.865 1.79e-17 1.16e-17 9.18e-18 11.10 -1003.86
F02583  19.439 -25.681 2.39e-17 1.42e-17 7.58e-18  8.01 -1003.78
F02594  19.459 -25.676 2.09e-17 1.31e-17 1.03e-17 10.77 -1003.92
F02586  19.482 -25.727 2.16e-17 1.39e-17 1.19e-17  9.08 -1004.15
F02595  19.484 -25.674 2.49e-17 1.43e-17 9.29e-18 14.45 -1003.97
F02591  19.486 -25.657 2.45e-17 1.48e-17 1.27e-17  6.19 -1004.07
F02597  19.491 -25.670 1.64e-17 1.08e-17 7.55e-18 10.62 -1003.98
F02590  19.493 -25.660 2.10e-17 1.73e-17 9.66e-18  8.56 -1004.10
F02584  19.495 -25.631 1.49e-17 1.13e-17 5.67e-18 12.47 -1003.87
F02585  19.500 -25.681 3.04e-17 2.30e-17 1.34e-17 10.97 -1003.83
F02588  19.514 -25.641 1.86e-17 1.23e-17 8.42e-18  7.78 -1004.06
F02598  19.520 -25.709 1.31e-17 1.03e-17 8.32e-18 11.69 -1003.80
F02592  19.541 -25.640 1.85e-17 1.85e-17 9.99e-18 13.44 -1004.01
F02589  19.594 -25.612 1.77e-17 1.41e-17 7.69e-18  5.49 -1004.06
F02587  19.597 -25.649 1.71e-17 1.43e-17 5.82e-18 13.91 -1004.10
F02600  19.632 -25.607 1.72e-17 1.24e-17 7.34e-18  9.15 -1003.97
