name x y flux0 flux1 flux2 width rv
F08663 -30.811  42.837 2.57e-17 1.73e-17 1.04e-17 16.24 -861.01
F08665 -30.579  42.510 2.16e-17 1.62e-17 1.03e-17 14.04 -860.94
F08658 -30.530  42.513 2.41e-17 1.77e-17 1.17e-17 10.54 -860.95
F08648 -30.503  42.549 2.29e-17 1.72e-17 1.12e-17 10.68 -861.01
F08654 -30.426  42.687 2.16e-17 1.52e-17 9.80e-18 16.74 -860.91
F08656 -30.382  42.406 3.16e-17 2.23e-17 1.58e-17 12.59 -860.95
F08652 -30.375  42.482 2.86e-17 2.06e-17 1.21e-17 17.86 -861.11
F08659 -30.351  42.486 3.06e-17 1.91e-17 1.35e-17 12.01 -860.94
F08660 -30.338  42.442 2.11e-17 1.51e-17 9.40e-18 16.81 -860.93
F08651 -30.337  42.332 3.09e-17 2.17e-17 1.34e-17  8.23 -861.04
F08666 -30.322  42.266 1.67e-17 1.19e-17 7.93e-18 17.63 -860.88
F08661 -30.278  42.423 2.22e-17 1.55e-17 1.03e-17 13.55 -861.04
F08649 -30.275  42.421 2.19e-17 1.58e-17 9.84e-18 13.14 -861.09
F08657 -30.268  42.420 2.70e-17 1.92e-17 1.24e-17 16.46 -860.87
F08655 -30.265  42.420 2.88e-17 2.06e-17 1.36e-17 12.46 -861.07
F08653 -30.252  42.365 2.34e-17 1.57e-17 1.08e-17  8.14 -861.01
F08664 -30.177  42.338 2.96e-17 1.90e-17 1.26e-17 12.21 -861.02
F08647 -30.175  42.501 3.08e-17 2.21e-17 1.38e-17 12.11 -860.92
F08662 -30.153  42.428 2.28e-17 1.63e-17 1.10e-17 20.11 -860.87
F08650 -30.114  42.246 2.77e-17 1.86e-17 1.30e-17 18.83 -860.99
