Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P00196 271.397 114.541 2.75e-15 1.8e-15 1.11e-15 0.004 -0.44 undef 0.0 LeftD05
P10264 271.345 114.246 3.68e-17 4.27e-17 4.06e-17 0.001 -0.38 undef 0.0 LeftD05
P02162 271.985 116.174 1.44e-13 7.7e-14 3.64e-14 0.005 -0.59 undef 0.0 LeftD05
P08888 272.427 116.188 1.62e-14 1.02e-14 5.26e-15 0.004 -0.58 undef 0.0 LeftD05
P08158 272.819 115.75 2.12e-16 2.19e-16 1.62e-16 0.002 -0.69 undef 0.0 LeftD05
P00845 272.669 115.946 1.52e-17 2.1e-17 1.81e-17 0.003 -0.6 undef 0.0 LeftD05
P00586 273.444 114.96 9.04e-16 8.22e-16 4.25e-16 0.004 -0.79 undef 50.69715560513106 LeftD05
P09299 273.835 116.377 6.14e-15 4.29e-15 2.22e-15 0.003 -0.91 undef 0.0 LeftD05
P03777 273.756 116.078 3.51e-15 2.02e-15 1.01e-15 0.0 0.99 undef 0.0 LeftD05
P09835 273.883 116.294 6.22e-15 4.24e-15 1.88e-15 0.004 -0.85 undef 0.0 LeftD05
P01775 274.109 115.697 1.15e-13 6.35e-14 2.74e-14 0.004 -0.82 undef 0.0 LeftD05
P01028 274.33 115.383 1.3e-17 1.78e-17 1.96e-17 0.004 -0.83 undef 0.0 LeftD05
P01909 274.525 116.681 6.96e-17 6.1e-17 4.98e-17 0.003 0.91 undef 49.699289229086936 LeftD05
P03255 274.547 116.473 2.14e-16 1.79e-16 1.18e-16 0.0 1.03 undef 0.0 LeftD05
P02131 274.73 114.371 6.37e-16 5.23e-16 3.75e-16 0.004 -0.98 undef 50.02751788662631 LeftD05
P01362 274.885 114.742 8.39e-15 4.21e-15 2.56e-15 0.004 -1.05 undef 0.0 LeftD05
P00468 274.804 114.149 1.82e-13 8.46e-14 4.28e-14 0.005 -1.05 undef 0.0 LeftD05
P09899 274.976 113.855 2.74e-14 1.25e-14 7.72e-15 0.004 -0.65 undef 0.0 LeftD05
P02966 275.009 115.081 5.54e-17 6.31e-17 5.95e-17 0.003 -1.1 undef 0.0 LeftD05
P05316 275.106 114.961 2.88e-15 1.79e-15 1.27e-15 0.003 -1.04 undef 0.0 LeftD05
P04741 274.85 113.833 2.77e-12 1.52e-12 7.09e-13 0.004 -1.15 undef 0.0 LeftD05
P06825 275.011 116.969 7.76e-17 3.45e-17 1.61e-17 0.002 -1.47 undef 0.0 LeftD05
P02181 275.089 113.886 5.42e-15 3.73e-15 2.43e-15 0.002 -1.28 undef 0.0 LeftD05
P02588 275.18 115.96 1.08e-16 1.31e-16 9.74e-17 0.004 -1.2 undef 0.0 LeftD05
P01373 275.194 116.491 2.47e-15 1.77e-15 9.19e-16 0.003 -1.53 undef 0.0 LeftD05
P03030 275.264 115.41 3.74e-12 4.26e-12 2.79e-12 0.004 -1.12 undef 0.0 LeftD05
P03264 275.429 114.802 2.96e-14 1.48e-14 8.35e-15 0.003 -1.37 undef 0.0 LeftD05
P07931 275.362 115.981 1.79e-14 1.05e-14 4.8e-15 0.002 -1.3 undef 0.0 LeftD05
P03062 275.384 115.646 1.49e-14 9.19e-15 4.1e-15 0.003 -1.25 undef 0.0 LeftD05
P08670 275.525 116.713 7.45e-15 5.07e-15 2.49e-15 0.003 -1.55 undef 0.0 LeftD05
P01328 275.497 116.959 1.59e-16 1.74e-16 1.38e-16 0.004 -1.61 undef 0.0 LeftD05
P07158 275.526 115.661 2.34e-16 2.16e-16 1.45e-16 0.003 -1.41 undef 0.0 LeftD05
P07166 275.704 115.922 1.22e-17 8.08e-18 4.01e-18 0.003 -1.61 undef 0.0 LeftD05
P02282 275.607 114.851 1.86e-16 1.85e-16 1.54e-16 0.003 -1.52 undef 0.0 LeftD05
P00955 275.646 115.656 4.61e-12 3.3e-12 1.8e-12 0.005 -1.5 undef 0.0 LeftD05
P05872 275.734 115.388 1.86e-12 2.53e-12 2.61e-12 0.006 -1.5 167 19.73941368078176 LeftD05
P08258 275.713 115.14 1.93e-14 1.3e-14 6.85e-15 0.003 -1.52 undef 0.0 LeftD05
P07381 275.757 116.726 8.45e-14 3.53e-14 2.01e-14 0.003 -1.76 undef 0.0 LeftD05
P07104 275.738 116.289 5.83e-14 3.6e-14 1.51e-14 0.003 -1.75 undef 0.0 LeftD05
P09096 275.855 116.284 2.12e-16 2.6e-16 1.6e-16 0.004 -1.74 undef 0.0 LeftD05
P00331 275.833 115.002 3.36e-12 1.98e-12 1.07e-12 0.003 -1.42 undef 0.0 LeftD05
P03230 275.927 115.291 2.43e-16 2.76e-16 1.77e-16 0.003 -1.53 undef 0.0 LeftD05
P05479 275.862 115.499 1.69e-15 1.28e-15 7.48e-16 0.003 -1.63 undef 0.0 LeftD05
P00507 275.936 115.364 7.66e-17 9.4e-17 8.05e-17 0.004 -1.58 undef 0.0 LeftD05
P05321 275.934 115.044 1.21e-14 6.62e-15 3.35e-15 0.002 -1.54 undef 0.0 LeftD05
P07176 275.862 115.329 1.16e-15 9.29e-16 5.44e-16 0.003 -1.65 undef 0.0 LeftD05
P07055 275.979 115.276 1.85e-14 1.12e-14 6.35e-15 0.002 -1.63 undef 0.0 LeftD05
P07335 275.91 115.502 1.03e-14 6.46e-15 3.25e-15 0.001 -1.68 undef 0.0 LeftD05
P06770 276.041 115.306 1.1e-16 1.1e-16 8.76e-17 0.005 -1.69 undef 0.0 LeftD05
P08344 275.861 115.212 6.87e-17 6.79e-17 6.37e-17 0.003 -1.78 undef 0.0 LeftD05
P10256 275.846 115.36 3.85e-17 4.08e-17 4.57e-17 0.004 -1.73 undef 0.0 LeftD05
P04672 275.975 115.838 2.8e-17 3.87e-17 3.78e-17 0.003 -1.93 undef 0.0 LeftD05
P09743 276.035 116.471 2.23e-12 9.89e-13 4.69e-13 0.003 -1.79 undef 0.0 LeftD05
P09038 276.081 115.038 2.12e-13 1.09e-13 5.33e-14 0.004 -1.82 undef 0.0 LeftD05
P05439 276.024 114.439 8.62e-16 7.65e-16 5.14e-16 0.001 -1.74 undef 51.73591348890153 LeftD05
P01814 276.06 115.128 6.39e-15 4.1e-15 1.87e-15 0.002 -1.89 undef 0.0 LeftD05
P02009 276.052 116.036 8.45e-15 4.69e-15 2.91e-15 0.003 -1.95 undef 0.0 LeftD05
P08989 276.047 114.247 4.17e-14 2.54e-14 1.12e-14 0.002 -1.76 undef 0.0 LeftD05
P08493 276.18 115.838 2.33e-17 3.2e-17 2.6e-17 0.003 -2.01 undef 0.0 LeftD05
P03069 276.118 115.117 4.02e-14 1.9e-14 9.12e-15 0.004 -1.93 undef 0.0 LeftD05
P05100 276.221 115.433 4.31e-15 3.18e-15 1.57e-15 0.005 -2.07 undef 0.0 LeftD05
P03607 276.211 115.288 2.28e-15 1.59e-15 9.53e-16 0.004 -2.12 undef 0.0 LeftD05
P00671 276.191 115.518 1.2e-16 1.43e-16 1.18e-16 0.003 -2.13 undef 0.0 LeftD05
P07201 276.42 116.189 3.18e-14 1.85e-14 8.91e-15 0.002 -2.06 undef 0.0 LeftD05
P06543 276.58 115.473 4.17e-12 4e-12 3.02e-12 0.005 -2.31 undef 0.0 LeftD05
P07416 276.721 115.541 3.35e-14 1.91e-14 1e-14 0.004 -2.36 undef 0.0 LeftD05
P02801 276.859 114.361 4.75e-12 3.13e-12 1.89e-12 0.004 -2.2 undef 0.0 LeftD05
P01413 276.925 114.357 4.12e-16 3.58e-16 2.58e-16 0.001 -2.24 undef 48.73994638069705 LeftD05
P07471 276.852 115.319 4.85e-12 3.14e-12 1.62e-12 0.004 -2.37 undef 0.0 LeftD05
P10444 276.988 116.041 1.24e-17 1.75e-17 2.04e-17 0.003 -2.42 undef 0.0 LeftD05
P07833 277.014 113.942 4.28e-14 2.68e-14 1.14e-14 0.004 -2.26 undef 0.0 LeftD05
P09957 277.291 116.441 1.5e-17 2e-17 2.17e-17 0.005 -2.51 undef 0.0 LeftD05
P07853 277.3 114.735 1.58e-16 1.43e-16 1.14e-16 0.005 -2.4 undef 0.0 LeftD05
P05608 277.366 114.751 1.55e-16 9.64e-17 7.72e-17 0.002 0.02 undef 49.699289229086936 LeftD05
