Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P03260 256.107 34.255 1.74e-15 1.92e-15 1.37e-15 0.012 -1.58 83 0.0 UpA03
P07414 252.802 32.113 1.52e-15 1e-15 5.44e-16 0.002 -1.37 undef 0.0 UpA03
P03912 256.272 31.792 4.86e-16 3.64e-16 2.27e-16 0.003 -1.52 undef 0.0 UpA03
P10125 267.873 31.21 7.55e-15 3.71e-15 1.98e-15 0.002 -2.32 undef 0.0 UpA03
P03944 276.242 33.167 6.82e-17 6.36e-17 4.94e-17 0.003 -2.73 undef 0.0 UpA04
P01487 279.258 32.336 8.41e-17 8.25e-17 5.34e-17 0.002 -2.77 undef 49.05558553696708 UpA04
P04983 272.246 31.425 1.02e-16 7.6e-17 5.97e-17 0.001 -2.56 undef 48.73994638069705 UpA04
P02200 274.7 30.697 2.36e-14 1.15e-14 6.97e-15 0.001 -2.68 undef 0.0 UpA04
P06097 262.411 29.93 4.06e-15 2.19e-15 1.12e-15 0.004 -1.78 undef 0.0 UpB03
P08399 250.443 30.53 1.64e-16 8.26e-17 3.78e-17 0.013 -1.44 77 0.0 UpB03
P07540 262.989 29.416 3.61e-17 3.47e-17 3.14e-17 0.003 -1.83 undef 0.0 UpB03
P01493 258.321 29.742 3.22e-15 1.97e-15 1.06e-15 0.001 -1.38 undef 0.0 UpB03
P01987 264.51 29.012 2.1e-15 1.3e-15 7.53e-16 -0.0 -1.94 undef 0.0 UpB03
P06348 262.444 29.017 2.62e-14 1.38e-14 6.26e-15 0.001 -1.7 undef 0.0 UpB03
P06701 249.846 29.897 2.3e-16 1.63e-16 1.11e-16 0.002 -1.06 undef 50.92436974789916 UpB03
P05302 261.431 28.737 6.04e-14 2.98e-14 1.34e-14 0.002 -1.5 undef 0.0 UpB03
P06655 262.637 28.488 6.87e-15 3.86e-15 1.73e-15 0.002 -1.65 undef 0.0 UpB03
P01902 252.727 29.062 4.53e-16 3.2e-16 2.07e-16 0.003 -0.97 undef 0.0 UpB03
P04176 259.202 28.398 1.97e-14 1.17e-14 5.56e-15 -0.0 -1.2 undef 0.0 UpB03
P03597 265.405 28.175 5.93e-16 4.24e-16 2.97e-16 0.002 -2.07 undef 0.0 UpB03
P02304 258.112 28.585 1.3e-15 8.17e-16 4.96e-16 0.0 -1.13 undef 0.0 UpB03
P01646 268.977 27.849 3.94e-16 3.31e-16 1.98e-16 0.003 -2.48 undef 0.0 UpB03
