Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P03744 1.214 104.513 9.72e-17 7.37e-17 5.02e-17 0.0 1.79 undef 0.0 FrontD04
P08923 2.013 104.614 3.61e-16 2.53e-16 1.63e-16 0.003 1.14 undef 0.0 FrontD04
P01491 2.736 104.382 3.77e-13 1.98e-13 1.28e-13 0.0 1.03 undef 0.0 FrontD04
P07952 4.312 102.826 1.86e-13 1.11e-13 4.24e-14 0.002 0.96 undef 0.0 FrontD04
P05072 1.066 105.21 9.73e-17 7.26e-17 5.51e-17 0.001 1.98 undef 0.0 FrontD05
P03599 1.11 105.869 4.5e-16 3.03e-16 1.76e-16 0.002 2.15 undef 0.0 FrontD05
P00055 1.087 106.165 8.37e-17 6.15e-17 3.26e-17 0.001 1.96 undef 50.471960022209885 FrontD05
P04010 0.977 105.304 5.64e-17 3.98e-17 2.55e-17 0.002 1.88 undef 50.471960022209885 FrontD05
P05406 1.169 107.075 2.46e-13 1.33e-13 5.71e-14 -0.0 1.53 undef 0.0 FrontD05
P03511 1.26 106.659 6.31e-16 4.84e-16 2.04e-16 -0.0 1.42 undef 0.0 FrontD05
P02194 1.487 105.902 1.04e-14 5.24e-15 2.32e-15 0.0 1.74 undef 0.0 FrontD05
P05875 1.223 105.881 8.4e-16 5.8e-16 3.32e-16 0.002 1.63 undef 0.0 FrontD05
P01172 1.428 105.601 1.23e-14 5.73e-15 2.59e-15 0.001 1.72 undef 0.0 FrontD05
P07298 1.459 106.997 6.03e-15 3.25e-15 1.6e-15 0.0 1.35 undef 0.0 FrontD05
P09522 1.378 106.62 2.85e-16 1.86e-16 1.26e-16 0.002 1.36 undef 0.0 FrontD05
P08574 1.438 105.758 2.73e-15 1.67e-15 7.35e-16 0.002 1.62 undef 0.0 FrontD05
P00267 1.445 106.421 1.06e-16 6.5e-17 5.35e-17 0.001 1.36 undef 0.0 FrontD05
P07170 1.503 106.131 7.44e-16 4.82e-16 3.19e-16 0.0 1.43 undef 0.0 FrontD05
P06869 1.677 106.198 2.59e-15 1.44e-15 8.84e-16 0.001 1.22 undef 0.0 FrontD05
P01164 1.478 109.072 1.4e-13 7.93e-14 3.76e-14 -0.0 1.17 undef 0.0 FrontD05
P06951 1.553 106.13 1.95e-16 1.31e-16 8.16e-17 0.0 1.03 undef 0.0 FrontD05
P02287 1.623 106.591 1.76e-15 8.81e-16 4.3e-16 0.002 1.01 undef 0.0 FrontD05
P06581 1.69 106.46 1.65e-17 1.61e-17 1.26e-17 0.003 1.03 undef 0.0 FrontD05
P07313 1.73 105.712 3.8e-15 2.3e-15 9.5e-16 0.0 1.14 undef 0.0 FrontD05
P03671 1.883 106.338 3.89e-13 3.2e-13 2.21e-13 0.002 0.92 undef 0.0 FrontD05
P09447 1.821 106.23 7.66e-16 4.53e-16 2.29e-16 0.001 0.67 undef 0.0 FrontD05
P09176 2.095 106.381 1.03e-17 9.22e-18 7.08e-18 0.002 0.8 undef 0.0 FrontD05
P05104 1.956 105.595 9.52e-16 6.06e-16 3.25e-16 0.001 1.0 undef 0.0 FrontD05
P10232 1.888 106.911 7.99e-16 5.66e-16 3.1e-16 -0.001 0.9 undef 0.0 FrontD05
P01747 2.132 106.642 4.62e-17 4.21e-17 2.82e-17 0.0 0.62 undef 49.699289229086936 FrontD05
P10268 2.119 105.232 5.48e-15 2.65e-15 1.36e-15 0.001 0.94 undef 0.0 FrontD05
P03799 2.128 107.107 1.06e-14 6.29e-15 2.84e-15 0.0 0.76 undef 0.0 FrontD05
P00103 2.23 107.399 7.26e-15 4.28e-15 1.79e-15 0.001 0.72 undef 0.0 FrontD05
P07203 2.632 106.788 2.41e-15 1.43e-15 6.61e-16 0.001 0.49 undef 0.0 FrontD05
P02222 4.134 108.553 2.04e-13 1.1e-13 5.02e-14 0.002 0.41 undef 0.0 FrontD05
P05668 5.466 109.531 6.3e-16 3.14e-16 2.29e-16 0.001 0.37 undef 0.0 FrontD05
P03272 5.913 107.3 9.51e-17 6.01e-17 4.69e-17 0.001 0.17 undef 0.0 FrontD05
