name x y flux0 flux1 flux2 width rv
F09202 -13.403  34.159 1.50e-17 1.23e-17 8.30e-18 16.17 -1094.29
F09208 -13.046  33.826 1.60e-17 1.12e-17 7.27e-18  9.00 -1094.42
F09236 -13.009  33.791 2.20e-17 1.47e-17 1.06e-17  7.75 -1094.24
F09222 -12.960  33.847 2.22e-17 1.45e-17 1.01e-17 11.12 -1094.36
F09207 -12.957  33.826 1.89e-17 1.35e-17 9.23e-18  6.71 -1094.67
F09224 -12.956  34.157 1.63e-17 1.21e-17 6.64e-18 14.63 -1094.30
F09246 -12.943  33.617 2.27e-17 1.56e-17 1.05e-17 13.73 -1094.29
F09234 -12.942  33.881 1.86e-17 1.28e-17 8.22e-18 10.15 -1094.37
F09241 -12.929  33.755 1.86e-17 1.20e-17 7.68e-18 12.90 -1094.29
F09229 -12.913  33.726 1.59e-17 1.21e-17 7.99e-18  9.12 -1094.17
F09221 -12.905  33.786 2.00e-17 1.44e-17 8.65e-18 13.98 -1094.18
F09199 -12.892  33.938 2.16e-17 1.59e-17 9.46e-18 14.73 -1094.44
F09196 -12.889  33.771 1.67e-17 1.15e-17 8.46e-18  9.47 -1094.20
F09227 -12.883  33.749 2.16e-17 1.41e-17 8.93e-18 15.44 -1094.42
F09237 -12.870  33.656 1.58e-17 1.05e-17 7.50e-18  6.79 -1094.39
F09204 -12.868  33.729 1.56e-17 1.17e-17 7.44e-18 13.21 -1094.28
F09209 -12.867  33.753 1.77e-17 1.25e-17 7.39e-18 18.59 -1094.32
F09235 -12.862  33.766 1.66e-17 1.10e-17 6.80e-18 10.08 -1094.16
F09203 -12.862  33.747 1.59e-17 1.15e-17 7.54e-18 10.47 -1094.53
F09242 -12.860  33.750 1.56e-17 1.06e-17 6.54e-18  8.79 -1094.32
F09219 -12.858  33.726 1.57e-17 1.19e-17 7.14e-18  7.27 -1094.24
F09226 -12.858  33.771 1.80e-17 1.11e-17 8.41e-18  9.74 -1094.30
F09206 -12.851  33.809 1.87e-17 1.33e-17 8.09e-18  9.45 -1094.32
F09225 -12.849  33.749 1.86e-17 1.29e-17 8.33e-18  8.23 -1094.10
F09223 -12.840  33.746 1.72e-17 1.14e-17 5.93e-18 10.16 -1094.32
F09197 -12.835  33.837 1.54e-17 1.02e-17 7.59e-18  4.32 -1094.41
F09216 -12.825  33.738 1.66e-17 1.20e-17 8.69e-18 10.35 -1094.41
F09243 -12.823  33.676 1.88e-17 1.31e-17 8.07e-18 14.04 -1094.24
F09214 -12.823  33.720 1.74e-17 1.23e-17 7.47e-18  8.88 -1094.32
F09230 -12.805  33.706 1.80e-17 1.37e-17 8.97e-18 13.79 -1094.15
F09232 -12.791  33.822 1.69e-17 1.38e-17 8.07e-18 13.87 -1094.43
F09215 -12.775  33.997 1.38e-17 1.01e-17 6.59e-18  9.76 -1094.29
F09218 -12.768  33.766 1.91e-17 1.34e-17 8.86e-18 10.59 -1094.24
F09198 -12.765  33.768 1.68e-17 1.25e-17 8.16e-18  9.36 -1094.34
F09239 -12.754  33.781 1.48e-17 1.10e-17 7.25e-18  8.15 -1094.27
F09210 -12.737  33.731 1.71e-17 1.37e-17 7.20e-18  5.26 -1094.25
F09211 -12.630  33.728 1.76e-17 1.11e-17 7.49e-18 12.02 -1094.26
F09200 -12.473  33.644 1.80e-17 1.09e-17 7.99e-18 10.13 -1094.20
F01166 -10.410  37.485 7.31e-17 4.74e-17 3.28e-17 26.74 -553.20
F01174 -10.211  37.246 5.86e-17 4.67e-17 2.96e-17 14.99 -553.41
F01165 -10.131  37.240 6.85e-17 4.76e-17 2.98e-17 15.43 -553.23
