name x y flux1 flux2 flux3 par rv
P06090 -14.966 -36.742 6.77e-17 1.02e-16 1.42e-16   0.013   -0.24
P04846 -13.550 -44.332 1.32e-16 1.87e-16 1.53e-16   0.008    0.34
P00224 -13.478 -43.588 3.68e-13 1.56e-13 6.70e-14   0.005    0.77
P05852 -12.853 -30.863 4.93e-14 2.90e-14 1.35e-14   0.005    1.93
P02959 -11.543 -37.967 9.28e-14 4.93e-14 2.56e-14   0.005    1.67
P03937 -11.635 -38.500 1.80e-14 1.27e-14 5.39e-15   0.006    1.46
P02110 -11.372 -43.003 4.06e-16 4.60e-16 4.18e-16   0.006    0.56
P09012 -11.365 -42.463 8.93e-14 5.32e-14 3.50e-14   0.014   -0.33
P08695 -11.260 -38.576 6.64e-17 8.10e-17 8.75e-17   0.006    1.40
P01171 -11.019 -34.998 3.37e-17 3.26e-17 1.72e-17   0.001    4.18
P07377 -10.971 -31.393 9.03e-14 5.14e-14 2.79e-14   0.001    2.59
P04651 -10.523 -37.879 1.04e-14 6.71e-15 4.55e-15   0.005    1.38
P03009 -10.123 -36.712 2.19e-16 2.39e-16 2.04e-16   0.005    1.56
P07191 -10.042 -37.686 1.29e-13 8.18e-14 3.03e-14   0.007    1.43
P08971 -10.014 -34.323 9.16e-16 4.20e-16 2.46e-16   0.000    4.28
P00883 -10.014 -34.799 2.24e-14 1.67e-14 8.43e-15   0.006    1.57
P05588  -9.523 -37.238 1.42e-16 1.72e-16 1.55e-16   0.004    1.32
P03431  -9.630 -37.930 5.99e-16 5.92e-16 4.47e-16   0.005    1.13
P08238  -9.252 -37.875 3.41e-16 1.39e-16 6.44e-17   0.008    1.09
P04869  -9.225 -39.226 1.18e-10 7.49e-11 5.52e-11   0.019   -0.78
P04693  -9.026 -38.372 9.33e-14 4.40e-14 2.16e-14   0.007    0.69
P07359  -9.093 -35.096 1.09e-11 8.21e-12 7.19e-12   0.006    1.39
P01370  -9.070 -36.640 2.29e-13 1.28e-13 5.56e-14   0.008    1.22
P07613  -8.927 -38.028 5.17e-12 2.65e-12 1.27e-12   0.006    0.81
P08515  -8.665 -33.598 2.46e-16 1.46e-16 9.69e-17   0.002    4.13
P09729  -8.532 -37.483 1.00e-14 6.84e-15 4.04e-15   0.007    0.84
P07230  -8.441 -34.259 3.59e-15 2.09e-15 8.17e-16  -0.000    3.89
P09540  -8.385 -38.859 2.66e-16 3.43e-16 2.66e-16   0.005    0.44
P03859  -8.461 -33.727 4.42e-17 3.25e-17 2.30e-17   0.001    4.04
P00698  -8.123 -34.544 2.31e-13 1.83e-13 1.08e-13  -0.001    2.82
P04586  -8.176 -33.914 5.17e-16 3.49e-16 1.69e-16   0.001    3.79
